MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4165056,-122.0799104,,0.001,0.1,94.44174,1591378785582
Fix,GT,37.4165056,-122.0799104,,0.0011831701,0.1,94.44202,1591378786442
Fix,GT,37.4165056,-122.0799104,,0.0012310435,0.1,94.44235,1591378787442
Fix,GT,37.4165056,-122.0799104,,0.0015466039,0.1,94.441956,1591378788442
Fix,GT,37.4165056,-122.0799104,,0.002236068,0.1,94.441956,1591378789442
Fix,GT,37.4165056,-122.0799104,,0.002131676,0.1,94.4418,1591378790442
Fix,GT,37.4165056,-122.0799104,,0.0024422118,0.1,94.441315,1591378791442
Fix,GT,37.4165056,-122.0799104,,0.0026621802,0.1,94.441315,1591378792442
Fix,GT,37.4165056,-122.0799104,,0.002131676,0.1,94.44165,1591378793442
Fix,GT,37.4165056,-122.0799104,,0.0024422118,0.1,94.44116,1591378794442
Fix,GT,37.4165056,-122.0799104,,0.0030717612,0.1,94.44141,1591378795442
Fix,GT,37.4165056,-122.0799104,,0.0030905164,0.1,94.44235,1591378796442
Fix,GT,37.4165056,-122.0799104,,0.003071761,0.1,94.44232,1591378797442
Fix,GT,37.4165056,-122.0799104,,0.0031622774,0.1,94.44162,1591378798442
Fix,GT,37.4165056,-122.0799104,,0.0031622774,0.1,94.44147,1591378799442
Fix,GT,37.4165056,-122.0799104,,0.0036400268,0.1,94.44183,1591378800442
Fix,GT,37.4165056,-122.0799104,,0.0033553103,0.1,94.442444,1591378801442
Fix,GT,37.4165056,-122.0799104,,0.0018726343,0.1,94.44226,1591378802442
Fix,GT,37.4165056,-122.0799104,,0.0012310435,0.1,94.44214,1591378803442
Fix,GT,37.4165056,-122.0799104,,0.0011831702,0.1,94.44202,1591378804442
Fix,GT,37.4165056,-122.0799104,,0.0021872283,0.1,94.442505,1591378805442
Fix,GT,37.4165056,-122.0799104,,0.0033582984,0.1,94.44281,1591378806442
Fix,GT,37.4165056,-122.0799104,,0.0042221933,0.1,94.44284,1591378807442
Fix,GT,37.4165056,-122.0799104,,0.005585734,0.1,94.44339,1591378808442
Fix,GT,37.4165056,-122.0799104,,0.0061810333,0.1,94.443695,1591378809442
Fix,GT,37.4165056,-122.0799104,,0.0055577876,0.1,94.44318,1591378810442
Fix,GT,37.4165056,-122.0799104,,0.004187337,0.1,94.44287,1591378811442
Fix,GT,37.4165056,-122.0799104,,0.0026483047,0.1,94.44348,1591378812442
Fix,GT,37.4165056,-122.0799104,,0.0015577881,0.1,94.44385,1591378813442
Fix,GT,37.4165056,-122.0799104,,0.0015466041,0.1,94.44357,1591378814442
