MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.6296238,-122.4224947,,0.009879542,0.1,64.07434,1594250774447
Fix,GT,37.6296239,-122.4224946,,0.01024523,0.1,64.074585,1594250775447
Fix,GT,37.629624,-122.4224945,,0.0097839795,0.1,64.0748,1594250776447
Fix,GT,37.6296241,-122.4224944,,0.009377857,0.1,64.07446,1594250777447
Fix,GT,37.6296241,-122.4224944,,0.011179916,0.1,64.074524,1594250778447
Fix,GT,37.6296241,-122.4224944,,0.010862699,0.1,64.0748,1594250779447
Fix,GT,37.6296241,-122.4224944,,0.010737095,0.1,64.07449,1594250780447
Fix,GT,37.6296241,-122.4224944,,0.011401754,0.1,64.074585,1594250781447
Fix,GT,37.6296241,-122.4224944,,0.0113026,0.1,64.07477,1594250782447
Fix,GT,37.6296241,-122.4224944,,0.011279495,0.1,64.07495,1594250783447
Fix,GT,37.6296241,-122.4224944,,0.011401754,0.1,64.07495,1594250784447
Fix,GT,37.6296241,-122.4224944,,0.011401754,0.1,64.07477,1594250785447
Fix,GT,37.6296241,-122.4224944,,0.010971192,0.1,64.07474,1594250786447
Fix,GT,37.6296241,-122.4224944,,0.010440307,0.1,64.074646,1594250787447
Fix,GT,37.6296241,-122.4224944,,0.010771714,0.1,64.074585,1594250788447
Fix,GT,37.6296241,-122.4224944,,0.010740439,0.1,64.074615,1594250789447
Fix,GT,37.6296241,-122.4224944,,0.010306533,0.1,64.074646,1594250790447
Fix,GT,37.6296241,-122.4224944,,0.010331813,0.1,64.074646,1594250791447
Fix,GT,37.6296241,-122.4224945,,0.010306533,0.1,64.074646,1594250792447
Fix,GT,37.6296241,-122.4224945,,0.009591091,0.1,64.07471,1594250793447
Fix,GT,37.6296241,-122.4224945,,0.008966228,0.1,64.07498,1594250794447
Fix,GT,37.6296241,-122.4224945,,0.008931249,0.1,64.07492,1594250795447
Fix,GT,37.6296241,-122.4224945,,0.008379571,0.1,64.07471,1594250796447
Fix,GT,37.6296241,-122.4224945,,0.008128317,0.1,64.07474,1594250797447
