MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.5252209,-122.3533955,,0.002196087,0.1,228.1664,1596754355447
Fix,GT,37.5252209,-122.3533955,,0.0031622779,0.1,228.16653,1596754356447
Fix,GT,37.5252209,-122.3533955,,0.0031622776,0.1,228.16676,1596754357447
Fix,GT,37.5252209,-122.3533955,,0.0033605448,0.1,228.16695,1596754358447
Fix,GT,37.5252209,-122.3533955,,0.0048217075,0.1,228.16731,1596754359447
Fix,GT,37.5252209,-122.3533955,,0.0067519555,0.1,228.16777,1596754360447
Fix,GT,37.5252209,-122.3533955,,0.0060241586,0.1,228.16791,1596754361447
Fix,GT,37.5252209,-122.3533955,,0.00408453,0.1,228.16771,1596754362447
Fix,GT,37.5252209,-122.3533955,,0.0036055513,0.1,228.16771,1596754363447
Fix,GT,37.5252209,-122.3533955,,0.0036055516,0.1,228.17108,1596754364447
Fix,GT,37.5252209,-122.3533955,,0.0029930081,0.1,228.171,1596754365447
Fix,GT,37.5252209,-122.3533955,,0.0030801035,0.1,228.1678,1596754366447
Fix,GT,37.5252209,-122.3533955,,0.0041231057,0.1,228.16898,1596754367447
Fix,GT,37.5252209,-122.3533955,,0.0046876003,0.1,228.1682,1596754368447
Fix,GT,37.5252209,-122.3533955,,0.0052128877,0.1,228.16948,1596754369447
Fix,GT,37.5252209,-122.3533956,,0.004105438,0.1,228.16655,1596754370447
Fix,GT,37.5252208,-122.3533956,,0.006063364,0.1,228.16292,1596754371447
Fix,GT,37.5252208,-122.3533956,,0.010384031,0.1,228.16386,1596754372447
Fix,GT,37.5252208,-122.3533956,,0.010600099,0.1,228.16422,1596754373447
Fix,GT,37.5252208,-122.3533956,,0.010940734,0.1,228.16444,1596754374447
Fix,GT,37.5252208,-122.3533956,,0.012041595,0.1,228.16476,1596754375447
Fix,GT,37.5252208,-122.3533956,,0.012933508,0.1,228.16508,1596754376447
Fix,GT,37.5252208,-122.3533956,,0.014526371,0.1,228.16545,1596754377447
Fix,GT,37.5252208,-122.3533956,,0.014768245,0.1,228.16579,1596754378447
Fix,GT,37.5252208,-122.3533956,,0.014622947,0.1,228.16573,1596754379447
Fix,GT,37.5252208,-122.3533956,,0.015059374,0.1,228.16565,1596754380447
Fix,GT,37.5252208,-122.3533956,,0.01520624,0.1,228.16595,1596754381447
Fix,GT,37.5252208,-122.3533956,,0.015104285,0.1,228.16609,1596754382447
Fix,GT,37.5252208,-122.3533956,,0.014446661,0.1,228.16614,1596754383447
Fix,GT,37.5252207,-122.3533956,,0.013302898,0.1,228.16666,1596754384447
Fix,GT,37.5252206,-122.3533956,,0.012025336,0.1,228.16626,1596754385447
Fix,GT,37.5252205,-122.3533955,,0.012302874,0.1,228.16687,1596754386447
Fix,GT,37.5252204,-122.3533954,,0.01285691,0.1,228.16924,1596754387447
Fix,GT,37.5252203,-122.3533952,,0.012807799,0.1,228.17093,1596754388447
Fix,GT,37.5252203,-122.353395,,0.015329225,0.1,228.17027,1596754389447
Fix,GT,37.5252203,-122.3533948,,0.023344317,0.1,228.16818,1596754390447
