MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3178874,-121.9483662,,0.04962997,0.1,89.77515,1607638645432
Fix,GT,37.3178874,-121.9483662,,0.04866018,0.1,89.77466,1607638646432
Fix,GT,37.3178874,-121.9483662,,0.047662124,0.1,89.77426,1607638647432
Fix,GT,37.3178874,-121.9483662,,0.047936723,0.1,89.77405,1607638648432
Fix,GT,37.3178874,-121.9483662,,0.049062833,0.1,89.774536,1607638649432
Fix,GT,37.3178874,-121.9483662,,0.048228644,0.1,89.77341,1607638650432
Fix,GT,37.3178873,-121.9483662,,0.04666415,0.1,89.771454,1607638651432
Fix,GT,37.3178873,-121.9483662,,0.044838548,0.1,89.772156,1607638652432
Fix,GT,37.3178873,-121.9483662,,0.043150574,0.1,89.77185,1607638653432
Fix,GT,37.3178873,-121.9483662,,0.046586227,0.1,89.77124,1607638654432
Fix,GT,37.3178873,-121.9483662,,0.05417525,0.1,89.77063,1607638655432
Fix,GT,37.3178873,-121.9483662,,0.061619148,0.1,89.770386,1607638656432
Fix,GT,37.3178871,-121.9483662,,0.07007091,0.1,89.77008,1607638657432
Fix,GT,37.3178845,-121.948366,,0.079050355,0.1,89.76965,1607638658432
Fix,GT,37.3178812,-121.9483658,,0.08935414,0.1,89.769226,1607638659432
Fix,GT,37.3178807,-121.9483657,,0.10266234,0.1,89.76892,1607638660432
Fix,GT,37.3178802,-121.9483657,,0.12282306,0.1,89.76874,1607638661432
Fix,GT,37.3178794,-121.9483656,,0.14810503,0.1,89.76898,1607638662432
Fix,GT,37.3178778,-121.9483654,,0.16810924,0.1,89.76895,1607638663432
Fix,GT,37.3178759,-121.9483653,,0.17928356,0.1,89.76813,1607638664432
Fix,GT,37.3178739,-121.9483652,,0.18332331,0.1,89.76724,1607638665432
Fix,GT,37.3178716,-121.948365,,0.19235657,0.1,89.76709,1607638666432
Fix,GT,37.31787,-121.9483648,,0.2133626,0.1,89.767,1607638667432
Fix,GT,37.3178695,-121.9483647,,0.23969969,0.1,89.765594,1607638668432
Fix,GT,37.3178691,-121.9483647,,0.2649583,0.1,89.765045,1607638669432
Fix,GT,37.3178686,-121.9483647,,0.2868097,0.1,89.76489,1607638670432
