MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3178861,-121.9483661,,0.04961714,0.1,89.77515,1607638645445
Fix,GT,37.3178861,-121.9483661,,0.048646674,0.1,89.77466,1607638646445
Fix,GT,37.3178861,-121.9483661,,0.047648616,0.1,89.77426,1607638647445
Fix,GT,37.3178861,-121.9483661,,0.047963046,0.1,89.77405,1607638648445
Fix,GT,37.3178861,-121.9483661,,0.04906352,0.1,89.77457,1607638649445
Fix,GT,37.3178861,-121.9483661,,0.048201635,0.1,89.773346,1607638650445
Fix,GT,37.317886,-121.9483661,,0.046650644,0.1,89.771484,1607638651445
Fix,GT,37.317886,-121.9483661,,0.04479914,0.1,89.772156,1607638652445
Fix,GT,37.317886,-121.9483661,,0.04314947,0.1,89.77185,1607638653445
Fix,GT,37.317886,-121.9483661,,0.046695188,0.1,89.77124,1607638654445
Fix,GT,37.317886,-121.9483661,,0.054269716,0.1,89.77063,1607638655445
Fix,GT,37.317886,-121.9483661,,0.061728097,0.1,89.770386,1607638656445
Fix,GT,37.3178858,-121.9483661,,0.07019238,0.1,89.77008,1607638657445
Fix,GT,37.3178831,-121.9483659,,0.079171896,0.1,89.76965,1607638658445
Fix,GT,37.3178799,-121.9483657,,0.08951706,0.1,89.769226,1607638659445
Fix,GT,37.3178794,-121.9483656,,0.10286498,0.1,89.76892,1607638660445
Fix,GT,37.3178789,-121.9483656,,0.123188,0.1,89.76874,1607638661445
Fix,GT,37.317878,-121.9483655,,0.14841717,0.1,89.76898,1607638662445
Fix,GT,37.3178764,-121.9483653,,0.16832548,0.1,89.76895,1607638663445
Fix,GT,37.3178746,-121.9483652,,0.17934936,0.1,89.76813,1607638664445
Fix,GT,37.3178726,-121.9483651,,0.18336335,0.1,89.76721,1607638665445
Fix,GT,37.3178703,-121.9483649,,0.19258669,0.1,89.76709,1607638666445
Fix,GT,37.3178687,-121.9483647,,0.2137179,0.1,89.76697,1607638667445
Fix,GT,37.3178682,-121.9483646,,0.24005753,0.1,89.765564,1607638668445
Fix,GT,37.3178678,-121.9483646,,0.26527902,0.1,89.765045,1607638669445
Fix,GT,37.3178673,-121.9483646,,0.28707254,0.1,89.76489,1607638670445
Fix,GT,37.3178649,-121.9483648,,0.2839906,0.1,89.76361,1607638671445
Fix,GT,37.3178613,-121.9483635,,0.45062253,0.1,89.76416,1607638672445
Fix,GT,37.3178588,-121.948354,,0.93014777,0.1,90.880554,1607638673445
Fix,GT,37.3178556,-121.9483348,,1.5666103,0.1,95.72946,1607638674445
Fix,GT,37.3178502,-121.9483071,,2.4113255,0.1,105.28009,1607638675445
