WlsPositionXEcefMeters,WlsPositionYEcefMeters,WlsPositionZEcefMeters,utcTimeMillis
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687490.8340306245,-4309409.042115274,3845573.5692010033,1607640762431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687488.158306316,-4309405.6117361365,3845577.371681792,1607640763431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687495.2120879213,-4309409.698283627,3845574.536538235,1607640764431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687490.7987821284,-4309404.519732839,3845574.681092149,1607640765431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687489.987569091,-4309409.511956218,3845574.119800482,1607640766431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
-2687487.232941032,-4309408.37802575,3845576.1036381926,1607640767431
