MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3179092,-121.9485205,,0.003605584,0.1,1.1175842,1607640759999
Fix,GT,37.3179092,-121.9485205,,0.0031623002,0.1,1.1170349,1607640760999
Fix,GT,37.3179092,-121.9485205,,0.0020000595,0.1,1.1164551,1607640761999
Fix,GT,37.3179092,-121.9485205,,0.0028283847,0.1,1.1160278,1607640762999
Fix,GT,37.3179092,-121.9485205,,0.0060825967,0.1,1.1144714,1607640763999
Fix,GT,37.3179092,-121.9485204,,0.004472218,0.1,1.1153564,1607640764999
Fix,GT,37.3179092,-121.9485204,,0.0130379675,0.1,1.1139526,1607640765999
Fix,GT,37.3179093,-121.9485202,,0.016031066,0.1,1.1141357,1607640766999
Fix,GT,37.3179093,-121.94852,,0.027165588,0.1,1.1133118,1607640767999
Fix,GT,37.3179093,-121.9485196,,0.036013436,0.1,1.1129761,1607640768999
Fix,GT,37.3179093,-121.9485191,,0.045010652,0.1,1.1105957,1607640769999
Fix,GT,37.3179092,-121.948519,,0.06420182,0.1,0.078948975,1607640770999
Fix,GT,37.3179073,-121.9485205,,0.33191702,0.1,356.8117,1607640771999
Fix,GT,37.3179029,-121.9485194,,0.6380479,0.1,359.92944,1607640772999
Fix,GT,37.317897,-121.9485153,,0.8429065,0.1,8.870453,1607640773999
Fix,GT,37.3178887,-121.9485114,,0.9969154,0.1,21.009125,1607640774999
Fix,GT,37.3178789,-121.9485095,,0.93152094,0.1,34.29605,1607640775999
Fix,GT,37.31787,-121.94851,,0.6124116,0.1,45.482056,1607640776999
Fix,GT,37.3178666,-121.9485106,,0.094366334,0.1,48.60266,1607640777999
Fix,GT,37.3178652,-121.9485093,,0.24983199,0.1,49.15271,1607640778999
Fix,GT,37.3178666,-121.9485015,,0.9745731,0.1,55.47162,1607640779999
Fix,GT,37.317871,-121.9484822,,2.027742,0.1,69.931274,1607640780999
Fix,GT,37.3178748,-121.9484486,,3.4591484,0.1,87.546936,1607640781999
Fix,GT,37.3178724,-121.9484004,,4.893382,0.1,95.483826,1607640782999
Fix,GT,37.3178645,-121.9483414,,5.3305726,0.1,96.05719,1607640783999
Fix,GT,37.3178566,-121.9482832,,5.038819,0.1,93.69849,1607640784999
Fix,GT,37.317852,-121.9482312,,4.033528,0.1,90.66431,1607640785999
Fix,GT,37.3178499,-121.9481944,,2.4367783,0.1,89.207886,1607640786999
Fix,GT,37.3178458,-121.9481751,,1.1225977,0.1,88.7908,1607640787999
Fix,GT,37.3178434,-121.9481604,,1.5321816,0.1,88.31799,1607640788999
Fix,GT,37.317823,-121.9481391,,2.2334278,0.1,92.5285,1607640789999
