MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4443847,-122.2326751,11.581,0.0011699877,0.1,302.57944,1609800004658
Fix,GT,37.4443847,-122.2326751,11.581,0.00046024306,0.1,302.57965,1609800005646
Fix,GT,37.4443847,-122.2326751,11.582,0.00068856194,0.1,302.5788,1609800006651
Fix,GT,37.4443847,-122.2326751,11.582,0.0014142136,0.1,302.58,1609800007662
Fix,GT,37.4443847,-122.2326751,11.582,0.0014142136,0.1,302.58008,1609800008651
Fix,GT,37.4443847,-122.2326751,11.582,0.0013608017,0.1,302.5804,1609800009663
Fix,GT,37.4443847,-122.2326751,11.582,0.0019941845,0.1,302.581,1609800010645
Fix,GT,37.4443847,-122.2326751,11.583,0.0012097579,0.1,302.58057,1609800011649
Fix,GT,37.4443847,-122.2326751,11.583,0.00080159825,0.1,302.58102,1609800012659
Fix,GT,37.4443847,-122.2326751,11.583,0.011751713,0.1,302.58313,1609800013650
Fix,GT,37.4443868,-122.2326797,11.581372123003009,1.1483803,0.1,301.99725,1609800014645
Fix,GT,37.4443932,-122.2326996,11.578455489724874,2.573517,0.1,295.65393,1609800015645
Fix,GT,37.4443991,-122.2327317,11.600505210071802,3.1651566,0.1,284.66156,1609800016649
Fix,GT,37.444398,-122.232773,11.595366748332978,4.1808662,0.1,268.74063,1609800017659
Fix,GT,37.4443841,-122.2328249,11.465045627832412,5.6165576,0.1,249.86554,1609800018651
Fix,GT,37.4443521,-122.2328812,11.275823761969804,6.73488,0.1,231.76472,1609800019646
Fix,GT,37.4443026,-122.2329346,10.983027032732965,7.569722,0.1,217.81961,1609800020656
Fix,GT,37.4442433,-122.2329815,10.61743645220995,8.018152,0.1,211.55592,1609800021650
Fix,GT,37.4441812,-122.2330324,10.258040750324724,8.213354,0.1,214.02037,1609800022662
Fix,GT,37.4441244,-122.2330914,9.97661406993866,8.27154,0.1,222.5046,1609800023651
Fix,GT,37.4440788,-122.2331607,9.792820156872272,7.45457,0.1,233.18442,1609800024645
Fix,GT,37.4440472,-122.2332317,9.587204771995545,7.0122614,0.1,242.56143,1609800025658
Fix,GT,37.4440235,-122.2333056,9.329915951609612,7.0628867,0.1,250.1217,1609800026653
Fix,GT,37.4440114,-122.2333842,8.929525849819184,6.940021,0.1,261.83713,1609800027664
Fix,GT,37.4440157,-122.2334622,8.70362733888626,7.013711,0.1,277.54688,1609800028653
Fix,GT,37.444038,-122.233544,8.507312818408012,8.341387,0.1,291.60278,1609800029666
Fix,GT,37.4440754,-122.233634,8.299590908527374,9.406134,0.1,298.8896,1609800030660
Fix,GT,37.4441178,-122.2337251,8.136766806006431,9.424768,0.1,300.88626,1609800031648
Fix,GT,37.4441632,-122.2338164,7.932951283693313,9.401444,0.1,302.13586,1609800032661
Fix,GT,37.4442085,-122.2339047,7.759768602013587,9.319147,0.1,302.83127,1609800033651
Fix,GT,37.444253,-122.2339896,7.570361525416374,8.644281,0.1,303.39075,1609800034643
Fix,GT,37.4442926,-122.2340647,7.436789889276028,7.0008407,0.1,303.21286,1609800035655
Fix,GT,37.4443235,-122.2341253,7.311583169609308,5.8621383,0.1,302.1268,1609800036649
Fix,GT,37.4443485,-122.2341758,7.208884475052356,4.5870285,0.1,301.78543,1609800037662
Fix,GT,37.4443682,-122.2342156,7.122912059307099,3.802565,0.1,301.73425,1609800038650
Fix,GT,37.4443833,-122.2342462,7.073301185429097,2.418236,0.1,301.67316,1609800039667
Fix,GT,37.4443918,-122.2342633,7.023310988664627,1.1916411,0.1,301.6126,1609800040656
Fix,GT,37.4443947,-122.2342691,7.008,0.15731163,0.1,301.59955,1609800041650
Fix,GT,37.4443947,-122.2342693,7.004,0.0012602473,0.1,301.60254,1609800042662
Fix,GT,37.4443947,-122.2342693,7.003,0.002236068,0.1,301.60086,1609800043650
Fix,GT,37.4443947,-122.2342693,7.000999791353941,0.0,0.1,301.6004,1609800044644
Fix,GT,37.4443947,-122.2342693,7.002,0.0014204368,0.1,301.60016,1609800045598
Fix,GT,37.4443948,-122.2342693,7.001,0.0015629819,0.1,301.6011,1609800046769
Fix,GT,37.4443948,-122.2342693,7.00100020864606,0.001,0.1,301.60107,1609800047602
Fix,GT,37.4443948,-122.2342693,7.001,0.0012870783,0.1,301.60092,1609800048771
Fix,GT,37.4443948,-122.2342693,7.0,0.002032924,0.1,301.60114,1609800049586
Fix,GT,37.4443948,-122.2342693,6.999999791383743,0.002,0.1,301.60086,1609800050720
Fix,GT,37.4443948,-122.2342693,7.000000208616257,0.002,0.1,301.60098,1609800051712
Fix,GT,37.4443948,-122.2342693,7.0,0.002,0.1,301.60107,1609800052723
Fix,GT,37.4443947,-122.2342693,7.000999947838486,0.0011329217,0.099,301.6011,1609800053710
Fix,GT,37.444395,-122.2342697,6.99240823417902,0.3137161,0.1,301.60318,1609800054786
Fix,GT,37.4443988,-122.2342783,6.966811384558677,2.1303315,0.1,300.85474,1609800055659
Fix,GT,37.4444115,-122.2343118,6.875351642608642,4.8889236,0.1,295.71207,1609800056593
Fix,GT,37.4444279,-122.2343874,6.95503126001358,6.505706,0.1,281.55923,1609800057783
Fix,GT,37.4444262,-122.2344545,7.041262352943421,7.240163,0.1,264.79892,1609800058651
Fix,GT,37.4444008,-122.2345361,7.183335911273957,8.416643,0.1,242.73642,1609800059666
Fix,GT,37.4443481,-122.2346164,7.235485763669015,10.223756,0.1,226.4409,1609800060656
Fix,GT,37.4442705,-122.2346927,7.419131666898727,11.754424,0.1,213.8638,1609800061650
Fix,GT,37.4441672,-122.2347658,7.7236239695549,14.550627,0.1,207.98761,1609800062662
Fix,GT,37.4440416,-122.2348487,8.176632010459901,17.006706,0.1,207.48224,1609800063653
Fix,GT,37.4438996,-122.2349411,8.79200945663452,17.995592,0.1,207.27303,1609800064666
Fix,GT,37.4437537,-122.2350365,9.149722150564196,18.938633,0.1,207.59547,1609800065656
Fix,GT,37.4436002,-122.2351382,9.404655512154102,19.822044,0.1,207.76556,1609800066650
Fix,GT,37.4434353,-122.2352477,9.527243591666222,21.133871,0.1,207.84097,1609800067660
Fix,GT,37.4432669,-122.2353612,9.729565824747086,21.562286,0.1,208.26701,1609800068652
Fix,GT,37.4430912,-122.2354801,9.958646392643452,22.076187,0.1,208.15721,1609800069666
Fix,GT,37.4429165,-122.2355981,10.31361723136902,22.191761,0.1,208.1246,1609800070660
Fix,GT,37.4427438,-122.2357141,10.87031608608365,21.840473,0.1,207.88406,1609800071648
Fix,GT,37.4425669,-122.2358306,11.728581176936624,21.945847,0.1,207.30753,1609800072662
Fix,GT,37.4423924,-122.2359433,12.90213617992401,22.085243,0.1,207.02852,1609800073651
Fix,GT,37.442213,-122.236059,14.272191622018813,21.98404,0.1,207.28203,1609800074667
Fix,GT,37.4420396,-122.236174,15.424551049172878,21.791912,0.1,208.06284,1609800075660
Fix,GT,37.4418703,-122.2362892,16.441162034869194,21.342037,0.1,208.68274,1609800076651
Fix,GT,37.4417015,-122.2364079,17.404264960825444,21.139355,0.1,209.48572,1609800077662
Fix,GT,37.4415502,-122.2365209,18.18908403617144,20.835638,0.1,211.40155,1609800078594
Fix,GT,37.4413654,-122.2366746,19.331824121832845,20.4893,0.1,215.03677,1609800079787
Fix,GT,37.4412361,-122.2367968,20.301261888980868,20.689453,0.1,218.47148,1609800080659
Fix,GT,37.4410973,-122.2369502,21.32469904589653,20.774445,0.1,223.46541,1609800081651
Fix,GT,37.4409647,-122.237123,22.529688943862915,21.256458,0.1,227.89261,1609800082663
Fix,GT,37.4408405,-122.2373095,23.745845080792904,22.27393,0.1,231.64737,1609800083651
Fix,GT,37.4407244,-122.2375075,25.008791686892508,23.250801,0.099,234.9548,1609800084606
Fix,GT,37.4405862,-122.2377666,26.665344958066942,23.64104,0.1,236.71896,1609800085779
Fix,GT,37.4404828,-122.2379611,27.87505361574888,23.76456,0.1,235.33545,1609800086650
Fix,GT,37.4403544,-122.2381798,29.36654109764099,23.677862,0.1,232.28957,1609800087664
