MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4443878,-122.2326723,11.58100021301652,2.45418e-06,0.1,302.57993,1609800006000
Fix,GT,37.4443878,-122.2326723,11.582000105169136,0.0009975458,0.1,302.57974,1609800007000
Fix,GT,37.4443878,-122.2326723,11.58200023191143,0.0014142136,0.1,302.57977,1609800008000
Fix,GT,37.4443878,-122.2326723,11.58200012404565,0.0014162308,0.1,302.5801,1609800009000
Fix,GT,37.4443878,-122.2326723,11.582000018876512,0.0022305793,0.1,302.57977,1609800010000
Fix,GT,37.4443878,-122.2326723,11.581999679099305,5.4889433e-06,0.1,302.57996,1609800011000
Fix,GT,37.4443878,-122.2326723,11.583000032362529,0.0,0.1,302.58026,1609800012000
Fix,GT,37.4443878,-122.2326723,11.584000040456653,0.0058267596,0.1,302.58148,1609800013000
Fix,GT,37.444388,-122.2326727,11.578000048522837,0.2525522,0.1,302.58743,1609800014000
Fix,GT,37.4443919,-122.2326821,11.583999827384948,1.7234051,0.1,300.43842,1609800015000
Fix,GT,37.4443993,-122.2327079,11.587007659840864,2.8528562,0.1,292.39334,1609800016000
Fix,GT,37.4444034,-122.2327436,11.57401001011487,3.4507482,0.1,279.54865,1609800017000
Fix,GT,37.4443989,-122.2327898,11.589946060396732,4.6615367,0.1,262.62585,1609800018000
Fix,GT,37.4443784,-122.2328466,11.388982900957576,6.0614166,0.1,242.91724,1609800019000
Fix,GT,37.4443395,-122.2329037,11.179904211692977,7.073857,0.099,226.09915,1609800020000
Fix,GT,37.4442851,-122.2329547,10.865919274839804,7.8060956,0.1,214.2605,1609800021000
Fix,GT,37.444224,-122.2330022,10.481926320861094,8.103361,0.1,211.67778,1609800022000
Fix,GT,37.4441635,-122.2330548,10.148931238806574,8.2550955,0.1,216.11096,1609800023000
Fix,GT,37.4441097,-122.2331183,9.910968084155584,8.160177,0.1,226.39624,1609800024000
Fix,GT,37.4440698,-122.2331877,9.71693861411419,7.0403633,0.1,237.13612,1609800025000
Fix,GT,37.4440417,-122.2332582,9.513948349984828,7.0552983,0.1,244.77347,1609800026000
Fix,GT,37.4440215,-122.2333335,9.234918693851212,7.0265813,0.099,253.97504,1609800027000
Fix,GT,37.4440147,-122.2334108,8.877955819306896,6.9711366,0.1,266.80066,1609800028000
Fix,GT,37.444025,-122.233488,8.644977759317495,7.232164,0.1,283.31186,1609800029000
Fix,GT,37.4440525,-122.2335711,8.455918973192805,8.912162,0.1,294.9057,1609800030000
Fix,GT,37.4440928,-122.2336628,8.229975399025715,9.436161,0.1,299.68948,1609800031000
Fix,GT,37.4441365,-122.2337542,8.063955669756979,9.405442,0.1,301.43674,1609800032000
Fix,GT,37.4441816,-122.2338439,7.866955908826086,9.394771,0.1,302.43222,1609800033000
Fix,GT,37.4442274,-122.2339324,7.6999532230973715,9.206936,0.1,303.0466,1609800034000
Fix,GT,37.444271,-122.234015,7.527980555996298,8.169185,0.1,303.38596,1609800035000
Fix,GT,37.4443071,-122.2340839,7.393965666241944,6.549508,0.1,302.98117,1609800036000
Fix,GT,37.4443359,-122.2341414,7.261965523276478,5.409958,0.1,301.99814,1609800037000
Fix,GT,37.4443587,-122.2341874,7.1839780295137325,4.300233,0.1,301.81516,1609800038000
Fix,GT,37.4443772,-122.2342249,7.103980418354273,3.355745,0.1,301.72308,1609800039000
Fix,GT,37.4443899,-122.2342505,7.048987796593457,1.9965184,0.1,301.6433,1609800040000
Fix,GT,37.4443964,-122.2342638,7.015997491510353,0.7452922,0.1,301.60983,1609800041000
Fix,GT,37.4443977,-122.2342665,7.006992441796697,0.02739934,0.1,301.59872,1609800042000
Fix,GT,37.4443977,-122.2342665,7.0049976398088045,0.0014107374,0.1,301.60254,1609800043000
Fix,GT,37.4443977,-122.2342665,7.003000174464891,0.0014162338,0.1,301.60028,1609800044000
Fix,GT,37.4443977,-122.2342665,7.001999969024676,0.0,0.1,301.60043,1609800045000
Fix,GT,37.4443978,-122.2342665,7.000999835365219,6.9533207e-06,0.099,301.59995,1609800046000
Fix,GT,37.4443978,-122.2342665,7.001000117363408,0.002236068,0.1,301.60135,1609800047000
Fix,GT,37.4443978,-122.2342665,7.001000123883598,0.001,0.1,301.60077,1609800048000
Fix,GT,37.4443978,-122.2342665,7.001000058681704,0.002,0.1,301.601,1609800049000
Fix,GT,37.4443978,-122.2342665,7.00099753629975,0.002,0.1,301.60086,1609800050000
Fix,GT,37.4443978,-122.2342665,7.000000206986442,0.001002459,0.1,301.60095,1609800051000
Fix,GT,37.4443978,-122.2342665,7.000000073341653,0.001997541,0.1,301.60098,1609800052000
Fix,GT,37.4443978,-122.2342665,7.000002467259066,0.0010024591,0.1,301.60104,1609800053000
Fix,GT,37.4443977,-122.2342665,7.000999874486356,0.0019999999,0.099,301.60095,1609800054000
Fix,GT,37.4443984,-122.2342677,6.994995167718502,0.50642526,0.1,301.59662,1609800055000
Fix,GT,37.4444056,-122.2342848,6.950980277865426,3.1746397,0.1,299.47983,1609800056000
Fix,GT,37.4444217,-122.2343328,6.889026943936013,5.716353,0.099,291.85892,1609800057000
Fix,GT,37.4444328,-122.2344025,6.965017040577717,6.6936502,0.1,277.78357,1609800058000
Fix,GT,37.4444244,-122.2344832,7.095039462895831,7.4834642,0.1,257.29446,1609800059000
Fix,GT,37.4443892,-122.2345654,7.178007565059466,9.068403,0.1,236.19302,1609800060000
Fix,GT,37.4443268,-122.2346472,7.289029641712084,10.834245,0.1,222.10202,1609800061000
Fix,GT,37.4442402,-122.234721,7.509056637555361,12.477756,0.1,210.6756,1609800062000
Fix,GT,37.4441287,-122.2347966,7.868095934199868,15.528031,0.1,207.80226,1609800063000
Fix,GT,37.4439958,-122.2348838,8.356147610217333,17.394825,0.1,207.33145,1609800064000
Fix,GT,37.4438532,-122.2349766,8.954078553513623,18.298199,0.1,207.3335,1609800065000
Fix,GT,37.4437034,-122.2350752,9.291071542700754,19.262825,0.1,207.7297,1609800066000
Fix,GT,37.4435464,-122.2351793,9.456017235209,20.300074,0.1,207.78438,1609800067000
Fix,GT,37.4433799,-122.2352902,9.597051596703473,21.3358,0.1,208.01596,1609800068000
Fix,GT,37.4432092,-122.2354056,9.802026897853471,21.774471,0.099,208.29178,1609800069000
Fix,GT,37.4430348,-122.2355237,10.069081442453433,22.153442,0.1,208.21104,1609800070000
Fix,GT,37.4428589,-122.2356424,10.46112062894553,22.047707,0.1,208.02998,1609800071000
Fix,GT,37.4426848,-122.2357588,11.162194144415436,21.855013,0.099,207.686,1609800072000
Fix,GT,37.4425096,-122.2358732,12.073293185941877,22.016365,0.1,207.14995,1609800073000
Fix,GT,37.4423326,-122.235987,13.380347259373403,22.066011,0.1,207.07051,1609800074000
Fix,GT,37.4421566,-122.2361013,14.685278386600782,21.958523,0.1,207.56499,1609800075000
Fix,GT,37.441983,-122.2362175,15.766241032700986,21.647161,0.1,208.25723,1609800076000
Fix,GT,37.4418139,-122.2363339,16.797221180874388,21.233057,0.099,208.88306,1609800077000
Fix,GT,37.4416482,-122.236452,17.671231911511857,21.021595,0.1,210.09013,1609800078000
Fix,GT,37.4414883,-122.2365757,18.522241807611657,20.688005,0.1,212.64067,1609800079000
Fix,GT,37.4413358,-122.2367071,19.563233311521355,20.50965,0.1,215.72955,1609800080000
Fix,GT,37.44119,-122.2368511,20.646238234379098,20.65772,0.1,220.1544,1609800081000
Fix,GT,37.4410537,-122.2370109,21.70331071091094,20.85915,0.1,225.03993,1609800082000
Fix,GT,37.440925,-122.2371872,22.913266220807564,21.571558,0.1,229.2619,1609800083000
Fix,GT,37.4408008,-122.2373823,24.17534260276938,22.643843,0.1,233.02606,1609800084000
Fix,GT,37.4406809,-122.2375958,25.592379343048663,23.520824,0.1,235.81683,1609800085000
Fix,GT,37.4405637,-122.2378184,26.93732712744223,23.699087,0.1,236.75256,1609800086000
Fix,GT,37.440443,-122.2380401,28.46135887672938,23.739042,0.1,234.201,1609800087000
Fix,GT,37.4403134,-122.2382533,29.800301249675453,23.77321,0.1,231.46297,1609800088000
Fix,GT,37.4401771,-122.2384617,31.02728346058447,23.896933,0.1,229.74747,1609800089000
Fix,GT,37.4400344,-122.2386654,32.205322267379614,24.131538,0.1,227.59245,1609800090000
Fix,GT,37.4398834,-122.2388649,33.46831129701063,24.567997,0.1,225.53125,1609800091000
Fix,GT,37.4397242,-122.2390623,34.5772959007225,25.075197,0.1,223.7074,1609800092000
