MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4444957,-122.2323146,11.751000089945766,8.2515385e-07,0.1,78.68988,1615921156000
Fix,GT,37.4444957,-122.2323146,11.751000132253626,0.002236068,0.1,78.6897,1615921157000
Fix,GT,37.4444957,-122.2323146,11.752000137495344,0.0022359812,0.1,78.689575,1615921158000
Fix,GT,37.4444957,-122.2323146,11.751999823171412,0.0020000867,0.099,78.690125,1615921159000
Fix,GT,37.4444957,-122.2323146,11.75200019735028,0.002235614,0.1,78.690186,1615921160000
Fix,GT,37.4444957,-122.2323146,11.751999871055364,0.0009996332,0.1,78.690125,1615921161000
Fix,GT,37.4444957,-122.2323146,11.752000256863193,0.0,0.1,78.69028,1615921162000
Fix,GT,37.4444957,-122.2323146,11.751999930568273,5.1747065e-07,0.1,78.6904,1615921163000
Fix,GT,37.4444957,-122.2323146,11.75200030474714,0.0014136968,0.1,78.69107,1615921164000
Fix,GT,37.4444957,-122.2323146,11.751999978452224,0.0,0.1,78.69086,1615921165000
Fix,GT,37.4444957,-122.2323146,11.751999652157306,3.6457203e-07,0.1,78.690704,1615921166000
Fix,GT,37.4444957,-122.2323146,11.752000037965132,0.001,0.1,78.69086,1615921167000
Fix,GT,37.4444957,-122.2323146,11.751999723299177,0.001,0.1,78.690796,1615921168000
Fix,GT,37.4444957,-122.2323146,11.752000109107,0.0009996368,0.1,78.69089,1615921169000
Fix,GT,37.4444957,-122.2323146,11.751999782812083,0.0,0.1,78.6911,1615921170000
Fix,GT,37.4444957,-122.2323146,11.75200016896194,0.0,0.1,78.6911,1615921171000
Fix,GT,37.4444957,-122.2323146,11.75199985429598,0.0,0.1,78.69092,1615921172000
Fix,GT,37.4444957,-122.2323146,11.752000228474849,0.0,0.1,78.69089,1615921173000
Fix,GT,37.4444957,-122.2323146,11.751999913808891,0.0,0.1,78.69125,1615921174000
Fix,GT,37.4444957,-122.2323146,11.752000299616718,3.60574e-07,0.1,78.69153,1615921175000
Fix,GT,37.4444957,-122.2323146,11.7519999733218,0.0009999999,0.1,78.691345,1615921176000
Fix,GT,37.4444957,-122.2323146,11.751999658655842,0.0009996403,0.099,78.69141,1615921177000
Fix,GT,37.4444957,-122.2323146,11.75200003283471,3.5924e-07,0.1,78.69141,1615921178000
Fix,GT,37.4444957,-122.2323146,11.75199971851078,0.001,0.1,78.69159,1615921179000
Fix,GT,37.4444957,-122.2323146,11.752000104318608,0.0010001485,0.1,78.69165,1615921180000
Fix,GT,37.4444957,-122.2323146,11.751999789652649,0.0014142136,0.1,78.69159,1615921181000
Fix,GT,37.4444957,-122.2323146,11.752000175802504,0.0014142136,0.1,78.69162,1615921182000
Fix,GT,37.4444957,-122.2323146,11.751999861136548,0.0014142136,0.1,78.69177,1615921183000
Fix,GT,37.4444957,-122.2323146,11.752000246944371,0.001414066,0.1,78.69174,1615921184000
Fix,GT,37.4444957,-122.2323146,11.751999932278414,0.001,0.1,78.691895,1615921185000
Fix,GT,37.4444957,-122.2323146,11.75200031842827,0.0010001474,0.1,78.69174,1615921186000
Fix,GT,37.4444957,-122.2323146,11.751999992133351,0.0014140664,0.1,78.691925,1615921187000
Fix,GT,37.4444957,-122.2323146,11.751999689096351,0.001000147,0.099,78.6918,1615921188000
Fix,GT,37.4444957,-122.2323146,11.75200007490418,0.0014140668,0.1,78.691864,1615921189000
Fix,GT,37.4444957,-122.2323146,11.75199976058025,0.0009996461,0.1,78.691925,1615921190000
Fix,GT,37.4444957,-122.2323146,11.752000146388076,3.53468e-07,0.1,78.691864,1615921191000
Fix,GT,37.4444957,-122.2323146,11.75199983172212,0.000999647,0.1,78.691864,1615921192000
Fix,GT,37.4444957,-122.2323146,11.752000217871974,0.0,0.1,78.69183,1615921193000
Fix,GT,37.4444957,-122.2323146,11.751999903206016,3.5213603e-07,0.1,78.691925,1615921194000
Fix,GT,37.4444957,-122.2323146,11.752000289013845,0.001,0.1,78.69208,1615921195000
Fix,GT,37.4444957,-122.2323146,11.751999986318872,0.001,0.1,78.69223,1615921196000
Fix,GT,37.4444957,-122.2323146,11.751999671652912,0.0009999999,0.1,78.69238,1615921197000
Fix,GT,37.4444957,-122.2323146,11.75200005746074,0.0009996496,0.1,78.692474,1615921198000
Fix,GT,37.4444957,-122.2323146,11.75199974313681,0.0,0.099,78.692505,1615921199000
Fix,GT,37.4444957,-122.2323146,11.752000140573596,0.0,0.1,78.69232,1615921200000
Fix,GT,37.4444957,-122.2323146,11.75199982590764,0.0,0.1,78.69226,1615921201000
Fix,GT,37.4444957,-122.2323146,11.752000223686451,3.48587e-07,0.1,78.69241,1615921202000
Fix,GT,37.4444957,-122.2323146,11.751999909020494,0.001,0.1,78.692444,1615921203000
Fix,GT,37.4444957,-122.2323146,11.75200029517035,0.0010000002,0.1,78.69235,1615921204000
Fix,GT,37.4444957,-122.2323146,11.751999980504392,0.001,0.1,78.692444,1615921205000
Fix,GT,37.4444957,-122.2323146,11.75199967780942,0.001,0.1,78.692566,1615921206000
Fix,GT,37.4444957,-122.2323146,11.752000063617247,0.0010001436,0.1,78.692535,1615921207000
Fix,GT,37.4444957,-122.2323146,11.751999760580247,0.0014142134,0.1,78.69269,1615921208000
Fix,GT,37.4444957,-122.2323146,11.752000158359063,0.0014140705,0.1,78.69278,1615921209000
Fix,GT,37.4444957,-122.2323146,11.751999843693106,0.001,0.099,78.69275,1615921210000
Fix,GT,37.4444957,-122.2323146,11.75200022984296,0.0009996555,0.1,78.69278,1615921211000
Fix,GT,37.4444957,-122.2323146,11.751999915177002,3.4415e-07,0.1,78.69284,1615921212000
Fix,GT,37.4444957,-122.2323146,11.75200030098483,0.0009996564,0.1,78.693054,1615921213000
Fix,GT,37.4444957,-122.2323146,11.75199999828986,4.854472e-07,0.1,78.69266,1615921214000
Fix,GT,37.4444957,-122.2323146,11.751999695594888,0.0014144144,0.099,78.69238,1615921215000
Fix,GT,37.4444957,-122.2323146,11.752000081402716,0.0020002837,0.1,78.69272,1615921216000
Fix,GT,37.4444957,-122.2323146,11.751999790336704,0.0028286928,0.1,78.69299,1615921217000
Fix,GT,37.4444957,-122.2323146,11.75200017614453,0.003605769,0.1,78.69318,1615921218000
Fix,GT,37.4444957,-122.2323146,11.75199987344956,0.0042426405,0.1,78.693146,1615921219000
Fix,GT,37.4444957,-122.2323146,11.752000247628429,0.0042424235,0.1,78.69324,1615921220000
Fix,GT,37.4444957,-122.2323146,11.75199993296247,0.003605005,0.1,78.6933,1615921221000
Fix,GT,37.4444957,-122.2323146,11.75199999102627,0.0020003398,0.1,78.6936,1615921222000
Fix,GT,37.4444957,-122.2323146,11.751000016073958,0.0030030818,0.1,78.69354,1615921223000
Fix,GT,37.4444957,-122.2323145,11.750998357750795,0.012085172,0.1,78.69333,1615921224000
Fix,GT,37.4444958,-122.2323145,11.746999095615,0.018365625,0.1,78.69345,1615921225000
Fix,GT,37.444496,-122.2323143,11.74399980825279,0.04239828,0.099,78.693634,1615921226000
Fix,GT,37.4444983,-122.2323144,11.743989405451345,0.65860707,0.1,78.68005,1615921227000
