MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3450556,-121.9096576,-12.716000325674193,0.0010014124,0.1,139.96844,1617396187000
Fix,GT,37.3450556,-121.9096576,-12.71599996151123,0.001,0.1,139.96869,1617396188000
Fix,GT,37.3450556,-121.9096576,-12.71599985492695,0.001,0.1,139.96881,1617396189000
Fix,GT,37.3450556,-121.9096576,-12.716000124348326,0.0022284426,0.1,139.96814,1617396190000
Fix,GT,37.3450556,-121.9096576,-12.71599963583704,0.0009965895,0.099,139.96875,1617396191000
Fix,GT,37.3450556,-121.9096576,-12.715999650640413,0.0014093902,0.1,139.96832,1617396192000
Fix,GT,37.3450556,-121.9096576,-12.715999920061789,0.0009965892,0.1,139.97101,1617396193000
Fix,GT,37.3450556,-121.9096576,-12.714996905747334,0.0014142136,0.1,139.97,1617396194000
Fix,GT,37.3450556,-121.9096576,-12.716999955586392,0.001,0.1,139.96881,1617396195000
Fix,GT,37.3450556,-121.9096576,-12.710996558994983,0.001,0.1,139.96826,1617396196000
Fix,GT,37.3450556,-121.9096576,-12.70400011239946,0.0010014132,0.1,139.96838,1617396197000
Fix,GT,37.3450556,-121.9096576,-12.698000130085276,3.4117802e-06,0.1,139.96857,1617396198000
Fix,GT,37.3450556,-121.9096576,-12.691999766548165,0.000996588,0.1,139.9686,1617396199000
Fix,GT,37.3450556,-121.9096576,-12.689003701739944,0.04267049,0.1,139.9748,1617396200000
Fix,GT,37.3450534,-121.9096554,-12.680992850422394,0.56484556,0.1,140.05502,1617396201000
Fix,GT,37.3450471,-121.9096488,-12.68201005469868,1.2929413,0.1,140.17209,1617396202000
Fix,GT,37.3450352,-121.9096367,-12.682006911209786,2.0466566,0.1,140.44998,1617396203000
Fix,GT,37.3450182,-121.9096222,-12.673003138588276,2.5268457,0.1,144.5495,1617396204000
Fix,GT,37.3449958,-121.9096113,-12.681989881433314,2.8197129,0.1,156.42383,1617396205000
Fix,GT,37.3449694,-121.9096117,-12.647993308682926,3.0988934,0.1,177.04718,1617396206000
Fix,GT,37.3449416,-121.9096249,-12.611951860302591,3.5904934,0.1,198.07765,1617396207000
Fix,GT,37.3449138,-121.9096519,-12.515986263245344,4.2555895,0.1,216.677,1617396208000
Fix,GT,37.3448839,-121.909689,-12.46999286131654,5.107093,0.1,224.60857,1617396209000
Fix,GT,37.3448509,-121.9097354,-12.4339930007942,5.8056397,0.1,228.64914,1617396210000
Fix,GT,37.3448173,-121.909785,-12.383993139503058,5.6836557,0.1,229.5654,1617396211000
Fix,GT,37.3447847,-121.909833,-12.371996692001586,5.4715905,0.1,229.26997,1617396212000
Fix,GT,37.344753,-121.9098787,-12.330989635016769,5.2848253,0.099,228.79317,1617396213000
Fix,GT,37.3447209,-121.9099246,-12.30498599325749,5.5720506,0.099,228.80919,1617396214000
Fix,GT,37.3446864,-121.9099737,-12.266006744762882,6.0305324,0.1,228.57108,1617396215000
Fix,GT,37.3446485,-121.9100273,-12.234033960204572,6.6677313,0.1,228.44397,1617396216000
Fix,GT,37.3446074,-121.9100858,-12.186945415823953,6.9827623,0.1,228.60587,1617396217000
Fix,GT,37.3445668,-121.9101443,-12.172979224609907,6.7505493,0.1,228.94589,1617396218000
Fix,GT,37.3445279,-121.910201,-12.136986434865513,6.517843,0.1,229.29321,1617396219000
Fix,GT,37.3444903,-121.9102559,-12.112040992059743,6.2825437,0.1,229.25655,1617396220000
Fix,GT,37.3444542,-121.9103089,-12.082941936719232,6.0498433,0.1,229.2091,1617396221000
Fix,GT,37.3444192,-121.9103593,-12.06303054527007,5.8071904,0.099,229.02083,1617396222000
Fix,GT,37.3443854,-121.9104078,-12.037982965950388,5.569306,0.1,228.48619,1617396223000
Fix,GT,37.3443525,-121.9104538,-12.027958823729309,5.3698993,0.1,228.17114,1617396224000
Fix,GT,37.3443211,-121.9104982,-11.992000083763154,5.1539936,0.1,228.46623,1617396225000
Fix,GT,37.3442914,-121.9105411,-11.980968985591083,4.8837023,0.099,229.02513,1617396226000
Fix,GT,37.3442643,-121.9105813,-11.971000117063058,4.392019,0.1,229.6206,1617396227000
Fix,GT,37.3442408,-121.910616,-11.916999658718938,3.5871441,0.1,229.28258,1617396228000
Fix,GT,37.3442223,-121.9106421,-11.92798942052736,2.708997,0.1,228.22453,1617396229000
Fix,GT,37.3442052,-121.9106627,-11.91598991126474,2.648295,0.1,224.46918,1617396230000
Fix,GT,37.3441832,-121.9106793,-11.89200996507355,3.0279005,0.099,212.32018,1617396231000
Fix,GT,37.3441528,-121.9106872,-11.847986523337664,3.6929529,0.1,193.50215,1617396232000
Fix,GT,37.3441154,-121.9106823,-11.809958952271844,4.5744,0.1,173.8534,1617396233000
Fix,GT,37.3440722,-121.9106612,-11.707951895925216,5.6251173,0.1,157.4878,1617396234000
Fix,GT,37.3440246,-121.9106235,-11.6449928302397,6.856797,0.1,145.31189,1617396235000
Fix,GT,37.3439719,-121.9105704,-11.656990006822165,8.082335,0.1,140.53851,1617396236000
Fix,GT,37.343913,-121.9105064,-11.656003468789626,9.230307,0.1,138.83911,1617396237000
Fix,GT,37.343846,-121.9104339,-11.648979546726448,10.408923,0.1,138.95135,1617396238000
Fix,GT,37.3437716,-121.9103521,-11.632996549796312,11.445635,0.1,138.42886,1617396239000
Fix,GT,37.3436943,-121.9102657,-11.589972392094325,11.493885,0.1,138.31818,1617396240000
Fix,GT,37.3436172,-121.910181,-11.588999660017436,11.303176,0.1,138.72961,1617396241000
Fix,GT,37.3435407,-121.9100986,-11.605996373520233,10.989274,0.1,139.3418,1617396242000
Fix,GT,37.3434687,-121.9100218,-11.591003691203891,9.905037,0.1,139.50089,1617396243000
Fix,GT,37.3434058,-121.9099549,-11.592993329629302,8.331049,0.1,139.51831,1617396244000
Fix,GT,37.3433555,-121.9099013,-11.59901353044482,6.279027,0.1,139.20593,1617396245000
Fix,GT,37.3433207,-121.9098632,-11.63101389373187,3.9197464,0.1,138.65857,1617396246000
Fix,GT,37.3433017,-121.909842,-11.661006953021513,1.9431436,0.1,138.31384,1617396247000
Fix,GT,37.343292,-121.9098311,-11.680999776985033,1.1179384,0.099,138.138,1617396248000
Fix,GT,37.3432868,-121.9098253,-11.688003681165863,0.381478,0.1,138.13074,1617396249000
Fix,GT,37.3432862,-121.9098246,-11.6930035834969,0.003596633,0.1,138.13083,1617396250000
Fix,GT,37.3432862,-121.9098246,-11.69300006261724,0.0010034231,0.1,138.13171,1617396251000
Fix,GT,37.3432862,-121.9098247,-11.69099653856177,0.001,0.1,138.12949,1617396252000
Fix,GT,37.3432862,-121.9098247,-11.689003170445096,0.0079191625,0.1,138.13147,1617396253000
Fix,GT,37.3432845,-121.9098227,-11.692003301238408,0.5370374,0.1,138.12634,1617396254000
Fix,GT,37.3432786,-121.9098161,-11.699003314964472,1.1889998,0.1,138.09229,1617396255000
Fix,GT,37.3432675,-121.9098034,-11.7070065239158,2.2489886,0.1,137.81366,1617396256000
Fix,GT,37.34325,-121.9097798,-11.705996499345638,3.4625292,0.1,133.2508,1617396257000
Fix,GT,37.3432322,-121.9097388,-11.62801706604543,4.694598,0.1,117.76367,1617396258000
Fix,GT,37.3432224,-121.9096786,-11.580955787036569,6.0443273,0.1,99.17743,1617396259000
