MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4146625,-122.0741243,-25.81000076919794,0.0014142136,0.1,183.61394,1617917305636
Fix,GT,37.4146625,-122.0741243,-25.81,0.0017640316,0.1,183.61365,1617917306657
Fix,GT,37.4146625,-122.0741243,-25.81000076919794,0.0038142824,0.1,183.61328,1617917307647
Fix,GT,37.4146625,-122.0741243,-25.81,0.001911042,0.1,183.61372,1617917308660
Fix,GT,37.4146625,-122.0741243,-25.81,0.0025914733,0.1,183.6136,1617917309649
Fix,GT,37.4146625,-122.0741243,-25.81,0.002236068,0.1,183.61494,1617917310638
Fix,GT,37.4146625,-122.0741243,-25.809,0.002236068,0.1,183.61559,1617917311657
Fix,GT,37.4146609,-122.0741243,-25.812000769257544,0.434446,0.1,183.50446,1617917312648
Fix,GT,37.4146541,-122.0741248,-25.812999999999995,1.028923,0.1,183.05597,1617917313662
Fix,GT,37.4146431,-122.0741248,-25.811,1.4209387,0.1,181.69707,1617917314648
Fix,GT,37.4146293,-122.0741235,-25.80023620131612,1.6389097,0.1,178.56824,1617917315638
Fix,GT,37.4146138,-122.0741213,-25.78557122296095,1.7529454,0.1,175.5373,1617917316657
Fix,GT,37.414598,-122.0741192,-25.77851455247402,1.7865391,0.1,174.46155,1617917317648
Fix,GT,37.4145815,-122.0741175,-25.7747571811676,1.8258824,0.1,174.96198,1617917318662
Fix,GT,37.4145651,-122.0741171,-25.784678216695784,1.9274828,0.1,177.69257,1617917319653
Fix,GT,37.4145442,-122.0741233,-25.79799322843552,2.7056093,0.1,190.07782,1617917320666
Fix,GT,37.4145232,-122.0741476,-25.835950173437595,3.4720964,0.1,219.19592,1617917321656
Fix,GT,37.4145108,-122.0741914,-25.905507140934468,4.6247473,0.1,249.59708,1617917322650
Fix,GT,37.4145078,-122.0742512,-25.994278789937496,5.75469,0.1,265.8272,1617917323661
Fix,GT,37.4145055,-122.0743209,-26.07746324658394,6.687519,0.1,267.939,1617917324653
Fix,GT,37.4145057,-122.0744002,-26.14913257759809,7.409895,0.1,270.5681,1617917325642
