MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3949553,-122.10234,-5.072,0.0022345374,0.1,20.432556,1619023630999
Fix,GT,37.3949553,-122.10234,-5.072,0.0010007732,0.1,20.43396,1619023631999
Fix,GT,37.3949553,-122.10234,-5.072,0.0031601032,0.1,20.435638,1619023632999
Fix,GT,37.3949552,-122.10234,-5.072,0.0022337504,0.1,20.43814,1619023633999
Fix,GT,37.3949551,-122.10234,-5.072,0.0014157579,0.1,20.439728,1619023634999
Fix,GT,37.3949552,-122.1023401,-5.072,0.0022371837,0.1,20.441376,1619023635999
Fix,GT,37.3949552,-122.1023401,-5.072,0.0028310965,0.1,20.443054,1619023636999
Fix,GT,37.3949552,-122.1023401,-5.072,0.007208162,0.1,20.445587,1619023637999
Fix,GT,37.3949553,-122.1023401,-5.07,0.008600823,0.1,20.411865,1619023638999
Fix,GT,37.3949554,-122.1023403,-5.067,0.012808788,0.1,20.410156,1619023639999
Fix,GT,37.3949551,-122.1023394,-5.07099809551239,0.48557386,0.1,19.390259,1619023640999
Fix,GT,37.3949531,-122.1023313,-5.078,1.9585807,0.1,10.324921,1619023641999
Fix,GT,37.3949512,-122.1023067,-5.09900191295147,3.256699,0.1,1.6456604,1619023642999
Fix,GT,37.3949493,-122.1022603,-5.137,4.5431457,0.1,6.5305786,1619023643999
Fix,GT,37.3949385,-122.1021971,-5.033013449490071,5.783488,0.1,16.243378,1619023644999
Fix,GT,37.394916,-122.1021245,-4.92703465950489,6.598182,0.1,24.096344,1619023645999
Fix,GT,37.3948876,-122.1020527,-4.8150308761596685,6.8888144,0.1,28.103546,1619023646999
Fix,GT,37.3948591,-122.1019884,-4.604029009878635,5.946952,0.1,28.610687,1619023647999
Fix,GT,37.3948415,-122.1019395,-4.478019382238387,5.0751467,0.1,17.001984,1619023648999
Fix,GT,37.3948393,-122.1019039,-4.39200971198082,4.561856,0.1,350.3615,1619023649999
Fix,GT,37.3948509,-122.1018722,-4.351992213487626,4.9243917,0.1,322.75177,1619023650999
Fix,GT,37.3948801,-122.1018414,-4.364996098279953,5.8411183,0.1,300.299,1619023651999
Fix,GT,37.3949299,-122.1018115,-4.400996089935303,6.8716183,0.1,294.45294,1619023652999
Fix,GT,37.3949906,-122.1017778,-4.43198824441433,7.8924727,0.1,293.89276,1619023653999
Fix,GT,37.3950619,-122.1017375,-4.500982328534127,9.242372,0.1,296.40652,1619023654999
Fix,GT,37.3951403,-122.1016841,-4.565986226320267,9.812769,0.1,300.60513,1619023655999
Fix,GT,37.3952141,-122.1016285,-4.639992112398147,8.948389,0.1,301.39474,1619023656999
Fix,GT,37.3952764,-122.1015812,-4.683009880661965,7.2279353,0.1,301.29135,1619023657999
Fix,GT,37.3953237,-122.1015451,-4.725986137866974,4.7019114,0.1,301.7166,1619023658999
Fix,GT,37.3953491,-122.1015248,-4.761996030926704,1.9880842,0.1,303.63336,1619023659999
Fix,GT,37.3953574,-122.1015179,-4.799988067030907,0.5512072,0.1,304.22406,1619023660999
Fix,GT,37.3953641,-122.1015121,-4.814996013879776,1.172417,0.1,305.46405,1619023661999
Fix,GT,37.3953748,-122.1015022,-4.810001997172832,1.2391841,0.1,307.79333,1619023662999
Fix,GT,37.3953797,-122.1014974,-4.817,0.004351543,0.1,309.0637,1619023663999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0072839996,0.1,309.06662,1619023664999
Fix,GT,37.3953797,-122.1014974,-4.822,0.006324069,0.1,309.06567,1619023665999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0067064366,0.1,309.06784,1619023666999
Fix,GT,37.3953797,-122.1014974,-4.822,0.005001677,0.1,309.06934,1619023667999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0036068398,0.1,309.0712,1619023668999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0028284271,0.1,309.07315,1619023669999
Fix,GT,37.3953797,-122.1014974,-4.822,0.002237949,0.1,309.07507,1619023670999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0030003302,0.1,309.07657,1619023671999
Fix,GT,37.3953797,-122.1014974,-4.822,0.003,0.1,309.07828,1619023672999
Fix,GT,37.3953797,-122.1014974,-4.822,0.003161946,0.1,309.08,1619023673999
Fix,GT,37.3953797,-122.1014974,-4.822,0.002,0.1,309.08173,1619023674999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0022376354,0.1,309.0836,1619023675999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0036027355,0.1,309.08545,1619023676999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0028291151,0.1,309.0871,1619023677999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0031622776,0.1,309.0887,1619023678999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0022379842,0.1,309.09036,1619023679999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0031622776,0.1,309.0922,1619023680999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0029958459,0.1,309.09415,1619023681999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0022355767,0.1,309.0958,1619023682999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0014154352,0.1,309.09775,1619023683999
Fix,GT,37.3953797,-122.1014974,-4.822,0.0028300511,0.1,309.09937,1619023684999
Fix,GT,37.3953797,-122.1014974,-4.823,0.0036055513,0.1,309.101,1619023685999
Fix,GT,37.3953797,-122.1014973,-4.825997901916503,0.0044703176,0.1,309.10205,1619023686999
Fix,GT,37.3953812,-122.1014958,-4.840995795369149,0.611689,0.1,309.49686,1619023687999
Fix,GT,37.3953844,-122.1014926,-4.850991573810577,0.062391803,0.1,310.29562,1619023688999
Fix,GT,37.3953846,-122.1014922,-4.8589936678409575,0.123516515,0.1,310.35968,1619023689999
Fix,GT,37.3953871,-122.1014894,-4.863997885048389,0.05840731,0.1,311.04337,1619023690999
Fix,GT,37.395387,-122.1014894,-4.868997880816459,0.002002119,0.1,311.04776,1619023691999
Fix,GT,37.395387,-122.1014894,-4.869,4.246712e-06,0.1,311.04932,1619023692999
Fix,GT,37.3953871,-122.1014894,-4.869,2.127588e-06,0.1,311.05173,1619023693999
Fix,GT,37.3953871,-122.1014894,-4.87,0.0014142136,0.1,311.05386,1619023694999
Fix,GT,37.3953871,-122.1014894,-4.87,0.0030023989,0.1,311.05563,1619023695999
Fix,GT,37.3953871,-122.1014894,-4.87000214022398,0.0041231057,0.1,311.0569,1619023696999
Fix,GT,37.3953871,-122.1014895,-4.87,0.0053813485,0.1,311.059,1619023697999
Fix,GT,37.3953871,-122.1014896,-4.87,0.0050017852,0.1,311.06055,1619023698999
Fix,GT,37.3953877,-122.101489,-4.87999784719944,0.2665395,0.1,311.2052,1619023699999
Fix,GT,37.3953877,-122.1014889,-4.874002156972884,0.006713621,0.1,311.23544,1619023700999
Fix,GT,37.3953876,-122.1014889,-4.87200216114521,0.011401275,0.1,311.23685,1619023701999
Fix,GT,37.3953874,-122.1014887,-4.87,0.014558144,0.1,311.2381,1619023702999
Fix,GT,37.3953872,-122.1014885,-4.867,0.021095023,0.1,311.2374,1619023703999
Fix,GT,37.395387,-122.1014881,-4.865,0.029831506,0.1,311.23892,1619023704999
Fix,GT,37.3953866,-122.1014876,-4.862,0.04030932,0.1,311.24557,1619023705999
Fix,GT,37.3953899,-122.1014826,-4.919969451069831,1.3880837,0.1,312.16565,1619023706999
Fix,GT,37.3954091,-122.1014578,-5.12100218629837,3.8290312,0.1,319.45746,1619023707999
Fix,GT,37.3954336,-122.1014029,-4.8980109526515,4.8088827,0.1,346.07916,1619023708999
Fix,GT,37.395433,-122.1013221,-4.833008778810501,6.8946543,0.1,15.444489,1619023709999
Fix,GT,37.3954038,-122.1012351,-4.808002198934555,8.863444,0.1,25.928864,1619023710999
Fix,GT,37.3953642,-122.1011357,-4.80999559378624,10.6142435,0.1,27.126923,1619023711999
Fix,GT,37.3953146,-122.1010192,-4.824995585441589,12.581668,0.1,28.565125,1619023712999
Fix,GT,37.3952554,-122.1008855,-4.826002211511135,14.459211,0.1,29.01593,1619023713999
Fix,GT,37.3951882,-122.1007339,-4.8689645490646365,16.2436,0.1,28.78656,1619023714999
Fix,GT,37.3951143,-122.1005644,-4.946002219855785,17.966022,0.1,28.349243,1619023715999
Fix,GT,37.3950344,-122.1003787,-4.91900444817543,19.429066,0.1,28.04425,1619023716999
Fix,GT,37.3949489,-122.100177,-4.867020054876805,21.030638,0.1,27.769745,1619023717999
Fix,GT,37.3948563,-122.099959,-4.809015627443791,22.593681,0.1,28.548767,1619023718999
Fix,GT,37.3947557,-122.0997298,-4.7779955265522,23.611965,0.1,28.89563,1619023719999
Fix,GT,37.394652,-122.0994951,-4.8039910364151,23.690699,0.1,29.068542,1619023720999
Fix,GT,37.3945486,-122.0992625,-4.820017960548401,23.465769,0.1,28.924377,1619023721999
Fix,GT,37.3944475,-122.0990328,-4.777024742305279,23.083752,0.1,28.876892,1619023722999
Fix,GT,37.3943478,-122.0988067,-4.768009013652801,22.650663,0.1,29.06485,1619023723999
Fix,GT,37.3942499,-122.0985849,-4.734013546228408,22.219114,0.1,28.902313,1619023724999
Fix,GT,37.394154,-122.0983674,-4.67602940517664,21.806885,0.1,28.898865,1619023725999
Fix,GT,37.3940596,-122.0981535,-4.571029459416866,21.42192,0.1,29.069977,1619023726999
Fix,GT,37.3939653,-122.0979439,-4.512988648891449,21.01391,0.1,30.132355,1619023727999
Fix,GT,37.3938682,-122.0977412,-4.46199545109272,20.749447,0.1,32.0744,1619023728999
Fix,GT,37.3937657,-122.097542,-4.412011393725872,21.180231,0.1,33.76422,1619023729999
Fix,GT,37.3936542,-122.0973423,-4.360002282857895,21.749027,0.1,36.56894,1619023730999
