MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3949547,-122.1023386,-5.072,0.0031613428,0.1,20.435638,1619023632999
Fix,GT,37.3949547,-122.1023386,-5.072,0.0022350717,0.1,20.43814,1619023633999
Fix,GT,37.3949546,-122.1023386,-5.072,0.0014148772,0.1,20.439728,1619023634999
Fix,GT,37.3949547,-122.1023387,-5.072,0.0022365472,0.1,20.441376,1619023635999
Fix,GT,37.3949547,-122.1023387,-5.072,0.0028295736,0.1,20.443054,1619023636999
Fix,GT,37.3949547,-122.1023387,-5.072,0.00720984,0.1,20.445587,1619023637999
Fix,GT,37.3949547,-122.1023387,-5.07,0.00860168,0.1,20.411865,1619023638999
Fix,GT,37.3949548,-122.1023389,-5.067,0.0128073385,0.1,20.410156,1619023639999
Fix,GT,37.3949546,-122.102338,-5.070999182879924,0.4856697,0.1,19.389923,1619023640999
Fix,GT,37.3949528,-122.1023298,-5.078,1.9587413,0.1,10.323608,1619023641999
Fix,GT,37.394951,-122.1023051,-5.099000820338726,3.2568333,0.1,1.6453247,1619023642999
Fix,GT,37.3949491,-122.1022588,-5.137,4.5432878,0.1,6.531494,1619023643999
Fix,GT,37.394938,-122.1021956,-5.033005765318871,5.783603,0.1,16.244507,1619023644999
Fix,GT,37.3949154,-122.1021231,-4.927014854073525,6.5982704,0.1,24.096863,1619023645999
Fix,GT,37.3948869,-122.1020514,-4.815013228416444,6.8887916,0.1,28.103943,1619023646999
Fix,GT,37.3948584,-122.101987,-4.604012427568436,5.9468307,0.1,28.61023,1619023647999
Fix,GT,37.394841,-122.101938,-4.478008300542831,5.0750785,0.1,16.999817,1619023648999
Fix,GT,37.3948394,-122.1019023,-4.392004158318043,4.56182,0.1,350.35846,1619023649999
Fix,GT,37.3948516,-122.1018709,-4.351996666908265,4.92448,0.1,322.74872,1619023650999
Fix,GT,37.3948811,-122.1018405,-4.364998330235481,5.84123,0.1,300.29694,1619023651999
Fix,GT,37.394931,-122.1018108,-4.40099832701683,6.8717184,0.1,294.45288,1619023652999
Fix,GT,37.3949917,-122.101777,-4.43199497139454,7.892606,0.1,293.8927,1619023653999
Fix,GT,37.395063,-122.1017367,-4.500992442071438,9.242508,0.1,296.4071,1619023654999
Fix,GT,37.3951413,-122.1016832,-4.56599411034584,9.812721,0.1,300.60538,1619023655999
Fix,GT,37.3952152,-122.1016276,-4.6399966278076175,8.948189,0.1,301.39474,1619023656999
Fix,GT,37.3952774,-122.1015803,-4.683004223287106,7.2277417,0.1,301.29132,1619023657999
Fix,GT,37.3953247,-122.1015442,-4.725994076132775,4.7015967,0.1,301.71674,1619023658999
