MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3714847,-122.0478763,9.111,0.001,0.1,201.13797,1619480283999
Fix,GT,37.3714847,-122.0478763,9.111,0.001,0.1,201.13776,1619480284999
Fix,GT,37.3714847,-122.0478763,9.111,2.7795436e-06,0.1,201.1378,1619480285999
Fix,GT,37.3714847,-122.0478763,9.111,0.0010011513,0.1,201.13753,1619480286999
Fix,GT,37.3714847,-122.0478763,9.111,0.0022298542,0.1,201.13756,1619480287999
Fix,GT,37.3714847,-122.0478763,9.111,0.001410284,0.1,201.13786,1619480288999
Fix,GT,37.3714847,-122.0478763,9.111,0.0014102844,0.1,201.13782,1619480289999
Fix,GT,37.3714847,-122.0478763,9.111,2.7779938e-06,0.1,201.13763,1619480290999
Fix,GT,37.3714847,-122.0478763,9.111,0.0010034335,0.1,201.13776,1619480291999
Fix,GT,37.3714847,-122.0478763,9.111,0.0014164961,0.1,201.13763,1619480292999
Fix,GT,37.3714847,-122.0478763,9.111,0.001418141,0.1,201.13779,1619480293999
Fix,GT,37.3714847,-122.0478763,9.11,0.0041240747,0.1,201.13576,1619480294999
Fix,GT,37.3714847,-122.0478763,9.107002776503563,0.0070576435,0.1,201.13782,1619480295999
Fix,GT,37.3714824,-122.0478775,9.093002776145935,0.4332135,0.1,201.1171,1619480296999
Fix,GT,37.3714768,-122.04788,9.071008327543735,0.9631117,0.1,200.82114,1619480297999
Fix,GT,37.3714659,-122.0478853,9.049008326470853,1.5790864,0.1,200.94533,1619480298999
Fix,GT,37.3714506,-122.0478929,9.034005550503732,2.1146855,0.1,201.26627,1619480299999
Fix,GT,37.3714299,-122.0479033,9.02000277495384,2.8157206,0.1,201.8313,1619480300999
Fix,GT,37.371405,-122.0479158,9.049,3.04232,0.1,201.7215,1619480301999
Fix,GT,37.3713766,-122.0479289,9.086958385527137,3.7159724,0.1,200.5295,1619480302999
Fix,GT,37.3713423,-122.0479435,9.088980581998824,4.1944556,0.1,198.57217,1619480303999
Fix,GT,37.371308,-122.0479577,9.110988904953004,3.7613935,0.1,198.36943,1619480304999
Fix,GT,37.3712778,-122.0479702,9.155988906145096,3.3179848,0.1,198.59862,1619480305999
Fix,GT,37.3712528,-122.0479859,9.213975042045115,2.9194825,0.1,206.69815,1619480306999
Fix,GT,37.3712375,-122.0480102,9.30799445438385,2.6031828,0.1,227.70947,1619480307999
Fix,GT,37.3712325,-122.0480415,9.336994454860688,3.026187,0.1,252.71828,1619480308999
Fix,GT,37.3712359,-122.0480793,9.377991683363916,3.657161,0.1,273.48917,1619480309999
Fix,GT,37.3712435,-122.0481201,9.431983368515969,3.6376822,0.1,281.6834,1619480310999
Fix,GT,37.3712503,-122.0481585,9.490983370304107,3.2857444,0.1,282.40973,1619480311999
Fix,GT,37.3712563,-122.0481927,9.528986143708227,2.9884307,0.1,282.48264,1619480312999
Fix,GT,37.3712624,-122.0482256,9.659027710199355,2.9329174,0.1,282.98456,1619480313999
Fix,GT,37.3712687,-122.0482591,9.551997229278088,3.1908948,0.1,283.25558,1619480314999
