MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4843904,-122.1771769,-30.412,0.0010000974,0.1,203.06683,1627415390999
Fix,GT,37.4843904,-122.1771769,-30.412,0.0010000978,0.1,203.06677,1627415391999
Fix,GT,37.4843904,-122.1771769,-30.412,0.0019997628,0.1,203.0669,1627415392999
Fix,GT,37.4843904,-122.1771769,-30.412,0.0020000562,0.1,203.06715,1627415393999
Fix,GT,37.4843904,-122.1771769,-30.412,0.0010002392,0.1,203.067,1627415394999
Fix,GT,37.4843904,-122.1771769,-30.412,0.002000057,0.1,203.06677,1627415395999
Fix,GT,37.4843904,-122.1771769,-30.412,0.0019997589,0.1,203.06668,1627415396999
Fix,GT,37.4843904,-122.1771769,-30.411,0.001,0.1,203.06673,1627415397999
Fix,GT,37.4843904,-122.1771769,-30.412,0.002,0.1,203.03568,1627415398999
Fix,GT,37.4843904,-122.177177,-30.413,0.0014141123,0.1,203.034,1627415399999
Fix,GT,37.4843892,-122.1771774,-30.420999754428863,0.46542692,0.1,202.6877,1627415400999
Fix,GT,37.4843819,-122.1771802,-30.42999950659275,1.1650805,0.1,200.53052,1627415401999
Fix,GT,37.484369,-122.1771841,-30.44,1.7010947,0.1,196.873,1627415402999
Fix,GT,37.4843522,-122.1771876,-30.45299925363064,1.9943712,0.1,192.244,1627415403999
Fix,GT,37.4843304,-122.1771902,-30.48000049984456,3.0937405,0.1,187.14972,1627415404999
Fix,GT,37.4842965,-122.1771933,-30.49899874472618,4.4096107,0.1,184.46616,1627415405999
Fix,GT,37.4842522,-122.1771981,-30.54699924379587,5.2827735,0.1,185.79384,1627415406999
Fix,GT,37.4842114,-122.177215,-30.48100101256371,4.2322783,0.1,201.31064,1627415407999
Fix,GT,37.4841893,-122.1772495,-30.48699974578619,3.7406867,0.1,231.93053,1627415408999
Fix,GT,37.484186,-122.1772933,-30.448002808153632,4.0842137,0.1,264.21365,1627415409999
Fix,GT,37.4842016,-122.1773383,-30.36200153779983,4.599546,0.1,294.48746,1627415410999
Fix,GT,37.4842341,-122.1773729,-30.289002316892148,4.912137,0.1,321.76202,1627415411999
Fix,GT,37.4842785,-122.177385,-30.23399974149466,5.305253,0.1,350.74908,1627415412999
Fix,GT,37.4843283,-122.1773716,-30.229001817047592,6.0673656,0.1,15.020233,1627415413999
Fix,GT,37.4843817,-122.1773411,-30.09000156390667,6.9772735,0.1,24.309021,1627415414999
Fix,GT,37.4844425,-122.1773052,-30.0849965968132,7.937966,0.1,25.183655,1627415415999
Fix,GT,37.4845094,-122.1772665,-30.21099632084369,8.296095,0.1,24.354187,1627415416999
