MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3711996,-122.047714,9.215,3.7610533e-08,0.1,279.6924,1629837164999
Fix,GT,37.3711996,-122.047714,9.215,0.001,0.1,279.69232,1629837165999
Fix,GT,37.3711996,-122.047714,9.215,0.0019999738,0.1,279.69226,1629837166999
Fix,GT,37.3711996,-122.047714,9.215,0.0014141934,0.1,279.69247,1629837167999
Fix,GT,37.3711996,-122.047714,9.215,5.209446e-08,0.1,279.6923,1629837168999
Fix,GT,37.3711996,-122.047714,9.215,0.0014142136,0.1,279.69257,1629837169999
Fix,GT,37.3711996,-122.047714,9.215,0.001414189,0.1,279.69263,1629837170999
Fix,GT,37.3711996,-122.047714,9.215,0.0,0.1,279.69214,1629837171999
Fix,GT,37.3711996,-122.047714,9.215,9.3987474e-08,0.1,279.6922,1629837172999
Fix,GT,37.3711996,-122.047714,9.215,0.0014141144,0.1,279.69296,1629837173999
Fix,GT,37.3711996,-122.047714,9.215,0.0010000737,0.1,279.6926,1629837174999
Fix,GT,37.3711996,-122.047714,9.215,0.001,0.1,279.69263,1629837175999
Fix,GT,37.3711996,-122.047714,9.215,1.14386545e-07,0.1,279.69266,1629837176999
Fix,GT,37.3711996,-122.047714,9.215,8.4459785e-08,0.1,279.6924,1629837177999
Fix,GT,37.3711996,-122.047714,9.215,0.001,0.1,279.6923,1629837178999
Fix,GT,37.3711996,-122.047714,9.215,0.0,0.1,279.69244,1629837179999
Fix,GT,37.3711996,-122.047714,9.215,0.001,0.1,279.6925,1629837180999
Fix,GT,37.3711996,-122.047714,9.215,0.0009999012,0.1,279.69263,1629837181999
Fix,GT,37.3711996,-122.047714,9.215,1.0246039e-07,0.1,279.69244,1629837182999
Fix,GT,37.3711996,-122.047714,9.215,0.001,0.1,279.69266,1629837183999
Fix,GT,37.3711996,-122.047714,9.215,0.0,0.1,279.69257,1629837184999
Fix,GT,37.3711996,-122.047714,9.215,2.2661688e-07,0.1,279.69238,1629837185999
Fix,GT,37.3711996,-122.047714,9.215,0.001,0.1,279.69217,1629837186999
Fix,GT,37.3711996,-122.047714,9.215,0.0014140432,0.1,279.69223,1629837187999
Fix,GT,37.3711996,-122.047714,9.215,0.0010000515,0.1,279.69238,1629837188999
Fix,GT,37.3711996,-122.047714,9.215,0.0014142136,0.1,279.6926,1629837189999
Fix,GT,37.3711996,-122.047714,9.215,0.001,0.1,279.69254,1629837190999
Fix,GT,37.3711996,-122.047714,9.215,0.0,0.1,279.6924,1629837191999
Fix,GT,37.3711996,-122.047714,9.215,1.3840199e-07,0.1,279.6922,1629837192999
Fix,GT,37.3711996,-122.047714,9.215,0.000999858,0.1,279.69183,1629837193999
Fix,GT,37.3711996,-122.047714,9.215,0.0022359483,0.1,279.6923,1629837194999
Fix,GT,37.3711996,-122.047714,9.215,0.001,0.1,279.69214,1629837195999
Fix,GT,37.3711996,-122.047714,9.215,1.5282632e-07,0.1,279.69208,1629837196999
Fix,GT,37.3711996,-122.047714,9.215,0.0,0.1,279.6922,1629837197999
