MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.2725463,-118.615677,322.4510096097887,0.0016515341,0.1,263.6908,1638907813434
Fix,GT,34.2725463,-118.615677,322.45099039021136,0.0006515338,0.1,263.6909,1638907814434
Fix,GT,34.2725463,-118.615677,322.45099039021136,0.0003484665,0.1,263.69104,1638907815434
Fix,GT,34.2725463,-118.615677,322.45099039021136,0.0009999999,0.1,263.69116,1638907816434
Fix,GT,34.2725463,-118.615677,322.451,0.0,0.1,263.69125,1638907817434
Fix,GT,34.2725463,-118.615677,322.451,0.001,0.1,263.6914,1638907818434
Fix,GT,34.2725463,-118.615677,322.45099039021136,0.001,0.1,263.69156,1638907819434
Fix,GT,34.2725463,-118.615677,322.451,0.00114434,0.1,263.69162,1638907820434
Fix,GT,34.2725463,-118.615677,322.451,0.00034846773,0.1,263.69165,1638907821434
Fix,GT,34.2725463,-118.615677,322.451,0.00034846796,0.1,263.69174,1638907822434
Fix,GT,34.2725463,-118.615677,322.451,0.0014142136,0.1,263.69162,1638907823434
Fix,GT,34.2725463,-118.615677,322.4510096097887,0.00049280864,0.1,263.69168,1638907824434
Fix,GT,34.2725463,-118.615677,322.451,0.0014142136,0.1,263.69205,1638907825434
Fix,GT,34.2725463,-118.615677,322.45099039021136,0.001,0.1,263.6919,1638907826434
Fix,GT,34.2725463,-118.615677,322.45099039021136,0.001,0.099,263.69202,1638907827434
Fix,GT,34.2725463,-118.615677,322.4510096097887,0.0020822627,0.1,263.69202,1638907828434
Fix,GT,34.2725463,-118.615677,322.45099039021136,0.0017006046,0.1,263.6921,1638907829434
Fix,GT,34.2725463,-118.615677,322.452,0.0013484694,0.1,263.6922,1638907830434
Fix,GT,34.2725463,-118.615677,322.452,0.002045409,0.1,263.69223,1638907831434
Fix,GT,34.2725463,-118.615677,322.45235807970164,0.0050333906,0.1,263.6913,1638907832434
Fix,GT,34.2725463,-118.615677,322.4530096098482,0.005608606,0.1,263.69543,1638907833434
Fix,GT,34.2725463,-118.615677,322.4530096098482,0.0033945348,0.1,263.69366,1638907834434
Fix,GT,34.2725463,-118.615677,322.453,0.0022886824,0.1,263.69373,1638907835434
Fix,GT,34.2725463,-118.615677,322.4530096098482,0.002697593,0.1,263.6931,1638907836434
Fix,GT,34.2725463,-118.615677,322.4540096098781,0.002303058,0.1,263.6931,1638907837434
Fix,GT,34.2725463,-118.615677,322.4540096098781,0.0012698721,0.1,263.69373,1638907838434
Fix,GT,34.2725463,-118.615677,322.4553580813408,0.0019496751,0.1,263.69376,1638907839434
Fix,GT,34.2725463,-118.615677,322.4570096099675,0.002153805,0.1,263.69366,1638907840434
Fix,GT,34.2725464,-118.615677,322.45799039000275,0.0028936476,0.1,263.6937,1638907841434
Fix,GT,34.2725464,-118.615677,322.45900961002707,0.0050990195,0.1,263.6939,1638907842434
Fix,GT,34.2725463,-118.615677,322.46035808244346,0.0072801104,0.1,263.69394,1638907843434
Fix,GT,34.2725463,-118.615677,322.462,0.008804789,0.1,263.6938,1638907844434
Fix,GT,34.2725463,-118.6156771,322.46465152710675,0.010185931,0.1,263.70343,1638907845434
Fix,GT,34.2725462,-118.6156771,322.464,0.016231492,0.1,263.69122,1638907846434
Fix,GT,34.2725461,-118.6156772,322.465,0.020615527,0.1,263.69095,1638907847434
Fix,GT,34.2725459,-118.6156773,322.4639903898239,0.026200905,0.1,263.54633,1638907848434
Fix,GT,34.2725457,-118.6156774,322.4639903898239,0.030734818,0.1,263.51727,1638907849434
Fix,GT,34.2725454,-118.6156776,322.462,0.0590761,0.1,263.47552,1638907850434
Fix,GT,34.272543,-118.6156811,322.4897519829571,0.6172166,0.1,258.82294,1638907851434
Fix,GT,34.272538,-118.6156872,322.5297065614164,0.66917723,0.1,249.8393,1638907852434
Fix,GT,34.272533,-118.6156919,322.5513388620615,0.45602274,0.1,242.16168,1638907853434
Fix,GT,34.2725315,-118.615693,322.5476611375511,0.03605817,0.1,240.06941,1638907854434
Fix,GT,34.2725311,-118.615693,322.54066113710405,0.041071415,0.1,240.07207,1638907855434
Fix,GT,34.2725307,-118.615693,322.5326611366272,0.0416708,0.1,240.07465,1638907856434
Fix,GT,34.2725304,-118.6156928,322.5226611360908,0.047362667,0.1,240.07547,1638907857434
Fix,GT,34.27253,-118.6156925,322.5113126594424,0.05733923,0.1,240.0759,1638907858434
Fix,GT,34.2725296,-118.6156921,322.49866113489867,0.07090012,0.1,240.07736,1638907859434
Fix,GT,34.2725292,-118.6156914,322.4843126576841,0.08852278,0.1,240.07729,1638907860434
Fix,GT,34.272528,-118.6156911,322.465,0.32494268,0.1,238.84335,1638907861434
Fix,GT,34.2725218,-118.6156937,322.45765152299407,0.76021373,0.1,229.88658,1638907862434
Fix,GT,34.2725129,-118.6156958,322.43451522755623,1.0314974,0.1,217.83858,1638907863434
Fix,GT,34.2724996,-118.6156948,322.3401763539612,1.4731444,0.1,199.64273,1638907864434
Fix,GT,34.2724836,-118.6156866,322.371384303391,2.003449,0.1,177.27203,1638907865434
Fix,GT,34.2724677,-118.615667,322.3952934359908,2.603356,0.1,149.18051,1638907866434
Fix,GT,34.2724569,-118.6156337,322.32241474318505,3.650104,0.1,119.000854,1638907867434
Fix,GT,34.2724556,-118.6155872,322.09688452667,4.847623,0.099,93.79285,1638907868434
Fix,GT,34.2724593,-118.6155281,321.8208582766056,6.0426674,0.1,86.58978,1638907869434
Fix,GT,34.2724632,-118.6154557,321.5128032422066,7.323085,0.1,86.063995,1638907870434
Fix,GT,34.2724684,-118.6153706,321.1029603957832,8.361995,0.1,85.65497,1638907871434
Fix,GT,34.2724751,-118.6152742,320.69280322551725,9.419476,0.1,84.52515,1638907872434
Fix,GT,34.2724856,-118.6151679,320.2880153836608,10.321281,0.1,82.1781,1638907873434
Fix,GT,34.2724995,-118.6150525,319.7908790562153,11.060438,0.1,81.46295,1638907874434
Fix,GT,34.2725131,-118.6149314,319.2464396878481,11.383094,0.1,82.46045,1638907875434
Fix,GT,34.2725258,-118.6148073,318.6576972732544,11.640236,0.1,83.00488,1638907876434
Fix,GT,34.2725374,-118.6146804,318.0573278625011,11.881971,0.1,83.35925,1638907877434
Fix,GT,34.2725493,-118.6145532,317.45377866649625,11.564944,0.1,83.20618,1638907878434
Fix,GT,34.2725608,-118.614432,316.8260097145736,10.811704,0.1,82.9057,1638907879434
Fix,GT,34.2725708,-118.6143205,316.17877868375183,9.856924,0.1,83.592834,1638907880434
Fix,GT,34.2725767,-118.6142187,315.56353050071,9.140524,0.1,86.53357,1638907881434
Fix,GT,34.2725759,-118.6141185,314.92880906540154,9.275955,0.099,91.54932,1638907882434
Fix,GT,34.2725615,-118.6140183,314.17352476489543,9.477803,0.1,103.12421,1638907883434
