MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.2725488,-118.6156772,322.451,0.0,0.1,263.69092,1638907814999
Fix,GT,34.2725488,-118.6156772,322.451,0.0,0.1,263.691,1638907815999
Fix,GT,34.2725488,-118.6156772,322.451,0.0,0.1,263.6912,1638907816999
Fix,GT,34.2725488,-118.6156772,322.451,0.001,0.1,263.69153,1638907817999
Fix,GT,34.2725488,-118.6156772,322.451,6.268164e-06,0.1,263.6911,1638907818999
Fix,GT,34.2725488,-118.6156772,322.451,0.0,0.1,263.69135,1638907819999
Fix,GT,34.2725488,-118.6156772,322.451,6.2703552e-06,0.1,263.69153,1638907820999
Fix,GT,34.2725488,-118.6156772,322.451,0.001,0.1,263.69165,1638907821999
Fix,GT,34.2725488,-118.6156772,322.451,0.0014142136,0.1,263.6918,1638907822999
Fix,GT,34.2725488,-118.6156772,322.451,4.4362546e-06,0.1,263.69183,1638907823999
Fix,GT,34.2725488,-118.6156772,322.451,0.001,0.1,263.692,1638907824999
Fix,GT,34.2725488,-118.6156772,322.451,0.001,0.1,263.69168,1638907825999
Fix,GT,34.2725488,-118.6156772,322.451,0.001,0.1,263.69177,1638907826999
Fix,GT,34.2725488,-118.6156772,322.451,0.0014123747,0.1,263.6919,1638907827999
Fix,GT,34.2725488,-118.6156772,322.451,0.0010044405,0.1,263.69196,1638907828999
Fix,GT,34.2725488,-118.6156772,322.451,0.0022350196,0.1,263.6922,1638907829999
Fix,GT,34.2725488,-118.6156772,322.452,0.002236068,0.1,263.6922,1638907830999
Fix,GT,34.2725488,-118.6156772,322.4519955571293,0.009451342,0.1,263.6895,1638907831999
Fix,GT,34.2725488,-118.6156772,322.453,0.0031622776,0.1,263.69186,1638907832999
Fix,GT,34.2725488,-118.6156772,322.453,0.007044084,0.1,263.69324,1638907833999
Fix,GT,34.2725488,-118.6156772,322.453,0.0010054949,0.1,263.6936,1638907834999
Fix,GT,34.2725488,-118.6156772,322.453,0.003161556,0.1,263.69308,1638907835999
Fix,GT,34.2725488,-118.6156772,322.453,0.0031526615,0.1,263.69434,1638907836999
Fix,GT,34.2725488,-118.6156772,322.454,0.0042300597,0.1,263.6939,1638907837999
Fix,GT,34.2725488,-118.6156772,322.455,0.002236068,0.1,263.69327,1638907838999
Fix,GT,34.2725488,-118.6156772,322.456,0.0019955505,0.1,263.6937,1638907839999
Fix,GT,34.2725488,-118.6156772,322.458,0.002,0.1,263.69373,1638907840999
Fix,GT,34.2725489,-118.6156772,322.459,0.0041231057,0.1,263.69397,1638907841999
Fix,GT,34.2725488,-118.6156772,322.46,0.0063203727,0.1,263.6938,1638907842999
Fix,GT,34.2725488,-118.6156772,322.461,0.008544004,0.1,263.69373,1638907843999
Fix,GT,34.2725488,-118.6156772,322.46299554586415,0.011702364,0.1,263.6938,1638907844999
Fix,GT,34.2725487,-118.6156773,322.465,0.018774183,0.1,263.691,1638907845999
Fix,GT,34.2725486,-118.6156773,322.465,0.018378997,0.1,263.69122,1638907846999
Fix,GT,34.2725485,-118.6156774,322.465,0.02561643,0.1,263.6919,1638907847999
Fix,GT,34.2725483,-118.6156776,322.464,0.029154375,0.1,263.5191,1638907848999
Fix,GT,34.2725482,-118.6156777,322.463,0.033837847,0.1,263.51398,1638907849999
Fix,GT,34.2725471,-118.6156792,322.4719821624755,0.41740403,0.1,261.79547,1638907850999
Fix,GT,34.2725428,-118.6156854,322.51598215937616,0.73956585,0.1,253.70622,1638907851999
Fix,GT,34.2725374,-118.6156912,322.5429910779,0.6376267,0.1,245.18484,1638907852999
Fix,GT,34.2725339,-118.6156943,322.55200446194414,0.13109596,0.1,240.22879,1638907853999
Fix,GT,34.2725335,-118.6156944,322.54400446277856,0.04598454,0.1,240.07117,1638907854999
Fix,GT,34.2725332,-118.6156944,322.5360044636726,0.040513024,0.1,240.0726,1638907855999
Fix,GT,34.2725328,-118.6156943,322.52700892913344,0.044715382,0.1,240.0762,1638907856999
Fix,GT,34.2725325,-118.6156941,322.5170044654608,0.05262625,0.1,240.07668,1638907857999
Fix,GT,34.2725321,-118.6156937,322.5040089324713,0.06434119,0.1,240.0764,1638907858999
Fix,GT,34.2725317,-118.6156931,322.49100446718927,0.07999018,0.1,240.07672,1638907859999
Fix,GT,34.2725312,-118.6156924,322.4760044680834,0.08225239,0.1,240.0291,1638907860999
Fix,GT,34.2725271,-118.6156942,322.4669910620451,0.6655788,0.1,234.41412,1638907861999
Fix,GT,34.2725191,-118.6156973,322.45400446981193,0.87646294,0.1,223.65599,1638907862999
Fix,GT,34.2725072,-118.6156985,322.3830491777658,1.2995161,0.1,208.27338,1638907863999
Fix,GT,34.2724915,-118.6156943,322.34995528399946,1.6992439,0.1,187.70541,1638907864999
Fix,GT,34.2724735,-118.6156801,322.3949865825176,2.2847843,0.1,161.97229,1638907865999
Fix,GT,34.272459,-118.6156521,322.37802684032914,3.1731634,0.1,131.8836,1638907866999
Fix,GT,34.2724525,-118.6156099,322.21010738134385,4.3106503,0.1,103.48111,1638907867999
Fix,GT,34.2724554,-118.6155554,321.9461029290557,5.528496,0.1,87.31204,1638907868999
Fix,GT,34.2724589,-118.6154889,321.6571119017601,6.766392,0.1,86.35742,1638907869999
Fix,GT,34.2724635,-118.6154089,321.2921656476855,7.9283657,0.1,85.78772,1638907870999
Fix,GT,34.2724692,-118.6153175,320.8571970257759,8.996261,0.1,85.380066,1638907871999
Fix,GT,34.2724779,-118.6152151,320.4581970624924,9.927429,0.1,83.338196,1638907872999
Fix,GT,34.2724907,-118.6151035,320.0312418977022,10.855462,0.1,81.53122,1638907873999
Fix,GT,34.2725048,-118.6149843,319.4962374655008,11.275242,0.1,81.953156,1638907874999
Fix,GT,34.2725179,-118.6148616,318.92021510601046,11.535293,0.1,82.476166,1638907875999
Fix,GT,34.2725298,-118.6147358,318.34421066665647,11.78324,0.1,83.30997,1638907876999
Fix,GT,34.2725416,-118.614608,317.7182779598236,11.800501,0.1,83.27869,1638907877999
Fix,GT,34.2725533,-118.6144836,317.10127352750305,11.218958,0.1,82.98529,1638907878999
Fix,GT,34.2725642,-118.6143676,316.44928255194424,10.271462,0.1,83.14938,1638907879999
Fix,GT,34.2725725,-118.6142618,315.8282915799618,9.2956085,0.1,84.8186,1638907880999
Fix,GT,34.2725748,-118.6141624,315.2282916380763,9.227711,0.1,88.97992,1638907881999
Fix,GT,34.2725678,-118.6140622,314.4923096508384,9.346226,0.1,97.01282,1638907882999
