MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.1759681,-118.4652946,177.814,0.0022330834,0.1,182.21288,1638984173999
Fix,GT,34.1759681,-118.4652946,177.814,0.0010010016,0.1,182.21278,1638984174999
Fix,GT,34.1759681,-118.4652946,177.814,0.0028292353,0.1,182.21255,1638984175999
Fix,GT,34.1759681,-118.4652946,177.814,0.001006317,0.1,182.21312,1638984176999
Fix,GT,34.1759681,-118.4652946,177.814,0.0031633538,0.1,182.21263,1638984177999
Fix,GT,34.1759681,-118.4652946,177.814,0.0031570212,0.1,182.21257,1638984178999
Fix,GT,34.1759681,-118.4652946,177.814,0.0022354934,0.1,182.21251,1638984179999
Fix,GT,34.1759681,-118.4652946,177.814,0.0,0.1,182.21324,1638984180999
Fix,GT,34.1759681,-118.4652946,177.814,0.0014142136,0.1,182.21284,1638984181999
Fix,GT,34.1759681,-118.4652946,177.814,0.0014162221,0.1,182.21304,1638984182999
Fix,GT,34.1759681,-118.4652946,177.814,0.002997553,0.1,182.21297,1638984183999
Fix,GT,34.1759681,-118.4652946,177.814,0.003,0.1,182.21304,1638984184999
Fix,GT,34.1759681,-118.4652946,177.814,0.003164635,0.1,182.21297,1638984185999
Fix,GT,34.1759681,-118.4652946,177.814,0.004997543,0.1,182.2132,1638984186999
Fix,GT,34.1759681,-118.4652946,177.814,0.00499754,0.1,182.21317,1638984187999
Fix,GT,34.1759681,-118.4652946,177.814,0.004,0.1,182.21303,1638984188999
Fix,GT,34.1759681,-118.4652946,177.814,0.003,0.1,182.21304,1638984189999
Fix,GT,34.1759681,-118.4652946,177.814,0.0014131905,0.1,182.21324,1638984190999
Fix,GT,34.1759681,-118.4652946,177.814,0.0022340356,0.1,182.21341,1638984191999
Fix,GT,34.1759681,-118.4652946,177.816,0.005997769,0.1,182.21324,1638984192999
Fix,GT,34.175968,-118.4652946,177.818,0.011000113,0.1,182.21326,1638984193999
Fix,GT,34.1759679,-118.4652946,177.821,0.017029386,0.1,182.21333,1638984194999
Fix,GT,34.1759677,-118.4652946,177.824,0.02401834,0.1,182.21307,1638984195999
Fix,GT,34.1759674,-118.4652946,177.827,0.031059481,0.1,182.21317,1638984196999
Fix,GT,34.175967,-118.4652946,177.83,0.03904876,0.1,182.21394,1638984197999
Fix,GT,34.1759666,-118.4652946,177.8329975042939,0.042293824,0.1,182.2144,1638984198999
Fix,GT,34.1759644,-118.4652946,177.831,0.5657897,0.1,181.76021,1638984199999
Fix,GT,34.1759561,-118.4652922,177.833,1.1788645,0.1,176.08191,1638984200999
Fix,GT,34.1759433,-118.4652858,177.8210075160861,1.7194105,0.1,165.79297,1638984201999
Fix,GT,34.1759266,-118.4652757,177.80500250864029,2.3542414,0.1,157.68304,1638984202999
Fix,GT,34.1759066,-118.465263,177.80700251191854,2.5267549,0.1,153.89703,1638984203999
Fix,GT,34.1758855,-118.4652504,177.75402766650913,2.8086624,0.1,153.91821,1638984204999
Fix,GT,34.1758592,-118.4652375,177.74098740792277,3.3558302,0.1,158.2279,1638984205999
Fix,GT,34.1758321,-118.4652302,177.67401765102147,2.8071456,0.1,167.55164,1638984206999
Fix,GT,34.1758107,-118.4652295,177.60905302190784,1.986144,0.1,177.18024,1638984207999
Fix,GT,34.1757945,-118.4652382,177.38217696917056,2.1798575,0.1,195.95097,1638984208999
Fix,GT,34.1757852,-118.4652609,176.9450253134966,2.9864638,0.1,224.00883,1638984209999
Fix,GT,34.1757814,-118.4652944,177.0570050692558,4.411394,0.1,254.59972,1638984210999
Fix,GT,34.1757809,-118.4653501,177.14096954512596,6.350425,0.1,267.9043,1638984211999
Fix,GT,34.1757769,-118.4654333,177.44196950650218,8.385957,0.1,268.82843,1638984212999
Fix,GT,34.1757762,-118.465535,177.63593893575666,10.029906,0.1,269.83295,1638984213999
Fix,GT,34.1757763,-118.4656475,177.83594649994376,10.349378,0.1,269.97992,1638984214999
Fix,GT,34.1757766,-118.4657581,178.05993112570047,9.952187,0.1,269.91473,1638984215999
Fix,GT,34.1757763,-118.4658606,178.34593104040624,8.828332,0.1,269.79904,1638984216999
Fix,GT,34.1757753,-118.4659524,178.4559872133136,7.892801,0.1,269.2554,1638984217999
Fix,GT,34.1757722,-118.4660292,178.422033288002,6.4191737,0.1,266.1092,1638984218999
Fix,GT,34.17576,-118.4660959,178.34282821911572,5.9836783,0.1,255.40544,1638984219999
Fix,GT,34.175732,-118.4661588,178.47895892620087,7.2983828,0.1,237.73,1638984220999
Fix,GT,34.1756777,-118.4662185,178.53802313351633,8.7807,0.1,216.19308,1638984221999
Fix,GT,34.1755993,-118.4662596,178.45201801568268,10.073344,0.1,197.89029,1638984222999
Fix,GT,34.1755024,-118.4662789,178.35302576887608,11.446539,0.1,185.62447,1638984223999
Fix,GT,34.1753949,-118.4662874,178.28101806116103,12.328279,0.1,181.73279,1638984224999
Fix,GT,34.1752806,-118.4662874,178.25101808410884,13.084735,0.1,179.08118,1638984225999
Fix,GT,34.1751579,-118.4662903,178.20503621411325,14.139648,0.1,181.9628,1638984226999
Fix,GT,34.1750272,-118.4662977,178.14403107929232,14.878825,0.1,182.04584,1638984227999
Fix,GT,34.1748906,-118.4663019,178.09399222034216,15.296077,0.1,180.46402,1638984228999
Fix,GT,34.1747534,-118.4663029,178.02501038599013,15.148428,0.1,180.14574,1638984229999
Fix,GT,34.1746179,-118.4663044,177.9120571924448,14.914597,0.1,180.11908,1638984230999
Fix,GT,34.174481,-118.4663045,177.82504685282706,15.615717,0.1,179.55139,1638984231999
Fix,GT,34.1743361,-118.466303,177.70202866768835,16.443554,0.1,179.2799,1638984232999
Fix,GT,34.1741856,-118.4663018,177.58902609431743,16.851162,0.1,179.54883,1638984233999
Fix,GT,34.1740342,-118.4663017,177.46005486691,16.737062,0.1,179.91187,1638984234999
Fix,GT,34.1738846,-118.4663025,177.32802354335786,16.410366,0.1,180.0597,1638984235999
Fix,GT,34.1737393,-118.4663034,177.20002881127596,15.771375,0.1,180.04329,1638984236999
Fix,GT,34.1736008,-118.4663042,177.08099475502968,14.949533,0.1,180.08638,1638984237999
Fix,GT,34.1734711,-118.4663043,176.97503150916097,13.774379,0.1,179.67346,1638984238999
Fix,GT,34.1733528,-118.466305,176.88402891880273,12.462099,0.1,180.35019,1638984239999
Fix,GT,34.1732465,-118.4663076,176.77304737854004,11.164354,0.1,181.36519,1638984240999
Fix,GT,34.1731514,-118.4663125,176.67602635419365,9.897606,0.1,182.46114,1638984241999
Fix,GT,34.1730691,-118.4663175,176.579021109581,8.3683815,0.1,182.98833,1638984242999
Fix,GT,34.1730014,-118.466323,176.50002906107903,6.6090117,0.1,183.77936,1638984243999
Fix,GT,34.1729518,-118.4663277,176.43001322567463,4.3757887,0.1,184.04868,1638984244999
Fix,GT,34.1729225,-118.4663299,176.3890158904791,2.323156,0.1,183.24582,1638984245999
Fix,GT,34.1729065,-118.4663307,176.36500530314447,1.3055058,0.1,182.59166,1638984246999
Fix,GT,34.1728989,-118.4663312,176.3510026548505,0.33393806,0.1,182.5354,1638984247999
Fix,GT,34.1728985,-118.4663312,176.34100265806913,0.005820769,0.1,182.54834,1638984248999
Fix,GT,34.1728984,-118.4663312,176.33700266128778,0.0028293156,0.1,182.5458,1638984249999
Fix,GT,34.1728984,-118.4663312,176.337,0.0029979644,0.1,182.54196,1638984250999
Fix,GT,34.1728984,-118.4663312,176.337,0.001,0.1,182.54112,1638984251999
Fix,GT,34.1728984,-118.4663312,176.337,0.001,0.1,182.54146,1638984252999
Fix,GT,34.1728984,-118.4663312,176.337,0.001,0.1,182.54205,1638984253999
Fix,GT,34.1728984,-118.4663312,176.337,0.001,0.1,182.54204,1638984254999
Fix,GT,34.1728984,-118.4663312,176.337,0.0019973195,0.1,182.5424,1638984255999
Fix,GT,34.1728984,-118.4663312,176.337,0.0014142136,0.1,182.5428,1638984256999
Fix,GT,34.1728984,-118.4663312,176.337,0.001,0.1,182.54283,1638984257999
Fix,GT,34.1728984,-118.4663312,176.337,0.0028305177,0.1,182.54298,1638984258999
Fix,GT,34.1728984,-118.4663312,176.337,0.0031613784,0.1,182.54317,1638984259999
Fix,GT,34.1728984,-118.4663312,176.337,0.0042432593,0.1,182.5438,1638984260999
Fix,GT,34.1728984,-118.4663312,176.334,0.004121708,0.1,182.54413,1638984261999
Fix,GT,34.1728985,-118.4663312,176.32800270336867,0.00565011,0.1,182.54488,1638984262999
Fix,GT,34.1728985,-118.4663312,176.328,0.0030004394,0.1,182.54527,1638984263999
Fix,GT,34.1728985,-118.4663312,176.31700541973115,0.00299793,0.1,182.5456,1638984264999
Fix,GT,34.1728984,-118.4663312,176.30100271314382,0.001,0.1,182.54623,1638984265999
