MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.157036,-118.6345247,250.1250074543059,0.0017643285,0.1,55.883606,1638995321440
Fix,GT,34.157036,-118.6345247,250.1250074543059,0.0017643285,0.1,55.883636,1638995322440
Fix,GT,34.157036,-118.6345247,250.125,0.0005689619,0.1,55.883698,1638995323440
Fix,GT,34.157036,-118.6345247,250.125,0.0016498853,0.1,55.883484,1638995324440
Fix,GT,34.157036,-118.6345247,250.125,0.0026086979,0.1,55.883423,1638995325440
Fix,GT,34.157036,-118.6345247,250.125,0.004706393,0.1,55.883636,1638995326440
Fix,GT,34.157036,-118.6345246,250.125,0.0066309804,0.1,55.883728,1638995327440
Fix,GT,34.157036,-118.6345246,250.12459768307207,0.0074023176,0.1,55.88379,1638995328440
Fix,GT,34.157036,-118.6345244,250.124,0.0076634847,0.1,55.884155,1638995329440
Fix,GT,34.157036,-118.6345242,250.124,0.006334388,0.1,55.884308,1638995330440
Fix,GT,34.157036,-118.6345241,250.12400745427607,0.002236068,0.1,55.884766,1638995331440
Fix,GT,34.1570359,-118.6345241,250.12400745427607,0.0077475864,0.1,55.885162,1638995332440
Fix,GT,34.1570359,-118.6345241,250.123,0.022554787,0.1,55.88623,1638995333440
Fix,GT,34.1570358,-118.6345244,250.123,0.04339192,0.1,55.887726,1638995334440
Fix,GT,34.1570357,-118.634525,250.1244097712338,0.10230604,0.1,55.889557,1638995335440
Fix,GT,34.1570342,-118.6345282,250.12700745436547,0.54988307,0.1,56.59482,1638995336440
Fix,GT,34.1570298,-118.6345341,250.126,0.8774531,0.1,61.629395,1638995337440
Fix,GT,34.1570239,-118.6345423,250.13159768301247,1.0914471,0.1,71.28052,1638995338440
Fix,GT,34.1570177,-118.6345539,250.1224097711742,1.3731561,0.1,84.76105,1638995339440
Fix,GT,34.1570127,-118.6345706,250.1103981860876,1.6980951,0.1,102.26529,1638995340440
Fix,GT,34.157012,-118.6345914,250.07580050200224,1.8123114,0.1,122.973694,1638995341440
Fix,GT,34.157016,-118.6346083,250.05619536602487,1.1299154,0.1,139.37671,1638995342440
Fix,GT,34.157019,-118.6346139,250.0464097689092,0.094357364,0.1,142.75354,1638995343440
Fix,GT,34.1570192,-118.6346149,250.04360513493413,0.05138402,0.1,142.98282,1638995344440
Fix,GT,34.1570159,-118.6346137,250.0414023169875,0.76538074,0.1,145.50452,1638995345440
Fix,GT,34.157005,-118.6346078,250.05280463397503,1.7930051,0.1,149.3216,1638995346440
Fix,GT,34.1569883,-118.6345957,250.0880115849376,2.4640775,0.1,148.24582,1638995347440
Fix,GT,34.1569677,-118.6345798,250.1214213558733,2.9189286,0.1,147.5138,1638995348440
Fix,GT,34.156946,-118.6345633,250.16941390156745,2.7585707,0.1,147.9339,1638995349440
Fix,GT,34.1569263,-118.6345515,250.1902144070864,2.0263913,0.1,152.86719,1638995350440
Fix,GT,34.1569117,-118.634547,250.19980463385585,1.520562,0.1,161.13715,1638995351440
Fix,GT,34.1568973,-118.6345465,250.20880463373663,1.7368469,0.1,171.54443,1638995352440
Fix,GT,34.1568782,-118.6345521,250.26561672580243,2.5352163,0.1,187.23875,1638995353440
Fix,GT,34.1568561,-118.634567,250.2892069504261,2.9939694,0.1,204.84631,1638995354440
Fix,GT,34.1568371,-118.6345887,250.3234139008522,2.594851,0.1,220.03136,1638995355440
Fix,GT,34.1568263,-118.6346085,250.3586051445604,1.7951148,0.1,231.29608,1638995356440
Fix,GT,34.1568194,-118.6346266,250.21495366501807,2.2271519,0.1,240.28378,1638995357440
Fix,GT,34.1568185,-118.6346523,249.9687425818443,2.701116,0.1,261.23877,1638995358440
Fix,GT,34.1568315,-118.6346843,249.9890074502528,3.9616175,0.1,290.2801,1638995359440
Fix,GT,34.1568619,-118.6347254,250.039214401871,6.311227,0.1,311.64127,1638995360440
Fix,GT,34.1569137,-118.6347763,249.96697269898647,8.535332,0.1,321.83817,1638995361440
Fix,GT,34.1569831,-118.6348318,249.85958196261527,9.900171,0.1,327.0874,1638995362440
Fix,GT,34.157064,-118.6348906,249.7089652487636,10.970402,0.1,328.64975,1638995363440
Fix,GT,34.1571511,-118.6349535,249.5523907327652,11.490274,0.1,328.59656,1638995364440
Fix,GT,34.1572403,-118.635022,249.4135703638792,12.001991,0.1,326.86847,1638995365440
Fix,GT,34.1573335,-118.6350948,249.22273512768743,12.684793,0.1,326.74765,1638995366440
Fix,GT,34.1574324,-118.6351726,249.0697773025632,13.38183,0.1,326.3603,1638995367440
Fix,GT,34.1575334,-118.6352524,248.89038656499983,13.371601,0.1,326.43243,1638995368440
Fix,GT,34.1576336,-118.6353311,248.75656292724608,13.209341,0.1,326.96524,1638995369440
Fix,GT,34.157737,-118.6354089,248.6767888746261,13.991648,0.1,327.9546,1638995370440
Fix,GT,34.1578503,-118.6354936,248.714413902998,15.453175,0.1,327.50943,1638995371440
Fix,GT,34.1579682,-118.6355864,248.8638278067112,15.569653,0.1,325.96252,1638995372440
Fix,GT,34.1580823,-118.6356822,249.0684602509737,15.278576,0.1,323.78983,1638995373440
Fix,GT,34.1581905,-118.6357799,249.3728783158362,14.479984,0.1,322.20523,1638995374440
Fix,GT,34.1582848,-118.6358703,249.78148757857085,12.199068,0.1,320.58,1638995375440
Fix,GT,34.1583621,-118.6359487,250.17708857399225,10.344801,0.1,319.00766,1638995376440
Fix,GT,34.1584257,-118.6360177,250.5370736544728,8.356343,0.1,317.27475,1638995377440
Fix,GT,34.1584707,-118.6360693,250.80726078358293,5.4329967,0.1,315.76266,1638995378440
Fix,GT,34.1584959,-118.6360994,250.9650306583345,2.5615823,0.1,314.98804,1638995379440
Fix,GT,34.1585047,-118.6361099,251.0154023180008,0.4146297,0.1,314.8656,1638995380440
Fix,GT,34.1585051,-118.6361103,251.01040231812,0.008165102,0.1,314.8639,1638995381440
Fix,GT,34.1585051,-118.6361103,251.0110074807108,0.004049528,0.1,314.86502,1638995382440
Fix,GT,34.1585051,-118.6361103,251.01200748074052,0.0014972929,0.1,314.86685,1638995383440
Fix,GT,34.1585051,-118.6361103,251.0120074807405,0.00089961156,0.1,314.8677,1638995384440
Fix,GT,34.1585051,-118.6361103,251.0120074807405,0.001,0.1,314.86807,1638995385440
Fix,GT,34.1585051,-118.6361103,251.012,0.0005689646,0.1,314.86777,1638995386440
Fix,GT,34.1585051,-118.6361103,251.01199251925945,0.001,0.1,314.86728,1638995387440
Fix,GT,34.1585051,-118.6361103,251.01199251925945,0.0011666459,0.1,314.86697,1638995388440
Fix,GT,34.1585051,-118.6361103,251.012,0.0,0.1,314.86642,1638995389440
Fix,GT,34.1585051,-118.6361103,251.012,0.000597681,0.1,314.8655,1638995390440
Fix,GT,34.1585051,-118.6361103,251.01199251925945,0.001,0.1,314.8651,1638995391440
Fix,GT,34.1585054,-118.6361107,251.01080463862417,0.22425237,0.1,314.8541,1638995392440
Fix,GT,34.1585082,-118.636114,251.0271994770468,0.640591,0.1,314.8151,1638995393440
Fix,GT,34.1585134,-118.6361203,251.0586017960012,0.9873336,0.1,314.7359,1638995394440
Fix,GT,34.1585206,-118.6361291,251.10100411486627,1.2485126,0.1,314.6424,1638995395440
Fix,GT,34.158529,-118.6361393,251.15701159834865,1.396554,0.1,314.53317,1638995396440
Fix,GT,34.1585371,-118.6361493,251.2116092791557,1.0676272,0.1,314.4194,1638995397440
Fix,GT,34.158542,-118.6361553,251.2417971521914,0.4746341,0.1,314.36865,1638995398440
Fix,GT,34.1585435,-118.6361572,251.2499925121665,0.06555717,0.1,314.3519,1638995399440
Fix,GT,34.1585435,-118.6361573,251.24899251219628,0.0019054194,0.1,314.35153,1638995400440
Fix,GT,34.1585435,-118.6361573,251.249,0.0017448622,0.1,314.35205,1638995401440
Fix,GT,34.1585435,-118.6361573,251.2489925121963,0.001,0.1,314.35287,1638995402440
Fix,GT,34.1585435,-118.6361573,251.249,0.0014142136,0.1,314.35333,1638995403440
Fix,GT,34.1585435,-118.6361573,251.249,0.0011666466,0.1,314.35397,1638995404440
Fix,GT,34.1585435,-118.6361573,251.24900748780368,0.001,0.1,314.35434,1638995405440
Fix,GT,34.1585435,-118.6361573,251.24900748780368,0.001247567,0.1,314.3549,1638995406440
Fix,GT,34.1585435,-118.6361573,251.249,0.001247567,0.1,314.35556,1638995407440
Fix,GT,34.1585435,-118.6361573,251.24899251219628,0.0014142136,0.1,314.3563,1638995408440
Fix,GT,34.1585435,-118.6361573,251.249,0.0005689672,0.1,314.35715,1638995409440
Fix,GT,34.1585435,-118.6361573,251.249,0.0012475669,0.1,314.35797,1638995410440
Fix,GT,34.1585435,-118.6361573,251.24900748780368,0.0011666467,0.1,314.35843,1638995411440
Fix,GT,34.1585435,-118.6361573,251.249,0.0014142136,0.1,314.35913,1638995412440
Fix,GT,34.1585435,-118.6361573,251.24900748780368,0.0014972959,0.1,314.35992,1638995413440
Fix,GT,34.1585435,-118.6361573,251.249,0.001,0.1,314.361,1638995414440
Fix,GT,34.1585435,-118.6361573,251.2489925121963,0.00040232085,0.1,314.36194,1638995415440
Fix,GT,34.1585435,-118.6361573,251.24900748780368,0.0020949752,0.1,314.3631,1638995416440
Fix,GT,34.1585435,-118.6361573,251.24900748780368,0.001,0.1,314.36383,1638995417440
Fix,GT,34.1585435,-118.6361573,251.249,0.0011666468,0.1,314.36462,1638995418440
Fix,GT,34.1585435,-118.6361573,251.2489925121963,0.0008452458,0.1,314.36566,1638995419440
Fix,GT,34.1585435,-118.6361573,251.2490074878037,0.0011666468,0.1,314.36676,1638995420440
