MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.2296194,-118.4014037,227.294,0.0014166082,0.1,136.1712,1639069606999
Fix,GT,34.2296194,-118.4014037,227.294,0.002236068,0.1,136.1713,1639069607999
Fix,GT,34.2296194,-118.4014037,227.294,0.001418336,0.1,136.17133,1639069608999
Fix,GT,34.2296194,-118.4014037,227.294,0.0020029156,0.1,136.17102,1639069609999
Fix,GT,34.2296194,-118.4014037,227.294,0.0019982918,0.1,136.17072,1639069610999
Fix,GT,34.2296194,-118.4014037,227.294,0.0019982914,0.1,136.1709,1639069611999
Fix,GT,34.2296194,-118.4014037,227.294,0.0014142136,0.1,136.17087,1639069612999
Fix,GT,34.2296194,-118.4014037,227.294,0.0028243,0.1,136.17084,1639069613999
Fix,GT,34.2296194,-118.4014037,227.2949970809817,0.0042331754,0.1,136.17108,1639069614999
Fix,GT,34.2296194,-118.4014037,227.295,0.0077962046,0.1,136.17096,1639069615999
Fix,GT,34.2296194,-118.4014037,227.297,0.0042477725,0.1,136.17041,1639069616999
Fix,GT,34.2296194,-118.4014037,227.298,0.005087046,0.1,136.17017,1639069617999
Fix,GT,34.2296194,-118.4014037,227.298,0.0022377989,0.1,136.17029,1639069618999
Fix,GT,34.2296194,-118.4014037,227.298,0.004117591,0.1,136.17062,1639069619999
Fix,GT,34.2296194,-118.4014037,227.298,0.0036042556,0.1,136.1706,1639069620999
Fix,GT,34.2296194,-118.4014037,227.298,0.0028322125,0.1,136.17062,1639069621999
Fix,GT,34.2296194,-118.4014037,227.298,0.0022400732,0.1,136.17053,1639069622999
Fix,GT,34.2296194,-118.4014037,227.299,0.003607415,0.1,136.17047,1639069623999
Fix,GT,34.2296194,-118.4014037,227.299,0.004124127,0.1,136.1705,1639069624999
Fix,GT,34.2296193,-118.4014037,227.299,0.004471115,0.1,136.17035,1639069625999
Fix,GT,34.2296193,-118.4014037,227.299,0.0050990195,0.1,136.17041,1639069626999
Fix,GT,34.2296193,-118.4014037,227.3,0.004125963,0.1,136.1706,1639069627999
Fix,GT,34.2296192,-118.4014037,227.3,0.0053851646,0.1,136.17029,1639069628999
Fix,GT,34.2296192,-118.4014037,227.301,0.005833522,0.1,136.17004,1639069629999
Fix,GT,34.2296192,-118.4014036,227.302,0.008601982,0.1,136.17157,1639069630999
Fix,GT,34.2296191,-118.4014036,227.303,0.0079970695,0.1,136.1735,1639069631999
Fix,GT,34.2296191,-118.4014036,227.3049970686436,0.012648291,0.1,136.17252,1639069632999
Fix,GT,34.2296187,-118.4014028,227.304,0.339941,0.1,136.0755,1639069633999
Fix,GT,34.2296143,-118.4013961,227.303,1.307851,0.1,134.06848,1639069634999
Fix,GT,34.2296046,-118.4013797,227.30100293344256,2.3245773,0.1,129.51282,1639069635999
Fix,GT,34.2295893,-118.4013535,227.296,3.648139,0.1,126.69064,1639069636999
Fix,GT,34.229566,-118.4013147,227.28300586974612,5.104795,0.1,126.63574,1639069637999
Fix,GT,34.2295357,-118.401265,227.2680029355288,6.0106177,0.1,127.21002,1639069638999
Fix,GT,34.2295022,-118.4012146,227.24402055370808,5.859216,0.1,129.9419,1639069639999
Fix,GT,34.2294683,-118.4011703,227.24498825216293,4.9797993,0.1,134.22937,1639069640999
Fix,GT,34.2294453,-118.4011364,227.17501762568952,3.1408606,0.1,129.39203,1639069641999
Fix,GT,34.2294421,-118.4011025,227.17399412333967,2.8517025,0.1,102.79077,1639069642999
Fix,GT,34.2294602,-118.4010694,227.19898236572743,3.5229805,0.1,63.55237,1639069643999
Fix,GT,34.2294972,-118.4010562,227.2410058794022,4.205189,0.1,18.99765,1639069644999
Fix,GT,34.2295421,-118.4010734,227.23799705958368,5.739239,0.1,341.59293,1639069645999
Fix,GT,34.229592,-118.4011126,227.28698529434203,7.273511,0.1,325.93262,1639069646999
Fix,GT,34.2296483,-118.4011584,227.3699735233784,7.569199,0.1,325.95538,1639069647999
Fix,GT,34.2297055,-118.4011981,227.429982344985,6.9885573,0.1,331.56757,1639069648999
Fix,GT,34.2297609,-118.4012184,227.45801177287103,5.9144936,0.1,345.64215,1639069649999
Fix,GT,34.2298122,-118.4012146,227.4169617288709,5.5627775,0.1,5.0871887,1639069650999
Fix,GT,34.2298618,-118.4011913,227.492955830276,6.6447053,0.1,22.255493,1639069651999
Fix,GT,34.2299166,-118.4011437,227.58496760100127,8.393182,0.1,36.925323,1639069652999
Fix,GT,34.2299748,-118.4010749,227.6589823238849,9.770083,0.1,44.756317,1639069653999
Fix,GT,34.2300394,-118.4009912,227.6520117869377,11.191384,0.1,46.48761,1639069654999
Fix,GT,34.2301101,-118.4008956,227.54102947449684,12.413989,0.1,47.880615,1639069655999
Fix,GT,34.2301871,-118.4007884,227.3300796004534,13.680724,0.1,48.743225,1639069656999
Fix,GT,34.2302688,-118.4006689,226.9651326996088,14.823869,0.1,50.786713,1639069657999
Fix,GT,34.2303519,-118.4005349,226.4691563253999,15.995984,0.1,54.064484,1639069658999
Fix,GT,34.2304321,-118.4003846,225.88018881607056,16.769615,0.1,58.851074,1639069659999
Fix,GT,34.2305008,-118.4002216,225.2861623031497,17.126953,0.1,65.104675,1639069660999
Fix,GT,34.2305561,-118.400042,224.70818005257848,18.319769,0.1,72.028625,1639069661999
Fix,GT,34.2305955,-118.3998424,224.0691919057965,19.463736,0.1,79.21927,1639069662999
Fix,GT,34.230616,-118.3996274,223.45216832739115,20.479616,0.1,85.785706,1639069663999
Fix,GT,34.2306158,-118.3994003,223.0920649842024,21.483992,0.1,92.63733,1639069664999
Fix,GT,34.2305947,-118.3991632,223.0789763641357,22.48143,0.1,97.17911,1639069665999
Fix,GT,34.2305663,-118.3989163,223.19995271682737,23.475494,0.1,97.66254,1639069666999
Fix,GT,34.230535,-118.3986592,223.28096452903748,24.34533,0.1,98.19415,1639069667999
Fix,GT,34.2305004,-118.398395,223.3409763469696,24.944473,0.1,98.83237,1639069668999
Fix,GT,34.2304632,-118.3981243,223.4029792985916,25.64252,0.1,99.296875,1639069669999
Fix,GT,34.2304218,-118.3978446,223.451,26.676271,0.1,100.287994,1639069670999
Fix,GT,34.2303748,-118.3975563,223.519,27.40572,0.1,101.06348,1639069671999
Fix,GT,34.2303229,-118.3972635,223.58000295954943,27.74549,0.1,102.472015,1639069672999
Fix,GT,34.230263,-118.3969707,223.66496743708848,27.765179,0.1,104.36084,1639069673999
Fix,GT,34.2301999,-118.396681,223.6710266477465,27.42991,0.1,104.28247,1639069674999
Fix,GT,34.2301349,-118.396396,223.69002961575984,27.043304,0.1,106.1004,1639069675999
Fix,GT,34.2300606,-118.3961184,223.64302369833,26.817553,0.1,109.072174,1639069676999
