MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4150391,-122.079043,-23.260995365619657,0.0056568542,0.1,337.56616,1639594137999
Fix,GT,37.4150391,-122.079043,-23.260995358943937,0.005,0.1,337.56567,1639594138999
Fix,GT,37.4150391,-122.079043,-23.26099535238743,0.0044784513,0.1,337.56348,1639594139999
Fix,GT,37.4150391,-122.079043,-23.26099534577132,0.005827084,0.1,337.5648,1639594140999
Fix,GT,37.4150391,-122.079043,-23.2609953392148,0.005653793,0.1,337.56378,1639594141999
Fix,GT,37.4150391,-122.079043,-23.26099533253908,0.0058301394,0.1,337.56448,1639594142999
Fix,GT,37.4150391,-122.079043,-23.260995325922966,0.002848912,0.1,337.5639,1639594143999
Fix,GT,37.4150391,-122.079043,-23.26099531930685,0.004996455,0.1,337.56378,1639594144999
Fix,GT,37.4150391,-122.079043,-23.26099531263113,0.005,0.1,337.56406,1639594145999
Fix,GT,37.4150391,-122.079043,-23.261,0.005,0.1,337.56384,1639594146999
Fix,GT,37.4150391,-122.079043,-23.261,0.005,0.1,337.56384,1639594147999
Fix,GT,37.4150391,-122.079043,-23.261,0.0058270404,0.1,337.5638,1639594148999
Fix,GT,37.4150391,-122.079043,-23.261,0.00424621,0.1,337.5639,1639594149999
Fix,GT,37.4150391,-122.079043,-23.261,0.0050031007,0.1,337.56424,1639594150999
Fix,GT,37.4150391,-122.079043,-23.261,0.00499642,0.1,337.56415,1639594151999
Fix,GT,37.4150391,-122.079043,-23.261,0.005,0.1,337.564,1639594152999
Fix,GT,37.4150391,-122.079043,-23.261,0.005,0.1,337.5642,1639594153999
Fix,GT,37.4150391,-122.079043,-23.261,0.005,0.1,337.5641,1639594154999
Fix,GT,37.4150391,-122.079043,-23.261,0.0042426405,0.1,337.5641,1639594155999
Fix,GT,37.4150391,-122.079043,-23.261,0.0042396076,0.1,337.56387,1639594156999
Fix,GT,37.4150391,-122.079043,-23.261,0.0036055513,0.1,337.56406,1639594157999
Fix,GT,37.4150391,-122.079043,-23.261,0.0036055513,0.1,337.56406,1639594158999
Fix,GT,37.4150391,-122.079043,-23.261,0.0031643964,0.1,337.56418,1639594159999
Fix,GT,37.4150391,-122.079043,-23.261,0.0036055513,0.1,337.56403,1639594160999
Fix,GT,37.4150391,-122.079043,-23.261,0.0022405074,0.1,337.5641,1639594161999
Fix,GT,37.4150391,-122.079043,-23.261,0.0029952002,0.1,337.56403,1639594162999
Fix,GT,37.4150391,-122.079043,-23.261,0.0020048064,0.1,337.56403,1639594163999
Fix,GT,37.4150391,-122.079043,-23.261,0.003,0.1,337.56412,1639594164999
Fix,GT,37.4150391,-122.079043,-23.261,0.0031622776,0.1,337.5639,1639594165999
Fix,GT,37.4150391,-122.079043,-23.261,0.0031644169,0.1,337.56403,1639594166999
Fix,GT,37.4150391,-122.079043,-23.261,0.0031622776,0.1,337.56387,1639594167999
Fix,GT,37.4150391,-122.079043,-23.261,0.0036055513,0.1,337.564,1639594168999
Fix,GT,37.4150391,-122.079043,-23.261,0.0044679367,0.1,337.5638,1639594169999
Fix,GT,37.4150391,-122.079043,-23.261,0.0041139484,0.1,337.56268,1639594170999
Fix,GT,37.4150391,-122.079043,-23.261,0.0028352994,0.1,337.56427,1639594171999
Fix,GT,37.4150391,-122.079043,-23.261,0.0063873543,0.1,337.56516,1639594172999
