MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.6554335,-122.4084878,,0.00328315,0.1,88.646454,1591313195445
Fix,GT,37.6554335,-122.4084878,,0.0021309897,0.1,88.64685,1591313196445
Fix,GT,37.6554335,-122.4084878,,0.0015548815,0.1,88.64642,1591313197445
Fix,GT,37.6554335,-122.4084878,,0.0011843741,0.1,88.64642,1591313198445
Fix,GT,37.6554335,-122.4084878,,0.0017800363,0.1,88.64633,1591313199445
Fix,GT,37.6554335,-122.4084878,,0.002236068,0.1,88.64661,1591313200445
Fix,GT,37.6554335,-122.4084878,,0.0028456505,0.1,88.64731,1591313201445
Fix,GT,37.6554335,-122.4084878,,0.004596119,0.1,88.647644,1591313202445
Fix,GT,37.6554335,-122.4084878,,0.006050664,0.1,88.64673,1591313203445
Fix,GT,37.6554335,-122.4084877,,0.032083772,0.1,88.609406,1591313204445
Fix,GT,37.6554342,-122.4084854,,0.49751073,0.1,86.42322,1591313205445
Fix,GT,37.6554374,-122.4084752,,1.5662615,0.1,79.66855,1591313206445
Fix,GT,37.6554423,-122.408453,,2.4981704,0.1,74.94162,1591313207445
Fix,GT,37.655445,-122.4084217,,2.8853636,0.1,79.96658,1591313208445
Fix,GT,37.655443,-122.408389,,2.6071737,0.1,89.17523,1591313209445
Fix,GT,37.6554398,-122.4083619,,2.1427293,0.1,93.397095,1591313210445
Fix,GT,37.6554393,-122.4083385,,2.1590316,0.1,89.5235,1591313211445
Fix,GT,37.6554448,-122.4083133,,2.7630439,0.1,76.81714,1591313212445
Fix,GT,37.6554629,-122.4082855,,4.149909,0.1,53.91446,1591313213445
Fix,GT,37.6554988,-122.408258,,5.657776,0.1,30.04367,1591313214445
Fix,GT,37.6555499,-122.4082315,,6.664331,0.1,19.519318,1591313215445
Fix,GT,37.6556068,-122.4082016,,6.7227798,0.1,19.963104,1591313216445
Fix,GT,37.6556567,-122.4081715,,5.2592053,0.1,23.440704,1591313217445
Fix,GT,37.655688,-122.4081493,,2.604271,0.1,26.922516,1591313218445
Fix,GT,37.6556995,-122.4081403,,0.5527696,0.1,28.33316,1591313219445
Fix,GT,37.6557007,-122.4081394,,0.012733296,0.1,28.492981,1591313220445
Fix,GT,37.6557013,-122.4081389,,0.12773846,0.1,28.568542,1591313221445
Fix,GT,37.6557035,-122.4081372,,0.5003092,0.1,29.078491,1591313222445
Fix,GT,37.6557105,-122.4081296,,1.6462365,0.1,32.19095,1591313223445
Fix,GT,37.655725,-122.4081056,,3.4458928,0.1,44.56485,1591313224445
Fix,GT,37.6557372,-122.4080584,,4.864216,0.1,68.15588,1591313225445
Fix,GT,37.6557357,-122.4079953,,5.9604855,0.1,89.374756,1591313226445
Fix,GT,37.6557243,-122.407924,,6.672007,0.1,98.599335,1591313227445
Fix,GT,37.65571,-122.4078509,,6.4819846,0.1,100.960205,1591313228445
Fix,GT,37.6556964,-122.4077845,,5.5208254,0.1,101.470215,1591313229445
Fix,GT,37.6556849,-122.4077302,,4.423485,0.1,101.85452,1591313230445
Fix,GT,37.6556756,-122.4076868,,3.499927,0.1,101.97711,1591313231445
Fix,GT,37.6556687,-122.4076551,,2.188669,0.1,102.033844,1591313232445
Fix,GT,37.6556653,-122.4076401,,0.6800403,0.1,102.134155,1591313233445
Fix,GT,37.6556647,-122.4076377,,0.020733967,0.1,102.15604,1591313234445
Fix,GT,37.6556646,-122.4076376,,0.012211346,0.1,102.1528,1591313235445
Fix,GT,37.6556646,-122.4076376,,0.009792423,0.1,102.15439,1591313236445
Fix,GT,37.6556645,-122.4076376,,0.0066991895,0.1,102.15463,1591313237445
Fix,GT,37.6556645,-122.4076377,,0.0041819955,0.1,102.15335,1591313238445
Fix,GT,37.6556645,-122.4076377,,0.0027500044,0.1,102.15167,1591313239445
Fix,GT,37.6556645,-122.4076377,,0.0028456505,0.1,102.15091,1591313240445
Fix,GT,37.6556645,-122.4076377,,0.0036055513,0.1,102.15146,1591313241445
Fix,GT,37.6556645,-122.4076377,,0.004226247,0.1,102.15112,1591313242445
Fix,GT,37.6556645,-122.4076377,,0.006603462,0.1,102.15085,1591313243445
Fix,GT,37.6556645,-122.4076378,,0.009157181,0.1,102.150085,1591313244445
Fix,GT,37.6556646,-122.4076378,,0.011251491,0.1,102.149445,1591313245445
Fix,GT,37.6556646,-122.4076378,,0.013,0.1,102.14996,1591313246445
Fix,GT,37.6556647,-122.4076379,,0.014007899,0.1,102.14908,1591313247445
Fix,GT,37.6556648,-122.407638,,0.028945357,0.1,102.149506,1591313248445
Fix,GT,37.6556647,-122.4076368,,0.3212204,0.1,102.15164,1591313249445
Fix,GT,37.6556626,-122.4076272,,1.6105883,0.1,102.447754,1591313250445
Fix,GT,37.6556553,-122.4075988,,3.6299407,0.1,104.40326,1591313251445
Fix,GT,37.6556385,-122.4075531,,4.9651785,0.1,112.342896,1591313252445
Fix,GT,37.6556072,-122.4075057,,5.612738,0.1,129.32349,1591313253445
Fix,GT,37.6555593,-122.4074735,,6.1704197,0.1,152.38715,1591313254445
Fix,GT,37.6555017,-122.4074666,,6.440034,0.1,175.5921,1591313255445
Fix,GT,37.6554441,-122.407482,,6.412732,0.1,190.90083,1591313256445
Fix,GT,37.6553897,-122.4075048,,6.193103,0.1,195.71179,1591313257445
Fix,GT,37.6553387,-122.407527,,5.7219186,0.1,196.10559,1591313258445
Fix,GT,37.6552936,-122.4075472,,4.7677374,0.1,196.56818,1591313259445
Fix,GT,37.6552579,-122.4075635,,3.743442,0.1,196.79767,1591313260445
Fix,GT,37.655228,-122.4075769,,3.4985614,0.1,196.44894,1591313261445
Fix,GT,37.6551973,-122.4075903,,3.7387748,0.1,196.05965,1591313262445
Fix,GT,37.6551639,-122.407605,,4.1794724,0.1,196.1968,1591313263445
Fix,GT,37.6551242,-122.4076229,,5.227316,0.1,196.61057,1591313264445
Fix,GT,37.6550736,-122.4076464,,6.7818613,0.1,197.10623,1591313265445
Fix,GT,37.6550099,-122.4076768,,8.322176,0.1,197.74042,1591313266445
Fix,GT,37.6549339,-122.4077146,,9.798052,0.1,198.61111,1591313267445
Fix,GT,37.6548465,-122.4077599,,11.097837,0.1,199.48845,1591313268445
Fix,GT,37.6547507,-122.4078107,,11.852427,0.1,199.65825,1591313269445
Fix,GT,37.6546511,-122.4078626,,12.031105,0.1,199.26598,1591313270445
Fix,GT,37.6545506,-122.4079141,,12.031191,0.1,199.08264,1591313271445
Fix,GT,37.6544505,-122.4079659,,12.004335,0.1,199.31482,1591313272445
Fix,GT,37.6543505,-122.4080181,,12.096471,0.1,199.4135,1591313273445
Fix,GT,37.6542483,-122.408071,,12.539873,0.1,199.18141,1591313274445
Fix,GT,37.6541408,-122.4081261,,13.218639,0.1,198.99397,1591313275445
Fix,GT,37.6540277,-122.4081838,,13.847575,0.1,198.91998,1591313276445
Fix,GT,37.6539096,-122.4082441,,14.441193,0.1,199.01593,1591313277445
Fix,GT,37.6537868,-122.4083075,,15.031416,0.1,199.26004,1591313278445
Fix,GT,37.6536592,-122.4083738,,15.610406,0.1,199.3785,1591313279445
Fix,GT,37.6535271,-122.4084426,,16.150541,0.1,199.2652,1591313280445
Fix,GT,37.6533904,-122.408513,,16.668438,0.1,198.9646,1591313281445
Fix,GT,37.653249,-122.4085845,,17.1581,0.1,198.68353,1591313282445
Fix,GT,37.6531034,-122.4086573,,17.635094,0.1,198.38635,1591313283445
Fix,GT,37.6529531,-122.4087302,,18.13239,0.1,197.521,1591313284445
Fix,GT,37.6527974,-122.4088013,,18.675734,0.1,196.28593,1591313285445
Fix,GT,37.6526367,-122.4088705,,19.08585,0.1,195.36145,1591313286445
Fix,GT,37.6524723,-122.4089372,,19.282187,0.1,194.00017,1591313287445
Fix,GT,37.6523046,-122.4089965,,19.45444,0.1,191.08917,1591313288445
Fix,GT,37.6521329,-122.4090429,,19.639343,0.1,187.12204,1591313289445
Fix,GT,37.651957,-122.4090743,,19.911968,0.1,183.11081,1591313290445
Fix,GT,37.6517767,-122.4090911,,20.297031,0.1,179.28522,1591313291445
