MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4282812,-122.0725339,,0.014275976,0.1,238.76598,1593045251447
Fix,GT,37.4282813,-122.0725339,,0.019225482,0.1,238.76544,1593045252447
Fix,GT,37.4282814,-122.072534,,0.025426071,0.1,238.76532,1593045253447
Fix,GT,37.4282815,-122.0725342,,0.03416305,0.1,238.76044,1593045254447
Fix,GT,37.4282803,-122.0725366,,0.5194651,0.1,237.55927,1593045255447
Fix,GT,37.4282744,-122.0725452,,1.5050517,0.1,233.99045,1593045256447
Fix,GT,37.4282655,-122.0725639,,2.2944517,0.1,237.09235,1593045257447
Fix,GT,37.4282628,-122.0725948,,3.0644848,0.1,256.90002,1593045258447
Fix,GT,37.4282746,-122.0726336,,4.2868776,0.1,285.23242,1593045259447
Fix,GT,37.428301,-122.0726813,,6.1102924,0.1,302.68744,1593045260447
Fix,GT,37.4283347,-122.0727487,,7.9047837,0.1,300.409,1593045261447
Fix,GT,37.4283631,-122.0728389,,9.273192,0.1,288.48602,1593045262447
Fix,GT,37.4283782,-122.072948,,10.436014,0.1,277.20453,1593045263447
Fix,GT,37.4283819,-122.0730716,,11.5070095,0.1,271.0876,1593045264447
Fix,GT,37.4283805,-122.0732071,,12.473016,0.1,269.01984,1593045265447
Fix,GT,37.4283783,-122.0733531,,13.352751,0.1,269.14536,1593045266447
Fix,GT,37.4283769,-122.0735091,,14.277864,0.1,269.7268,1593045267447
Fix,GT,37.428376,-122.0736741,,14.857622,0.1,269.87164,1593045268447
Fix,GT,37.4283755,-122.0738425,,14.904997,0.1,269.93466,1593045269447
Fix,GT,37.4283747,-122.0740118,,15.13356,0.1,269.82144,1593045270447
Fix,GT,37.4283738,-122.0741854,,15.615562,0.1,269.68756,1593045271447
Fix,GT,37.4283727,-122.074364,,15.978204,0.1,269.79926,1593045272447
Fix,GT,37.4283721,-122.0745471,,16.47081,0.1,270.07294,1593045273447
Fix,GT,37.4283726,-122.0747366,,17.09555,0.1,270.42615,1593045274447
Fix,GT,37.4283738,-122.0749331,,17.676006,0.1,270.64444,1593045275447
Fix,GT,37.428375,-122.075135,,18.012321,0.1,270.5617,1593045276447
Fix,GT,37.428376,-122.0753388,,18.024265,0.1,270.51242,1593045277447
Fix,GT,37.4283769,-122.0755418,,17.913237,0.1,270.48273,1593045278447
Fix,GT,37.4283775,-122.0757435,,17.778725,0.1,270.34167,1593045279447
Fix,GT,37.4283779,-122.0759431,,17.567541,0.1,270.13647,1593045280447
Fix,GT,37.4283763,-122.0761403,,17.358881,0.1,268.85205,1593045281447
Fix,GT,37.4283679,-122.0763355,,17.27613,0.1,265.43433,1593045282447
Fix,GT,37.4283479,-122.076529,,17.314356,0.1,260.62988,1593045283447
Fix,GT,37.4283148,-122.07672,,17.287304,0.1,256.09863,1593045284447
Fix,GT,37.4282727,-122.0769066,,17.018381,0.1,253.26987,1593045285447
Fix,GT,37.4282274,-122.0770866,,16.342875,0.1,252.48132,1593045286447
Fix,GT,37.4281853,-122.0772583,,15.392874,0.1,253.91154,1593045287447
Fix,GT,37.4281526,-122.0774211,,14.327278,0.1,258.06796,1593045288447
Fix,GT,37.4281329,-122.0775732,,12.921923,0.1,262.992,1593045289447
Fix,GT,37.4281236,-122.0777083,,10.989916,0.1,266.61237,1593045290447
Fix,GT,37.4281202,-122.0778193,,8.614822,0.1,268.73,1593045291447
