MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4274159,-122.0699227,,0.00079582806,0.1,358.47232,1596490332437
Fix,GT,37.4274159,-122.0699227,,0.0,0.1,358.4724,1596490333437
Fix,GT,37.4274159,-122.0699227,,0.0,0.1,358.47226,1596490334437
Fix,GT,37.4274159,-122.0699227,,0.0,0.1,358.47195,1596490335437
Fix,GT,37.4274159,-122.0699227,,0.00043726465,0.1,358.47147,1596490336437
Fix,GT,37.4274159,-122.0699227,,0.0037158953,0.1,358.47253,1596490337437
Fix,GT,37.4274159,-122.0699227,,0.004495207,0.1,358.47314,1596490338437
Fix,GT,37.4274159,-122.0699227,,0.001,0.1,358.4714,1596490339437
Fix,GT,37.4274159,-122.0699227,,0.001,0.1,358.4708,1596490340437
Fix,GT,37.4274159,-122.0699227,,0.001181121,0.1,358.47052,1596490341437
Fix,GT,37.4274159,-122.0699227,,0.0014142136,0.1,358.47034,1596490342437
Fix,GT,37.4274159,-122.0699227,,0.0012330926,0.1,358.4703,1596490343437
Fix,GT,37.4274159,-122.0699227,,0.001,0.1,358.47073,1596490344437
Fix,GT,37.4274159,-122.0699227,,0.0005627354,0.1,358.47107,1596490345437
Fix,GT,37.4274159,-122.0699227,,0.00043726468,0.1,358.47083,1596490346437
Fix,GT,37.4274159,-122.0699227,,0.0015404889,0.1,358.4706,1596490347437
Fix,GT,37.4274159,-122.0699227,,0.002236068,0.1,358.47043,1596490348437
Fix,GT,37.4274159,-122.0699227,,0.0016955792,0.1,358.47043,1596490349437
Fix,GT,37.4274159,-122.0699227,,0.001,0.1,358.47055,1596490350437
Fix,GT,37.4274159,-122.0699227,,0.00056273537,0.1,358.47055,1596490351437
Fix,GT,37.4274159,-122.0699227,,0.00043726468,0.1,358.47064,1596490352437
Fix,GT,37.4274159,-122.0699227,,0.0014372647,0.1,358.47055,1596490353437
Fix,GT,37.4274159,-122.0699227,,0.0015627354,0.1,358.47034,1596490354437
Fix,GT,37.4274159,-122.0699227,,0.001,0.1,358.4703,1596490355437
Fix,GT,37.4274159,-122.0699227,,0.001181121,0.1,358.4705,1596490356437
Fix,GT,37.4274159,-122.0699227,,0.0012330926,0.1,358.4706,1596490357437
Fix,GT,37.4274159,-122.0699227,,0.00056273537,0.1,358.4706,1596490358437
Fix,GT,37.4274159,-122.0699227,,0.00043726468,0.1,358.4707,1596490359437
Fix,GT,37.4274159,-122.0699227,,0.001181121,0.1,358.4709,1596490360437
Fix,GT,37.4274159,-122.0699227,,0.0016703573,0.1,358.47092,1596490361437
Fix,GT,37.4274159,-122.0699227,,0.0015627354,0.1,358.47067,1596490362437
Fix,GT,37.4274159,-122.0699227,,0.00056273537,0.1,358.47046,1596490363437
Fix,GT,37.4274159,-122.0699227,,0.00043726468,0.1,358.47043,1596490364437
Fix,GT,37.4274159,-122.0699227,,0.001,0.1,358.47046,1596490365437
Fix,GT,37.4274159,-122.0699227,,0.001181121,0.1,358.4705,1596490366437
Fix,GT,37.4274159,-122.0699227,,0.0012330926,0.1,358.47046,1596490367437
Fix,GT,37.4274159,-122.0699227,,0.0015404889,0.1,358.47107,1596490368437
Fix,GT,37.4274159,-122.0699227,,0.0012583145,0.1,358.47147,1596490369437
Fix,GT,37.4274159,-122.0699227,,0.0004372647,0.1,358.47083,1596490370437
Fix,GT,37.4274159,-122.0699227,,0.0014372647,0.1,358.47076,1596490371437
Fix,GT,37.4274159,-122.0699227,,0.0017438564,0.1,358.47098,1596490372437
Fix,GT,37.4274159,-122.0699227,,0.0016703573,0.1,358.47092,1596490373437
Fix,GT,37.4274159,-122.0699227,,0.0021032244,0.1,358.47073,1596490374437
Fix,GT,37.4274159,-122.0699227,,0.002236068,0.1,358.4707,1596490375437
Fix,GT,37.4274159,-122.0699227,,0.0018767001,0.1,358.47064,1596490376437
Fix,GT,37.4274159,-122.0699227,,0.0012330926,0.1,358.47046,1596490377437
Fix,GT,37.4274159,-122.0699227,,0.00056273537,0.1,358.47028,1596490378437
Fix,GT,37.4274159,-122.0699227,,0.0004372647,0.1,358.47018,1596490379437
Fix,GT,37.4274159,-122.0699227,,0.001181121,0.1,358.47025,1596490380437
Fix,GT,37.4274159,-122.0699227,,0.0012330926,0.1,358.47037,1596490381437
Fix,GT,37.4274159,-122.0699227,,0.0010000002,0.1,358.47028,1596490382437
Fix,GT,37.4274159,-122.0699227,,0.00056273537,0.1,358.4703,1596490383437
Fix,GT,37.4274159,-122.0699227,,0.0,0.1,358.4702,1596490384437
Fix,GT,37.4274159,-122.0699227,,0.0006183857,0.1,358.47034,1596490385437
Fix,GT,37.4274159,-122.0699227,,0.0012330927,0.1,358.47058,1596490386437
Fix,GT,37.4274159,-122.0699227,,0.00056273537,0.1,358.47058,1596490387437
Fix,GT,37.4274159,-122.0699227,,0.0006183857,0.1,358.47052,1596490388437
Fix,GT,37.4274159,-122.0699227,,0.0017735816,0.1,358.4704,1596490389437
Fix,GT,37.4274159,-122.0699227,,0.003061203,0.1,358.4704,1596490390437
Fix,GT,37.4274159,-122.0699227,,0.0038967975,0.1,358.46985,1596490391437
Fix,GT,37.4274159,-122.0699227,,0.0046525593,0.1,358.46838,1596490392437
Fix,GT,37.4274175,-122.0699229,,0.36600837,0.1,357.8327,1596490393437
Fix,GT,37.4274245,-122.0699239,,1.306413,0.1,356.61768,1596490394437
Fix,GT,37.4274414,-122.0699253,,2.5557218,0.1,356.57626,1596490395437
Fix,GT,37.4274712,-122.0699268,,4.070875,0.1,357.4067,1596490396437
Fix,GT,37.4275152,-122.069929,,5.641473,0.1,357.7393,1596490397437
Fix,GT,37.4275725,-122.069932,,6.9692636,0.1,357.6087,1596490398437
Fix,GT,37.4276395,-122.0699359,,7.897765,0.1,357.43527,1596490399437
Fix,GT,37.4277131,-122.0699385,,8.391832,0.1,358.87347,1596490400437
Fix,GT,37.427789,-122.0699381,,8.380447,0.1,0.77108765,1596490401437
Fix,GT,37.4278641,-122.069937,,8.304995,0.1,0.68322754,1596490402437
Fix,GT,37.4279391,-122.0699371,,8.338269,0.1,359.95926,1596490403437
Fix,GT,37.428014,-122.0699381,,8.2219925,0.1,359.56995,1596490404437
Fix,GT,37.4280865,-122.0699385,,7.847991,0.1,0.29110718,1596490405437
Fix,GT,37.4281543,-122.0699374,,7.155149,0.1,1.3161621,1596490406437
Fix,GT,37.428215,-122.0699383,,6.2770624,0.1,358.32532,1596490407437
Fix,GT,37.4282666,-122.0699523,,5.4964,0.1,344.54715,1596490408437
Fix,GT,37.4283043,-122.0699879,,5.1095963,0.1,320.01907,1596490409437
Fix,GT,37.4283235,-122.0700398,,5.154213,0.1,294.33594,1596490410437
Fix,GT,37.4283293,-122.070101,,5.838414,0.1,277.95688,1596490411437
Fix,GT,37.4283307,-122.070173,,6.857785,0.1,272.21298,1596490412437
Fix,GT,37.42833,-122.0702546,,7.4919224,0.1,269.85748,1596490413437
Fix,GT,37.4283281,-122.0703403,,7.70071,0.1,268.91086,1596490414437
Fix,GT,37.4283264,-122.0704274,,7.719126,0.1,269.37924,1596490415437
Fix,GT,37.4283262,-122.0705124,,7.21064,0.1,270.5812,1596490416437
Fix,GT,37.4283274,-122.070587,,5.911993,0.1,271.81604,1596490417437
Fix,GT,37.4283289,-122.0706471,,4.8142986,0.1,272.22937,1596490418437
Fix,GT,37.4283299,-122.0707004,,4.7589407,0.1,271.7425,1596490419437
Fix,GT,37.4283306,-122.0707575,,5.5285206,0.1,270.95853,1596490420437
Fix,GT,37.4283304,-122.0708274,,6.827775,0.1,269.81146,1596490421437
Fix,GT,37.428329,-122.0709106,,7.892009,0.1,268.88214,1596490422437
Fix,GT,37.4283273,-122.0710032,,8.407055,0.1,268.72913,1596490423437
Fix,GT,37.4283255,-122.0710983,,8.296388,0.1,268.83234,1596490424437
Fix,GT,37.4283244,-122.0711882,,7.4907618,0.1,269.42694,1596490425437
Fix,GT,37.4283247,-122.0712652,,6.2032914,0.1,270.63174,1596490426437
Fix,GT,37.4283257,-122.0713287,,5.304493,0.1,271.52127,1596490427437
Fix,GT,37.428327,-122.0713885,,5.4096193,0.1,271.7781,1596490428437
Fix,GT,37.4283288,-122.0714549,,6.455881,0.1,272.0212,1596490429437
Fix,GT,37.4283308,-122.0715351,,7.729455,0.1,271.73,1596490430437
Fix,GT,37.4283321,-122.071629,,8.849592,0.1,270.81805,1596490431437
Fix,GT,37.4283321,-122.0717341,,9.641865,0.1,269.79495,1596490432437
Fix,GT,37.4283308,-122.0718451,,9.928299,0.1,268.96106,1596490433437
Fix,GT,37.4283284,-122.071957,,9.835491,0.1,268.55743,1596490434437
Fix,GT,37.4283264,-122.0720667,,9.53933,0.1,268.98596,1596490435437
Fix,GT,37.4283253,-122.072172,,9.082566,0.1,269.35748,1596490436437
Fix,GT,37.4283231,-122.0722718,,8.552657,0.1,267.78223,1596490437437
Fix,GT,37.4283167,-122.072365,,7.911379,0.1,263.67337,1596490438437
Fix,GT,37.4283047,-122.0724466,,6.649565,0.1,257.71582,1596490439437
Fix,GT,37.4282904,-122.0725084,,4.669594,0.1,252.94696,1596490440437
Fix,GT,37.4282804,-122.0725508,,3.2771146,0.1,254.24094,1596490441437
Fix,GT,37.4282787,-122.072587,,3.4214053,0.1,265.46298,1596490442437
Fix,GT,37.4282897,-122.0726285,,4.5898185,0.1,285.06396,1596490443437
Fix,GT,37.4283131,-122.0726822,,6.366767,0.1,297.60995,1596490444437
Fix,GT,37.4283429,-122.0727556,,8.126858,0.1,295.98547,1596490445437
Fix,GT,37.4283692,-122.07285,,9.352076,0.1,286.54462,1596490446437
Fix,GT,37.4283796,-122.0729565,,9.595279,0.1,273.39752,1596490447437
Fix,GT,37.4283763,-122.0730629,,9.398717,0.1,266.9748,1596490448437
Fix,GT,37.4283721,-122.0731714,,9.970675,0.1,267.77362,1596490449437
Fix,GT,37.4283697,-122.0732907,,11.179844,0.1,269.22473,1596490450437
Fix,GT,37.42837,-122.0734231,,12.239821,0.1,270.9956,1596490451437
Fix,GT,37.4283725,-122.0735666,,13.131,0.1,271.3749,1596490452437
Fix,GT,37.4283745,-122.0737197,,13.988487,0.1,270.9368,1596490453437
Fix,GT,37.428376,-122.073882,,14.720638,0.1,270.91888,1596490454437
Fix,GT,37.4283775,-122.0740517,,15.280125,0.1,270.79318,1596490455437
Fix,GT,37.4283782,-122.0742267,,15.662079,0.1,270.29053,1596490456437
Fix,GT,37.4283783,-122.074405,,15.857441,0.1,270.25708,1596490457437
Fix,GT,37.4283788,-122.0745847,,15.96599,0.1,270.48813,1596490458437
Fix,GT,37.4283796,-122.0747658,,16.112755,0.1,270.5043,1596490459437
Fix,GT,37.42838,-122.0749488,,16.30358,0.1,270.25723,1596490460437
Fix,GT,37.4283798,-122.0751342,,16.527342,0.1,269.9908,1596490461437
Fix,GT,37.4283791,-122.0753219,,16.678112,0.1,269.9734,1596490462437
Fix,GT,37.4283788,-122.0755103,,16.647518,0.1,270.1801,1596490463437
Fix,GT,37.4283791,-122.0756976,,16.488598,0.1,270.4724,1596490464437
Fix,GT,37.4283798,-122.0758815,,16.036327,0.1,270.4196,1596490465437
Fix,GT,37.4283797,-122.0760593,,15.456716,0.1,269.99652,1596490466437
Fix,GT,37.4283774,-122.076232,,15.117441,0.1,268.5172,1596490467437
Fix,GT,37.428369,-122.0764004,,14.788336,0.1,265.05008,1596490468437
Fix,GT,37.4283511,-122.0765646,,14.579039,0.1,260.74744,1596490469437
Fix,GT,37.4283237,-122.0767256,,14.57181,0.1,256.51892,1596490470437
Fix,GT,37.4282876,-122.0768839,,14.55949,0.1,252.86243,1596490471437
Fix,GT,37.4282459,-122.0770391,,14.402487,0.1,251.15622,1596490472437
Fix,GT,37.4282057,-122.0771921,,14.114907,0.1,252.76709,1596490473437
Fix,GT,37.428172,-122.0773431,,13.592296,0.1,255.83627,1596490474437
Fix,GT,37.4281471,-122.0774871,,12.377462,0.1,259.42926,1596490475437
Fix,GT,37.428132,-122.0776161,,10.685385,0.1,263.4502,1596490476437
Fix,GT,37.4281252,-122.0777259,,8.790393,0.1,266.88873,1596490477437
Fix,GT,37.4281233,-122.0778131,,6.7047834,0.1,269.22968,1596490478437
Fix,GT,37.4281232,-122.0778781,,4.868791,0.1,270.2989,1596490479437
Fix,GT,37.4281235,-122.077923,,3.1001377,0.1,270.49924,1596490480437
Fix,GT,37.4281236,-122.0779487,,1.5312145,0.1,270.39532,1596490481437
Fix,GT,37.4281236,-122.0779602,,0.61864763,0.1,270.31665,1596490482437
Fix,GT,37.4281236,-122.077964,,0.17066719,0.1,270.25836,1596490483437
Fix,GT,37.4281237,-122.0779646,,0.00674965,0.1,270.24512,1596490484437
