MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3178899,-121.9483664,,0.050039984,0.1,89.77582,1607638643999
Fix,GT,37.3178899,-121.9483664,,0.050039984,0.1,89.77536,1607638644999
Fix,GT,37.3178899,-121.9483664,,0.04909176,0.1,89.7749,1607638645999
Fix,GT,37.3178899,-121.9483664,,0.04809367,0.1,89.77438,1607638646999
Fix,GT,37.3178899,-121.9483664,,0.047095656,0.1,89.77414,1607638647999
Fix,GT,37.3178899,-121.9483664,,0.04904078,0.1,89.773926,1607638648999
Fix,GT,37.3178899,-121.9483664,,0.049091753,0.1,89.77536,1607638649999
Fix,GT,37.3178898,-121.9483664,,0.047095668,0.1,89.77084,1607638650999
Fix,GT,37.3178898,-121.9483664,,0.046097733,0.1,89.77228,1607638651999
Fix,GT,37.3178898,-121.9483664,,0.043185677,0.1,89.772,1607638652999
Fix,GT,37.3178898,-121.9483664,,0.043104526,0.1,89.77164,1607638653999
Fix,GT,37.3178898,-121.9483664,,0.051156547,0.1,89.77075,1607638654999
Fix,GT,37.3178898,-121.9483664,,0.0581377,0.1,89.77051,1607638655999
Fix,GT,37.3178898,-121.9483664,,0.06618905,0.1,89.7702,1607638656999
Fix,GT,37.3178893,-121.9483664,,0.07516639,0.1,89.7699,1607638657999
Fix,GT,37.3178839,-121.948366,,0.084148586,0.1,89.76935,1607638658999
Fix,GT,37.3178834,-121.9483659,,0.096187204,0.1,89.76904,1607638659999
Fix,GT,37.3178829,-121.9483659,,0.111161895,0.1,89.76874,1607638660999
Fix,GT,37.3178825,-121.9483658,,0.1381301,0.1,89.76868,1607638661999
Fix,GT,37.317881,-121.9483657,,0.1611984,0.1,89.76938,1607638662999
Fix,GT,37.3178793,-121.9483655,,0.17718053,0.1,89.7684,1607638663999
Fix,GT,37.3178773,-121.9483654,,0.18204391,0.1,89.76776,1607638664999
Fix,GT,37.3178752,-121.9483653,,0.18500267,0.1,89.76654,1607638665999
Fix,GT,37.3178727,-121.948365,,0.20200974,0.1,89.76782,1607638666999
Fix,GT,37.3178722,-121.9483649,,0.22826493,0.1,89.76593,1607638667999
Fix,GT,37.3178718,-121.9483649,,0.25470936,0.1,89.76514,1607638668999
Fix,GT,37.3178714,-121.9483649,,0.27841133,0.1,89.76495,1607638669999
Fix,GT,37.3178707,-121.9483648,,0.29783365,0.1,89.76483,1607638670999
Fix,GT,37.3178662,-121.9483655,,0.2667905,0.1,89.762085,1607638671999
Fix,GT,37.3178637,-121.9483616,,0.6790318,0.1,89.76666,1607638672999
Fix,GT,37.3178614,-121.9483452,,1.2421508,0.1,92.26453,1607638673999
Fix,GT,37.317857,-121.9483217,,1.9697398,0.1,100.03461,1607638674999
Fix,GT,37.3178501,-121.9482873,,2.9599802,0.1,111.797424,1607638675999
Fix,GT,37.31785,-121.9482454,,3.7867234,0.1,114.7742,1607638676999
Fix,GT,37.3178632,-121.9482041,,3.6171482,0.1,108.39801,1607638677999
Fix,GT,37.3178767,-121.9481775,,2.3179574,0.1,103.16406,1607638678999
Fix,GT,37.3178871,-121.9481649,,2.0155416,0.1,99.26041,1607638679999
Fix,GT,37.3178967,-121.9481516,,2.3966894,0.1,97.59265,1607638680999
Fix,GT,37.3178863,-121.948126,,2.2873397,0.1,113.581116,1607638681999
Fix,GT,37.3178461,-121.9481078,,2.3626826,0.1,144.34216,1607638682999
Fix,GT,37.3178026,-121.9481142,,2.5774913,0.1,168.08423,1607638683999
Fix,GT,37.3177735,-121.9481228,,2.674741,0.1,178.74536,1607638684999
Fix,GT,37.3177557,-121.9481236,,3.1640172,0.1,180.56439,1607638685999
Fix,GT,37.317734,-121.9481203,,3.766083,0.1,180.41,1607638686999
Fix,GT,37.3177047,-121.9481145,,4.1050024,0.1,181.16422,1607638687999
Fix,GT,37.3176336,-121.9481128,,4.0990825,0.1,181.62572,1607638688999
Fix,GT,37.3175895,-121.9481123,,4.08011,0.1,180.38596,1607638689999
Fix,GT,37.3175499,-121.9481111,,3.9679554,0.1,178.96893,1607638690999
Fix,GT,37.3175121,-121.9481105,,4.034788,0.1,178.63428,1607638691999
Fix,GT,37.3174711,-121.94811,,4.694934,0.1,178.77911,1607638692999
Fix,GT,37.3174267,-121.9481104,,4.8713794,0.1,179.91284,1607638693999
Fix,GT,37.317383,-121.9481127,,4.6767273,0.1,181.42773,1607638694999
Fix,GT,37.317342,-121.948115,,4.100068,0.1,181.35931,1607638695999
