MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3179093,-121.9485173,,0.0023610345,0.1,1.116272,1607640762435
Fix,GT,37.3179093,-121.9485173,,0.004246689,0.1,1.1153564,1607640763435
Fix,GT,37.3179093,-121.9485173,,0.0053808405,0.1,1.1148682,1607640764435
Fix,GT,37.3179093,-121.9485172,,0.008205376,0.1,1.1147461,1607640765435
Fix,GT,37.3179093,-121.9485171,,0.014342694,0.1,1.1140442,1607640766435
Fix,GT,37.3179094,-121.9485169,,0.020883901,0.1,1.1137695,1607640767435
Fix,GT,37.3179094,-121.9485166,,0.03102206,0.1,1.1131897,1607640768435
Fix,GT,37.3179094,-121.9485162,,0.03993494,0.1,1.1119385,1607640769435
Fix,GT,37.3179094,-121.9485159,,0.053374983,0.1,0.6609802,1607640770435
Fix,GT,37.3179087,-121.9485165,,0.18088049,0.1,358.65497,1607640771435
Fix,GT,37.3179057,-121.9485169,,0.4653455,0.1,358.1704,1607640772435
Fix,GT,37.3179004,-121.9485144,,0.7273401,0.1,3.826294,1607640773435
Fix,GT,37.3178931,-121.9485104,,0.910034,0.1,14.161102,1607640774435
Fix,GT,37.3178836,-121.9485076,,0.9684191,0.1,26.800293,1607640775435
Fix,GT,37.3178737,-121.9485071,,0.79244196,0.1,39.17163,1607640776435
Fix,GT,37.3178669,-121.9485079,,0.38662314,0.1,46.842438,1607640777435
Fix,GT,37.3178643,-121.9485077,,0.16210784,0.1,48.84247,1607640778435
Fix,GT,37.317864,-121.9485037,,0.5656998,0.1,51.906677,1607640779435
Fix,GT,37.3178665,-121.9484912,,1.4335957,0.1,61.773743,1607640780435
Fix,GT,37.3178704,-121.9484663,,2.651621,0.1,77.60913,1607640781435
Fix,GT,37.3178713,-121.9484273,,4.0842705,0.1,91.00659,1607640782435
Fix,GT,37.3178664,-121.9483747,,5.083964,0.1,95.73395,1607640783435
Fix,GT,37.3178585,-121.9483161,,5.2034307,0.1,95.029205,1607640784435
Fix,GT,37.3178521,-121.9482604,,4.600675,0.1,92.37604,1607640785435
Fix,GT,37.3178486,-121.9482149,,3.3375885,0.1,90.02948,1607640786435
Fix,GT,37.3178456,-121.9481857,,1.8639739,0.1,89.02606,1607640787435
Fix,GT,37.3178423,-121.9481684,,1.3010683,0.1,88.58472,1607640788435
Fix,GT,37.317832,-121.9481509,,1.8378172,0.1,90.153015,1607640789435
Fix,GT,37.3178018,-121.9481263,,2.3530416,0.1,103.18051,1607640790435
Fix,GT,37.3177553,-121.9480993,,3.0924735,0.1,131.41367,1607640791435
Fix,GT,37.3177258,-121.9480807,,4.419876,0.1,161.60608,1607640792435
Fix,GT,37.3177038,-121.9480686,,5.172512,0.1,178.08868,1607640793435
Fix,GT,37.3176568,-121.9480563,,5.373869,0.1,179.82805,1607640794435
Fix,GT,37.3176105,-121.9480484,,5.618643,0.1,178.79132,1607640795435
Fix,GT,37.3175652,-121.9480465,,5.1342015,0.1,177.61853,1607640796435
Fix,GT,37.3175262,-121.9480507,,4.2610087,0.1,176.99982,1607640797435
Fix,GT,37.3174973,-121.9480615,,3.9685612,0.1,177.01422,1607640798435
Fix,GT,37.3174704,-121.9480759,,4.4729433,0.1,177.51599,1607640799435
Fix,GT,37.3174316,-121.9480856,,5.5247903,0.1,178.50464,1607640800435
Fix,GT,37.3173849,-121.9480946,,5.970323,0.1,179.77856,1607640801435
Fix,GT,37.3173376,-121.9481017,,5.3077183,0.1,179.7255,1607640802435
