MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3179092,-121.9485189,,0.0034137769,0.1,1.1173401,1607640760432
Fix,GT,37.3179092,-121.9485189,,0.002659439,0.1,1.1167603,1607640761432
Fix,GT,37.3179092,-121.9485189,,0.002358404,0.1,1.116272,1607640762432
Fix,GT,37.3179092,-121.9485189,,0.0042363564,0.1,1.1153564,1607640763432
Fix,GT,37.3179092,-121.9485189,,0.005385954,0.1,1.1148682,1607640764432
Fix,GT,37.3179092,-121.9485188,,0.008178178,0.1,1.1147461,1607640765432
Fix,GT,37.3179092,-121.9485187,,0.014333192,0.1,1.1140442,1607640766432
Fix,GT,37.3179093,-121.9485185,,0.020848548,0.1,1.1137695,1607640767432
Fix,GT,37.3179093,-121.9485182,,0.030993966,0.1,1.1131897,1607640768432
Fix,GT,37.3179093,-121.9485178,,0.039906375,0.1,1.111969,1607640769432
Fix,GT,37.3179093,-121.9485174,,0.05331405,0.1,0.6642456,1607640770432
Fix,GT,37.3179086,-121.9485181,,0.18003044,0.1,358.66534,1607640771432
Fix,GT,37.3179056,-121.9485184,,0.46437353,0.1,358.16052,1607640772432
Fix,GT,37.3179004,-121.948516,,0.7266897,0.1,3.797882,1607640773432
Fix,GT,37.3178933,-121.948512,,0.90954506,0.1,14.122559,1607640774432
Fix,GT,37.3178841,-121.948509,,0.96862674,0.1,26.758118,1607640775432
Fix,GT,37.3178744,-121.9485084,,0.7934551,0.1,39.13611,1607640776432
Fix,GT,37.3178677,-121.9485091,,0.388268,0.1,46.83252,1607640777432
Fix,GT,37.3178651,-121.9485089,,0.16161412,0.1,48.84073,1607640778432
Fix,GT,37.3178649,-121.9485048,,0.5633986,0.1,51.886597,1607640779432
Fix,GT,37.3178675,-121.9484921,,1.4302518,0.1,61.727814,1607640780432
Fix,GT,37.3178715,-121.9484669,,2.6470761,0.1,77.55319,1607640781432
Fix,GT,37.3178725,-121.9484276,,4.0797167,0.1,90.981384,1607640782432
Fix,GT,37.3178678,-121.9483749,,5.082576,0.1,95.73212,1607640783432
Fix,GT,37.3178597,-121.9483163,,5.2043567,0.1,95.03668,1607640784432
Fix,GT,37.3178533,-121.9482607,,4.603867,0.1,92.38568,1607640785432
Fix,GT,37.3178498,-121.9482151,,3.3426585,0.1,90.03412,1607640786432
Fix,GT,37.3178468,-121.948186,,1.8681464,0.1,89.027405,1607640787432
Fix,GT,37.3178435,-121.9481686,,1.2997675,0.1,88.58624,1607640788432
Fix,GT,37.3178333,-121.9481511,,1.8355906,0.1,90.13965,1607640789432
Fix,GT,37.3178031,-121.9481261,,2.3521705,0.1,103.102905,1607640790432
Fix,GT,37.3177565,-121.9480984,,3.0882142,0.1,131.30841,1607640791432
Fix,GT,37.3177263,-121.9480793,,4.41572,0.1,161.52234,1607640792432
Fix,GT,37.3177042,-121.9480671,,5.1724105,0.1,178.07703,1607640793432
Fix,GT,37.317657,-121.9480547,,5.372534,0.1,179.83049,1607640794432
Fix,GT,37.3176107,-121.9480468,,5.618588,0.1,178.79572,1607640795432
Fix,GT,37.3175656,-121.948045,,5.1378026,0.1,177.62134,1607640796432
Fix,GT,37.3175265,-121.9480492,,4.2627087,0.1,177.00061,1607640797432
Fix,GT,37.3174976,-121.9480599,,3.9684906,0.1,177.01306,1607640798432
Fix,GT,37.3174707,-121.9480743,,4.469359,0.1,177.5138,1607640799432
Fix,GT,37.3174318,-121.9480841,,5.5217667,0.1,178.50024,1607640800432
Fix,GT,37.3173851,-121.948093,,5.9709916,0.1,179.77496,1607640801432
Fix,GT,37.3173378,-121.9481001,,5.3116803,0.1,179.73053,1607640802432
Fix,GT,37.3172995,-121.9481046,,3.7430363,0.1,178.15399,1607640803432
Fix,GT,37.3172795,-121.9481091,,2.2236657,0.1,177.05652,1607640804432
Fix,GT,37.317272,-121.9481133,,1.9080708,0.1,176.354,1607640805432
Fix,GT,37.3172618,-121.9481191,,2.3088126,0.1,182.4458,1607640806432
