MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4443945,-122.232699,11.690000348389148,0.0010000002,0.1,300.73123,1609797013437
Fix,GT,37.4443945,-122.232699,11.690000348389148,0.001155064,0.1,300.73083,1609797014437
Fix,GT,37.4443945,-122.232699,11.69,0.001,0.1,300.7305,1609797015437
Fix,GT,37.4443945,-122.232699,11.690000348389148,0.0017733369,0.1,300.73102,1609797016437
Fix,GT,37.4443945,-122.232699,11.68999965161085,0.0014142136,0.1,300.73184,1609797017437
Fix,GT,37.4443945,-122.232699,11.68999965161085,0.0,0.1,300.73166,1609797018437
Fix,GT,37.4443945,-122.232699,11.68999965161085,0.0011550637,0.1,300.73123,1609797019437
Fix,GT,37.4443945,-122.232699,11.68999965161085,0.0012591498,0.1,300.7303,1609797020437
Fix,GT,37.4443945,-122.232699,11.69,0.0012591499,0.1,300.73184,1609797021437
Fix,GT,37.4443945,-122.232699,11.68999965161085,0.0012591498,0.1,300.73206,1609797022437
Fix,GT,37.4443945,-122.232699,11.69,0.0014142136,0.1,300.73184,1609797023437
Fix,GT,37.4443945,-122.232699,11.69,0.0014142136,0.1,300.73138,1609797024437
Fix,GT,37.4443945,-122.232699,11.690000348389148,0.0021439428,0.1,300.73132,1609797025437
Fix,GT,37.4443945,-122.232699,11.68999965161085,0.0011550637,0.1,300.73132,1609797026437
Fix,GT,37.4443945,-122.232699,11.68999965161085,0.0019284011,0.1,300.73126,1609797027437
Fix,GT,37.4443945,-122.232699,11.690000348389148,0.0022360682,0.1,300.73126,1609797028437
Fix,GT,37.4443945,-122.232699,11.69,0.0019284012,0.1,300.7314,1609797029437
Fix,GT,37.4443945,-122.232699,11.69,0.0016844843,0.1,300.7315,1609797030437
Fix,GT,37.4443945,-122.232699,11.69,0.0014142136,0.1,300.73123,1609797031437
Fix,GT,37.4443945,-122.232699,11.69,0.0014142136,0.1,300.7313,1609797032437
Fix,GT,37.4443945,-122.232699,11.69,0.0014142136,0.1,300.73117,1609797033437
Fix,GT,37.4443945,-122.232699,11.68999965161085,0.0019284012,0.1,300.73117,1609797034437
Fix,GT,37.4443945,-122.232699,11.69,0.001,0.1,300.7313,1609797035437
Fix,GT,37.4443945,-122.232699,11.68999965161085,0.0012591499,0.1,300.73138,1609797036437
Fix,GT,37.4443945,-122.232699,11.69,0.001,0.1,300.73126,1609797037437
Fix,GT,37.4443945,-122.232699,11.689,0.0011550637,0.1,300.73105,1609797038437
Fix,GT,37.4443945,-122.232699,11.688999651640652,0.0011550637,0.1,300.73105,1609797039437
Fix,GT,37.4443945,-122.232699,11.689,0.0014142136,0.1,300.73077,1609797040437
Fix,GT,37.4443945,-122.232699,11.689,0.0026066734,0.1,300.73068,1609797041437
Fix,GT,37.4443945,-122.232699,11.688999651640652,0.001374357,0.1,300.73105,1609797042437
Fix,GT,37.4443945,-122.232699,11.688000348329544,0.0028155446,0.1,300.7308,1609797043437
Fix,GT,37.4443945,-122.232699,11.686625991165638,0.011154154,0.1,300.73254,1609797044437
Fix,GT,37.4443959,-122.2327022,11.679000348061322,0.66775787,0.1,300.77078,1609797045437
Fix,GT,37.4444004,-122.2327119,11.68212341916561,1.339171,0.1,300.66162,1609797046437
Fix,GT,37.4444069,-122.2327298,11.694625294506553,2.0929933,0.1,296.73834,1609797047437
Fix,GT,37.4444104,-122.2327569,11.681497776150705,2.772016,0.1,283.33563,1609797048437
Fix,GT,37.4444062,-122.232793,11.675010285377502,3.597558,0.1,264.0314,1609797049437
Fix,GT,37.4443893,-122.2328346,11.522764484077694,4.612882,0.1,243.45236,1609797050437
Fix,GT,37.4443616,-122.2328815,11.369015428066254,5.634692,0.1,232.18796,1609797051437
Fix,GT,37.44432,-122.2329269,11.113512524694205,6.591046,0.1,218.85316,1609797052437
Fix,GT,37.4442675,-122.2329692,10.81914846098423,7.122925,0.1,211.45798,1609797053437
Fix,GT,37.4442116,-122.2330109,10.47889780882001,7.3343153,0.1,210.61806,1609797054437
Fix,GT,37.4441557,-122.2330569,10.197764444589614,7.4441247,0.1,214.28117,1609797055437
Fix,GT,37.4441056,-122.2331108,10.007256427168844,7.169897,0.1,223.1865,1609797056437
Fix,GT,37.4440667,-122.2331725,9.84488691970706,6.767027,0.1,234.17868,1609797057437
Fix,GT,37.4440394,-122.2332381,9.647138787925243,6.3819914,0.1,244.7147,1609797058437
Fix,GT,37.4440225,-122.2333055,9.39989750343561,6.1862354,0.1,254.06393,1609797059437
Fix,GT,37.4440142,-122.2333756,9.035779575943948,6.3077784,0.1,263.42877,1609797060437
Fix,GT,37.4440173,-122.2334467,8.758389787971973,6.3590894,0.1,275.72397,1609797061437
Fix,GT,37.444034,-122.233519,8.620015688806772,7.0399866,0.1,288.52557,1609797062437
Fix,GT,37.4440634,-122.2335952,8.404507464498282,7.9545736,0.1,296.85925,1609797063437
Fix,GT,37.4440999,-122.2336793,8.260123317182064,8.98108,0.1,299.2422,1609797064437
Fix,GT,37.4441438,-122.2337712,8.078635690808298,9.9746,0.1,301.44534,1609797065437
Fix,GT,37.4441918,-122.2338676,7.88251286149025,10.062179,0.1,302.11133,1609797066437
