WlsPositionXEcefMeters,WlsPositionYEcefMeters,WlsPositionZEcefMeters,utcTimeMillis
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693390.2269275044,-4297933.706490552,3854026.6317763454,1617917306000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693391.013995317,-4297931.925520543,3854027.703784858,1617917307000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.188559581,-4297933.439072488,3854027.9037991306,1617917308000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
-2693393.629090479,-4297935.233424497,3854026.193823013,1617917309000
