MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3714852,-122.0478777,9.111,0.001,0.1,201.13805,1619480280999
Fix,GT,37.3714852,-122.0478777,9.111,0.0010018762,0.1,201.13794,1619480281999
Fix,GT,37.3714852,-122.0478777,9.111,0.0,0.1,201.1381,1619480282999
Fix,GT,37.3714852,-122.0478777,9.111,0.001,0.1,201.13797,1619480283999
Fix,GT,37.3714852,-122.0478777,9.111,0.001,0.1,201.13776,1619480284999
Fix,GT,37.3714852,-122.0478777,9.111,4.545987e-06,0.1,201.1378,1619480285999
Fix,GT,37.3714852,-122.0478777,9.111,0.0010018847,0.1,201.13753,1619480286999
Fix,GT,37.3714852,-122.0478777,9.111,0.0022258842,0.1,201.13756,1619480287999
Fix,GT,37.3714852,-122.0478777,9.111,0.0014077668,0.1,201.13786,1619480288999
Fix,GT,37.3714852,-122.0478777,9.111,0.001407761,0.1,201.13782,1619480289999
Fix,GT,37.3714852,-122.0478777,9.111,4.566789e-06,0.1,201.13763,1619480290999
Fix,GT,37.3714852,-122.0478777,9.111,0.0010056501,0.1,201.13776,1619480291999
Fix,GT,37.3714852,-122.0478777,9.111,0.0014179737,0.1,201.13763,1619480292999
Fix,GT,37.3714852,-122.0478777,9.111,0.0014206897,0.1,201.13779,1619480293999
Fix,GT,37.3714852,-122.0478777,9.11,0.004124705,0.1,201.13577,1619480294999
Fix,GT,37.3714852,-122.0478777,9.107004587590692,0.0070488863,0.1,201.13782,1619480295999
Fix,GT,37.3714829,-122.0478789,9.093004591763018,0.43320134,0.1,201.11711,1619480296999
Fix,GT,37.3714773,-122.0478815,9.071013787806034,0.96299845,0.1,200.82121,1619480297999
Fix,GT,37.3714665,-122.0478867,9.049013800323008,1.5789918,0.1,200.94531,1619480298999
Fix,GT,37.3714511,-122.0478943,9.034009208440782,2.1145513,0.1,201.26617,1619480299999
Fix,GT,37.3714304,-122.0479048,9.02000460845232,2.8156123,0.1,201.8312,1619480300999
Fix,GT,37.3714055,-122.0479172,9.049,3.042288,0.1,201.72166,1619480301999
Fix,GT,37.3713771,-122.0479304,9.086930748045445,3.7158165,0.1,200.52971,1619480302999
Fix,GT,37.3713427,-122.0479449,9.088967653214931,4.194462,0.1,198.5724,1619480303999
Fix,GT,37.3713085,-122.0479591,9.11098149943352,3.7614803,0.1,198.36948,1619480304999
Fix,GT,37.3712782,-122.0479716,9.155981482982636,3.318061,0.1,198.59816,1619480305999
Fix,GT,37.3712535,-122.0479872,9.213958299160003,2.9195645,0.1,206.6955,1619480306999
Fix,GT,37.3712385,-122.0480112,9.307990724802018,2.6031723,0.1,227.70496,1619480307999
Fix,GT,37.3712337,-122.0480418,9.336990716457366,3.0260637,0.1,252.71361,1619480308999
Fix,GT,37.3712371,-122.0480791,9.377986062169075,3.6570568,0.1,273.48602,1619480309999
Fix,GT,37.3712447,-122.0481197,9.431972099661827,3.6377265,0.1,281.68295,1619480310999
Fix,GT,37.3712515,-122.0481581,9.490972074627877,3.2858248,0.1,282.40967,1619480311999
Fix,GT,37.3712575,-122.0481923,9.528976707696916,2.9883776,0.1,282.4826,1619480312999
Fix,GT,37.3712636,-122.0482251,9.659046626329424,2.9329615,0.1,282.9845,1619480313999
Fix,GT,37.3712699,-122.0482587,9.551995333194732,3.1908298,0.1,283.2555,1619480314999
Fix,GT,37.3712773,-122.0482966,9.50301401293278,3.8036463,0.1,283.52084,1619480315999
Fix,GT,37.3712858,-122.0483406,9.439074801445008,4.0227365,0.1,283.5353,1619480316999
Fix,GT,37.371295,-122.0483833,9.433990641474724,3.8173146,0.1,285.0546,1619480317999
Fix,GT,37.3713049,-122.0484249,9.473985949695107,3.9134293,0.1,286.47388,1619480318999
Fix,GT,37.3713147,-122.0484656,9.53797656196356,3.4388762,0.1,286.9324,1619480319999
Fix,GT,37.3713223,-122.0484954,9.575981232881546,2.0798523,0.1,287.46506,1619480320999
Fix,GT,37.3713279,-122.0485137,9.590976520538328,1.8701618,0.1,289.8302,1619480321999
Fix,GT,37.3713391,-122.0485324,9.546061100840568,2.1767747,0.1,301.5481,1619480322999
Fix,GT,37.3713582,-122.0485459,9.330920027971269,2.7752635,0.1,323.4135,1619480323999
Fix,GT,37.3713871,-122.04855,9.485924664497375,3.7340775,0.1,349.28055,1619480324999
Fix,GT,37.3714269,-122.0485404,9.538,5.48842,0.1,10.940552,1619480325999
Fix,GT,37.3714801,-122.0485177,9.493033016860483,6.863374,0.1,18.339417,1619480326999
Fix,GT,37.3715399,-122.0484923,9.42401416260004,6.8972263,0.1,18.481323,1619480327999
Fix,GT,37.3715933,-122.0484681,9.372995274960994,5.6138353,0.1,20.996094,1619480328999
Fix,GT,37.3716314,-122.0484401,9.31601891684532,4.5914483,0.1,32.32437,1619480329999
Fix,GT,37.3716603,-122.0484039,9.258004733383656,4.8055925,0.1,45.866394,1619480330999
Fix,GT,37.3716832,-122.0483512,9.214028424978256,5.985874,0.1,64.46213,1619480331999
Fix,GT,37.3716906,-122.0482794,9.220004741668705,7.0661325,0.1,86.88687,1619480332999
Fix,GT,37.3716794,-122.0481952,9.201004745841026,8.143843,0.1,101.783295,1619480333999
Fix,GT,37.3716602,-122.0481007,9.159,9.132903,0.1,104.23221,1619480334999
Fix,GT,37.371639,-122.0479956,9.12802377092838,10.083708,0.1,103.97931,1619480335999
Fix,GT,37.3716159,-122.0478803,9.092014274895192,10.995412,0.1,104.04291,1619480336999
Fix,GT,37.3715904,-122.0477545,9.062004762470725,11.9954,0.1,104.152954,1619480337999
Fix,GT,37.3715627,-122.047618,9.045042899787424,12.894451,0.1,104.23175,1619480338999
Fix,GT,37.3715327,-122.0474727,9.007009541630744,13.654967,0.1,104.605835,1619480339999
Fix,GT,37.3715008,-122.0473203,8.93103819990158,14.227526,0.1,104.71225,1619480340999
Fix,GT,37.3714675,-122.0471621,8.85702389550209,14.759615,0.1,104.692505,1619480341999
Fix,GT,37.3714326,-122.0469981,8.819004783272744,15.324893,0.1,104.87866,1619480342999
Fix,GT,37.3713965,-122.046828,8.710043087005618,15.863788,0.1,104.8009,1619480343999
Fix,GT,37.3713595,-122.0466525,8.645,16.253231,0.1,104.674805,1619480344999
