MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3958453,-122.1029545,-5.32,0.00445626,0.1,300.98486,1619648371999
Fix,GT,37.3958453,-122.1029545,-5.32,0.005380986,0.1,300.98465,1619648372999
Fix,GT,37.3958453,-122.1029545,-5.32,0.005095097,0.1,300.98544,1619648373999
Fix,GT,37.3958453,-122.1029547,-5.350986245632171,0.0044783656,0.1,300.98547,1619648374999
Fix,GT,37.3958453,-122.1029547,-5.354,0.006708204,0.1,300.9856,1619648375999
Fix,GT,37.3958453,-122.1029547,-5.354,0.0063245553,0.1,300.9855,1619648376999
Fix,GT,37.3958453,-122.1029547,-5.354,0.00761423,0.1,300.98535,1619648377999
Fix,GT,37.3958453,-122.1029547,-5.354,0.0085281525,0.1,300.98575,1619648378999
Fix,GT,37.3958453,-122.1029548,-5.355,0.009207979,0.1,300.98636,1619648379999
Fix,GT,37.3958452,-122.1029546,-5.3520046092867855,0.13894385,0.1,300.81818,1619648380999
Fix,GT,37.3958433,-122.1029512,-5.343004613339901,0.6113163,0.1,299.952,1619648381999
Fix,GT,37.3958406,-122.1029422,-5.322018469810486,0.9740648,0.1,304.2989,1619648382999
Fix,GT,37.3958371,-122.1029289,-5.291009243011475,1.1896744,0.1,316.77548,1619648383999
Fix,GT,37.3958308,-122.1029154,-5.274013876855373,1.114215,0.1,331.85657,1619648384999
Fix,GT,37.3958241,-122.1029068,-5.242013889193535,0.7145843,0.1,343.28394,1619648385999
Fix,GT,37.3958204,-122.1029034,-5.2230092676877975,0.19853401,0.1,348.6214,1619648386999
Fix,GT,37.3958201,-122.1029033,-5.218004637897015,0.014869716,0.1,349.09747,1619648387999
Fix,GT,37.3958201,-122.1029035,-5.216,0.010768797,0.1,349.097,1619648388999
Fix,GT,37.3958202,-122.1029037,-5.2169953539967535,0.07864685,0.1,348.97632,1619648389999
Fix,GT,37.3958245,-122.1029066,-5.2399860498309145,0.9703676,0.1,345.54178,1619648390999
Fix,GT,37.3958361,-122.102911,-5.274995345830918,1.633825,0.1,345.38837,1619648391999
Fix,GT,37.3958517,-122.1029115,-5.298990683555603,1.7923337,0.1,353.99103,1619648392999
Fix,GT,37.3958677,-122.1029055,-5.3259860129952425,2.0371072,0.1,9.043976,1619648393999
Fix,GT,37.3958844,-122.1028897,-5.351990667223931,2.5762744,0.1,29.391144,1619648394999
Fix,GT,37.3958981,-122.1028645,-5.355004670500756,2.7921796,0.1,50.065247,1619648395999
Fix,GT,37.3959084,-122.1028363,-5.336004674553871,2.7361488,0.1,61.736816,1619648396999
Fix,GT,37.3959185,-122.1028089,-5.330004678666592,2.5844047,0.1,64.41739,1619648397999
Fix,GT,37.3959284,-122.1027868,-5.319014048159122,1.7418956,0.1,61.645325,1619648398999
Fix,GT,37.3959355,-122.1027742,-5.308,1.0892082,0.1,58.78607,1619648399999
Fix,GT,37.3959409,-122.102765,-5.314995309114456,1.1193848,0.1,56.945343,1619648400999
Fix,GT,37.3959486,-122.1027505,-5.332981220245362,1.9217632,0.1,57.67917,1619648401999
Fix,GT,37.3959553,-122.1027277,-5.457915417075157,2.3785946,0.1,66.5842,1619648402999
Fix,GT,37.3959577,-122.1026987,-5.553990593791008,2.836722,0.1,79.70938,1619648403999
Fix,GT,37.3959539,-122.1026659,-5.464037657737732,3.0952435,0.1,95.34146,1619648404999
Fix,GT,37.3959441,-122.1026298,-5.407018845081329,3.806241,0.1,106.88141,1619648405999
Fix,GT,37.3959302,-122.1025877,-5.346014146149158,4.1245365,0.1,112.135315,1619648406999
Fix,GT,37.3959145,-122.1025479,-5.328014158308506,3.782204,0.1,115.92551,1619648407999
Fix,GT,37.3958987,-122.102511,-5.322,3.7824218,0.1,117.6409,1619648408999
Fix,GT,37.3958813,-122.1024714,-5.324,4.2689767,0.1,118.16153,1619648409999
Fix,GT,37.3958607,-122.1024242,-5.323009463310242,5.4272623,0.1,118.33841,1619648410999
Fix,GT,37.3958341,-122.1023639,-5.318995264232159,6.7619605,0.1,118.76709,1619648411999
Fix,GT,37.3958021,-122.1022933,-5.317990520477294,7.6317863,0.1,119.266785,1619648412999
Fix,GT,37.3957663,-122.1022143,-5.3310142314434055,8.562125,0.1,119.245026,1619648413999
Fix,GT,37.3957264,-122.1021256,-5.292028487563133,9.53675,0.1,119.00748,1619648414999
Fix,GT,37.3956825,-122.1020274,-5.254995248019696,10.464684,0.1,118.95499,1619648415999
Fix,GT,37.395635,-122.1019204,-5.336971463441849,11.248777,0.1,118.624115,1619648416999
Fix,GT,37.3955856,-122.1018068,-5.362938118100167,11.734201,0.1,118.12463,1619648417999
Fix,GT,37.3955345,-122.1016884,-5.378009528517723,12.180892,0.1,118.09241,1619648418999
Fix,GT,37.3954813,-122.1015652,-5.424976158440113,12.728522,0.1,118.134705,1619648419999
Fix,GT,37.3954254,-122.1014364,-5.450985682725906,13.299834,0.1,118.262726,1619648420999
Fix,GT,37.3953672,-122.1013022,-5.504985670566558,13.739602,0.1,118.31976,1619648421999
Fix,GT,37.395308,-122.1011657,-5.553928292036057,13.7394905,0.1,118.29086,1619648422999
Fix,GT,37.3952495,-122.1010306,-5.58897607678175,13.476262,0.1,118.309814,1619648423999
Fix,GT,37.3951915,-122.1008979,-5.634971267819404,13.4568,0.1,118.54578,1619648424999
Fix,GT,37.3951326,-122.1007632,-5.697952071905136,13.668062,0.1,118.45261,1619648425999
Fix,GT,37.3950739,-122.1006283,-5.79995682823658,13.510216,0.1,118.42926,1619648426999
Fix,GT,37.3950158,-122.1004957,-5.816,13.213477,0.1,118.65228,1619648427999
Fix,GT,37.3949591,-122.1003664,-5.821028830170631,12.889405,0.1,118.798065,1619648428999
Fix,GT,37.3949032,-122.100241,-5.810004809141159,12.557648,0.1,119.09378,1619648429999
Fix,GT,37.3948483,-122.1001191,-5.813995186805725,12.245215,0.1,119.30017,1619648430999
Fix,GT,37.3947952,-122.0999998,-5.808009634613991,11.953366,0.1,118.798615,1619648431999
Fix,GT,37.3947437,-122.0998823,-5.781,11.81703,0.1,118.476074,1619648432999
Fix,GT,37.3946926,-122.0997651,-5.803971047520638,11.822556,0.1,118.58209,1619648433999
Fix,GT,37.3946416,-122.099649,-5.851062783062457,11.600459,0.1,118.82129,1619648434999
Fix,GT,37.3945915,-122.0995363,-5.866980665922165,11.246609,0.1,118.92041,1619648435999
Fix,GT,37.3945434,-122.0994265,-5.930990324854851,10.950413,0.1,118.5271,1619648436999
Fix,GT,37.3944971,-122.0993194,-5.958995158314705,10.562956,0.1,118.18152,1619648437999
Fix,GT,37.3944529,-122.0992169,-5.97,9.998296,0.1,118.471436,1619648438999
Fix,GT,37.3944115,-122.0991227,-5.957072747766972,9.211983,0.1,118.84784,1619648439999
Fix,GT,37.3943721,-122.0990343,-5.934004853904247,8.643059,0.1,119.15253,1619648440999
Fix,GT,37.3943356,-122.0989531,-5.940014574050903,7.954828,0.1,119.20068,1619648441999
Fix,GT,37.3943023,-122.098877,-5.926024310350418,7.320188,0.1,118.51138,1619648442999
Fix,GT,37.3942728,-122.0988089,-5.929009732365609,6.3887753,0.1,118.3035,1619648443999
Fix,GT,37.3942476,-122.0987505,-5.923995129764081,5.329708,0.1,118.30664,1619648444999
Fix,GT,37.3942271,-122.0987032,-5.914990251302719,4.3311806,0.1,118.38632,1619648445999
Fix,GT,37.3942106,-122.0986646,-5.913014635205269,3.2695105,0.1,118.15283,1619648446999
Fix,GT,37.3941997,-122.0986387,-5.914,1.9964743,0.1,117.96521,1619648447999
Fix,GT,37.3941934,-122.0986239,-5.912995113432408,0.9927343,0.1,117.87247,1619648448999
Fix,GT,37.3941908,-122.0986177,-5.913995109438896,0.3259411,0.1,117.8349,1619648449999
Fix,GT,37.3941902,-122.0986164,-5.916,0.0028675264,0.1,117.825806,1619648450999
Fix,GT,37.3941898,-122.0986154,-5.92,0.17264022,0.1,117.82254,1619648451999
Fix,GT,37.3941889,-122.0986132,-5.921,0.23084219,0.1,117.81149,1619648452999
Fix,GT,37.394188,-122.0986111,-5.924,0.1758521,0.1,117.802246,1619648453999
Fix,GT,37.3941874,-122.0986097,-5.926,0.087766975,0.1,117.79413,1619648454999
Fix,GT,37.3941872,-122.0986093,-5.928,0.008088573,0.1,117.79254,1619648455999
Fix,GT,37.3941872,-122.0986093,-5.929,0.0022320254,0.1,117.79324,1619648456999
Fix,GT,37.3941872,-122.0986093,-5.929,0.0010020393,0.1,117.79346,1619648457999
Fix,GT,37.3941872,-122.0986093,-5.929,0.002236068,0.1,117.79132,1619648458999
Fix,GT,37.3941871,-122.098609,-5.93,0.18669775,0.1,117.790405,1619648459999
Fix,GT,37.3941845,-122.0986029,-5.932995064556598,1.173537,0.1,117.88074,1619648460999
Fix,GT,37.3941763,-122.0985847,-5.931004939496518,2.6248574,0.1,118.80362,1619648461999
Fix,GT,37.3941609,-122.0985507,-5.921004943609239,4.274649,0.1,119.2565,1619648462999
Fix,GT,37.3941386,-122.0985011,-5.89998515701294,5.8423357,0.1,119.24991,1619648463999
Fix,GT,37.39411,-122.0984372,-5.895014855325221,7.1285896,0.1,119.20682,1619648464999
Fix,GT,37.3940761,-122.0983615,-5.842034690797329,8.163801,0.1,119.21808,1619648465999
Fix,GT,37.3940379,-122.0982752,-5.756019839763642,9.328615,0.1,119.04968,1619648466999
Fix,GT,37.3939952,-122.0981785,-5.687985108017921,10.27437,0.1,118.83258,1619648467999
Fix,GT,37.3939474,-122.0980722,-5.72295528703928,11.324137,0.1,119.3833,1619648468999
Fix,GT,37.3938945,-122.0979572,-5.709935361921787,12.11148,0.1,120.050385,1619648469999
Fix,GT,37.3938375,-122.0978368,-5.672009952425957,12.68017,0.1,120.96234,1619648470999
Fix,GT,37.3937759,-122.0977129,-5.627024901628494,13.139189,0.1,122.27191,1619648471999
Fix,GT,37.3937111,-122.0975888,-5.571019937515258,13.106483,0.1,123.668335,1619648472999
Fix,GT,37.3936446,-122.0974674,-5.538995011508465,12.996437,0.1,124.77588,1619648473999
Fix,GT,37.3935759,-122.0973467,-5.483039939880371,13.323097,0.1,126.015564,1619648474999
Fix,GT,37.3935028,-122.0972254,-5.425029979228973,13.574632,0.1,127.59271,1619648475999
Fix,GT,37.3934259,-122.0971046,-5.380020002603531,13.783503,0.1,129.08191,1619648476999
Fix,GT,37.3933461,-122.0969852,-5.331025024116039,13.755427,0.1,130.53952,1619648477999
Fix,GT,37.3932649,-122.0968699,-5.256960051055998,13.450319,0.1,131.92206,1619648479000
Fix,GT,37.393184,-122.0967603,-5.149945290696808,12.978173,0.1,133.09393,1619648480000
Fix,GT,37.3931042,-122.0966572,-5.065915399368387,12.492533,0.1,134.6489,1619648481000
Fix,GT,37.3930252,-122.0965605,-4.970970151703339,12.040346,0.1,136.04541,1619648482000
Fix,GT,37.3929481,-122.0964696,-4.894955362934619,11.307206,0.1,136.91522,1619648483000
Fix,GT,37.3928763,-122.0963876,-4.788985045288689,10.359866,0.1,137.89795,1619648484000
Fix,GT,37.3928087,-122.0963129,-4.6809454774679615,9.7411785,0.1,138.6879,1619648485000
Fix,GT,37.3927434,-122.0962423,-4.549925545870792,9.412803,0.1,139.1648,1619648486000
Fix,GT,37.39268,-122.0961741,-4.450955505788326,9.142841,0.1,139.37366,1619648487000
Fix,GT,37.3926182,-122.0961085,-4.318920740705915,8.758259,0.1,139.82385,1619648488000
Fix,GT,37.392562,-122.0960505,-4.210975146133453,7.253579,0.1,140.62793,1619648489000
Fix,GT,37.3925149,-122.0960041,-4.155975345861167,6.1970086,0.1,142.0521,1619648490000
Fix,GT,37.392473,-122.0959643,-4.089965370108374,5.4497523,0.1,142.69519,1619648491000
