MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3958132,-122.102975,-5.9139999283980575,0.0010012863,0.1,208.82106,1625176223000
Fix,GT,37.3958132,-122.102975,-5.914000013769605,0.001,0.1,208.82109,1625176224000
Fix,GT,37.3958132,-122.102975,-5.91400009776419,0.0014129305,0.1,208.82115,1625176225000
Fix,GT,37.3958132,-122.102975,-5.913999830633867,0.0022322438,0.099,208.82013,1625176226000
Fix,GT,37.3958132,-122.102975,-5.91400003304705,0.0014098437,0.1,208.82149,1625176227000
Fix,GT,37.3958132,-122.102975,-5.9140000592092985,0.0,0.1,208.82137,1625176228000
Fix,GT,37.3958132,-122.102975,-5.913999849911312,3.0822503e-06,0.1,208.82144,1625176229000
Fix,GT,37.3958132,-122.1029749,-5.910003012340516,0.0042364635,0.1,208.82124,1625176230000
Fix,GT,37.3958132,-122.1029749,-5.910997063076123,0.007076827,0.1,208.82532,1625176231000
Fix,GT,37.3958132,-122.102975,-5.908999928458593,0.0022384138,0.1,208.82335,1625176232000
Fix,GT,37.3958132,-122.102975,-5.909000071541406,0.002238411,0.1,208.8223,1625176233000
Fix,GT,37.3958132,-122.102975,-5.9080000976650044,0.002,0.1,208.82172,1625176234000
Fix,GT,37.3958132,-122.102975,-5.907999888579361,0.002,0.1,208.82198,1625176235000
Fix,GT,37.3958132,-122.102975,-5.907999973864294,0.001,0.1,208.82184,1625176236000
Fix,GT,37.3958132,-122.102975,-5.908000116922893,0.003161259,0.1,208.82236,1625176237000
Fix,GT,37.3958132,-122.102975,-5.907999966986478,0.001,0.1,208.82182,1625176238000
Fix,GT,37.3958132,-122.102975,-5.908000052271412,0.001,0.1,208.82199,1625176239000
Fix,GT,37.3958132,-122.102975,-5.908000136180781,0.001,0.1,208.822,1625176240000
Fix,GT,37.3958132,-122.102975,-5.907999928470701,0.0010012576,0.1,208.82191,1625176241000
Fix,GT,37.3958132,-122.102975,-5.908000012380072,0.0014129576,0.1,208.82184,1625176242000
Fix,GT,37.3958132,-122.102975,-5.908000155438669,0.0009969717,0.1,208.82176,1625176243000
Fix,GT,37.3958132,-122.102975,-5.907999888579361,0.0009969756,0.1,208.82222,1625176244000
Fix,GT,37.3958132,-122.102975,-5.907999972488732,0.0,0.1,208.82195,1625176245000
Fix,GT,37.3958132,-122.102975,-5.908000116922893,0.0,0.1,208.82193,1625176246000
Fix,GT,37.3958132,-122.102975,-5.907999907837249,0.0009999999,0.099,208.82216,1625176247000
Fix,GT,37.3958132,-122.102975,-5.90799999174662,0.001,0.1,208.82207,1625176248000
Fix,GT,37.3958132,-122.102975,-5.908000136180781,0.0010037146,0.1,208.82158,1625176249000
Fix,GT,37.3958132,-122.102975,-5.90799986794591,0.0022353595,0.1,208.82155,1625176250000
Fix,GT,37.3958132,-122.102975,-5.908002950680908,0.0031595014,0.1,208.8218,1625176251000
Fix,GT,37.3958132,-122.1029749,-5.913000037171646,0.0058368775,0.1,208.82268,1625176252000
Fix,GT,37.3958132,-122.102975,-5.915999829199166,0.0050904597,0.099,208.82278,1625176253000
Fix,GT,37.3958131,-122.102975,-5.916999913207488,0.0028259535,0.1,208.82169,1625176254000
