MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3958125,-122.1029737,-5.914,0.0,0.1,208.82137,1625176219999
Fix,GT,37.3958125,-122.1029737,-5.914,0.001,0.1,208.82095,1625176220999
Fix,GT,37.3958125,-122.1029737,-5.914,0.001,0.1,208.82109,1625176221999
Fix,GT,37.3958125,-122.1029737,-5.914,0.001,0.1,208.82106,1625176222999
Fix,GT,37.3958125,-122.1029737,-5.914,0.0010020786,0.1,208.82109,1625176223999
Fix,GT,37.3958125,-122.1029737,-5.914,0.0014135172,0.1,208.82115,1625176224999
Fix,GT,37.3958125,-122.1029737,-5.914,0.0022323094,0.1,208.82013,1625176225999
Fix,GT,37.3958125,-122.1029737,-5.914,0.001411837,0.1,208.82149,1625176226999
Fix,GT,37.3958125,-122.1029737,-5.914,0.0,0.1,208.82137,1625176227999
Fix,GT,37.3958125,-122.1029737,-5.914,1.679659e-06,0.1,208.82144,1625176228999
Fix,GT,37.3958125,-122.1029736,-5.91,0.004239271,0.1,208.82124,1625176229999
Fix,GT,37.3958125,-122.1029736,-5.911,0.0070663188,0.1,208.8253,1625176230999
Fix,GT,37.3958125,-122.1029737,-5.909,0.0022370622,0.1,208.82335,1625176231999
Fix,GT,37.3958125,-122.1029737,-5.909,0.0022376224,0.1,208.8223,1625176232999
Fix,GT,37.3958125,-122.1029737,-5.908001677691937,0.002,0.1,208.82172,1625176233999
Fix,GT,37.3958125,-122.1029737,-5.908,0.001998323,0.1,208.82198,1625176234999
Fix,GT,37.3958125,-122.1029737,-5.908,0.001,0.1,208.82184,1625176235999
Fix,GT,37.3958125,-122.1029737,-5.908,0.0031603293,0.1,208.82236,1625176236999
Fix,GT,37.3958125,-122.1029737,-5.908,0.001,0.1,208.82182,1625176237999
Fix,GT,37.3958125,-122.1029737,-5.908,0.001,0.1,208.82199,1625176238999
Fix,GT,37.3958125,-122.1029737,-5.908,0.001,0.1,208.822,1625176239999
Fix,GT,37.3958125,-122.1029737,-5.908,0.001,0.1,208.82191,1625176240999
Fix,GT,37.3958125,-122.1029737,-5.908,0.0014135201,0.1,208.82184,1625176241999
Fix,GT,37.3958125,-122.1029737,-5.908,0.001,0.1,208.82176,1625176242999
Fix,GT,37.3958125,-122.1029737,-5.908,0.0009983266,0.1,208.82222,1625176243999
Fix,GT,37.3958125,-122.1029737,-5.908,1.6730429e-06,0.1,208.82195,1625176244999
Fix,GT,37.3958125,-122.1029737,-5.908,0.0,0.1,208.82193,1625176245999
Fix,GT,37.3958125,-122.1029737,-5.908,0.001,0.1,208.82216,1625176246999
Fix,GT,37.3958125,-122.1029737,-5.908,0.001,0.1,-151.17793,1625176247999
Fix,GT,37.3958125,-122.1029737,-5.908,0.001002066,0.1,208.82158,1625176248999
Fix,GT,37.3958125,-122.1029737,-5.908,0.002236068,0.1,208.82155,1625176249999
Fix,GT,37.3958125,-122.1029737,-5.908,0.0031586657,0.1,208.8218,1625176250999
Fix,GT,37.3958125,-122.1029736,-5.913,0.005826495,0.1,208.82265,1625176251999
Fix,GT,37.3958125,-122.1029737,-5.916,0.0051010656,0.1,208.8228,1625176252999
Fix,GT,37.3958124,-122.1029737,-5.917,0.0028287135,0.1,208.82169,1625176253999
Fix,GT,37.3958124,-122.1029737,-5.917,0.0019990224,0.1,208.82121,1625176254999
Fix,GT,37.3958124,-122.1029737,-5.917,0.0014142136,0.1,208.82094,1625176255999
Fix,GT,37.3958124,-122.1029737,-5.917,0.002234697,0.1,208.82109,1625176256999
Fix,GT,37.3958124,-122.1029737,-5.917,0.0014142136,0.1,208.82104,1625176257999
Fix,GT,37.3958124,-122.1029737,-5.917,0.0014142136,0.1,208.82126,1625176258999
Fix,GT,37.3958124,-122.1029737,-5.918,0.0014142136,0.1,208.82158,1625176259999
Fix,GT,37.3958124,-122.1029737,-5.917,0.00223835,0.1,208.82059,1625176260999
Fix,GT,37.3958124,-122.1029737,-5.921,0.007271314,0.1,208.8201,1625176261999
Fix,GT,37.3958124,-122.1029737,-5.922998334467411,0.0014168547,0.1,208.82079,1625176262999
Fix,GT,37.3958124,-122.1029737,-5.922001665115356,0.0019990248,0.1,208.8203,1625176263999
Fix,GT,37.3958124,-122.1029737,-5.922,0.0,0.1,208.8198,1625176264999
Fix,GT,37.3958124,-122.1029737,-5.922,0.0010020572,0.1,208.81967,1625176265999
Fix,GT,37.3958124,-122.1029737,-5.922,0.0,0.1,208.81996,1625176266999
Fix,GT,37.3958124,-122.1029737,-5.922,1.663506e-06,0.1,208.82045,1625176267999
Fix,GT,37.3958124,-122.1029737,-5.922,0.001,0.1,208.82062,1625176268999
Fix,GT,37.3958124,-122.1029737,-5.922,0.001,0.1,208.82028,1625176269999
Fix,GT,37.3958124,-122.1029737,-5.922,0.001,0.1,208.82025,1625176270999
Fix,GT,37.3958124,-122.1029737,-5.922,0.0009983381,0.1,208.82048,1625176271999
Fix,GT,37.3958124,-122.1029737,-5.922,2.3497712e-06,0.1,208.82065,1625176272999
Fix,GT,37.3958124,-122.1029737,-5.922,0.001,0.1,208.82043,1625176273999
Fix,GT,37.3958124,-122.1029737,-5.922,0.0019990273,0.1,208.82036,1625176274999
Fix,GT,37.3958124,-122.1029737,-5.922,0.0019983398,0.1,208.82019,1625176275999
Fix,GT,37.3958124,-122.1029737,-5.922,0.0022340163,0.1,208.82031,1625176276999
Fix,GT,37.3958124,-122.1029737,-5.922,0.001,0.1,208.8205,1625176277999
Fix,GT,37.3958124,-122.1029737,-5.922,0.001,0.1,208.82036,1625176278999
