MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4843893,-122.1771741,-30.411000906318428,0.002,0.1,203.06697,1627415397437
Fix,GT,37.4843893,-122.1771741,-30.412000906348226,0.0016313673,0.1,203.06497,1627415398437
Fix,GT,37.4843892,-122.1771741,-30.412000906348226,0.0011535508,0.1,203.03395,1627415399437
Fix,GT,37.4843892,-122.1771741,-30.414742315053942,0.047152124,0.1,203.01607,1627415400437
Fix,GT,37.4843856,-122.1771755,-30.425370704233647,0.8127477,0.1,201.96962,1627415401437
Fix,GT,37.4843759,-122.1771789,-30.43537161123752,1.426385,0.1,199.09544,1627415402437
Fix,GT,37.4843612,-122.1771827,-30.44463020312786,1.8729634,0.1,194.87854,1627415403437
Fix,GT,37.4843434,-122.1771857,-30.473113020747903,2.2512448,0.1,190.15295,1627415404437
Fix,GT,37.4843166,-122.1771882,-30.46937070417404,3.6910632,0.1,185.49034,1627415405437
Fix,GT,37.4842778,-122.1771916,-30.54322422504425,4.91439,0.1,184.00543,1627415406437
Fix,GT,37.4842318,-122.1772004,-30.5305515499115,4.916811,0.1,190.91188,1627415407437
Fix,GT,37.4841978,-122.1772257,-30.489,3.9295936,0.1,213.70934,1627415408437
Fix,GT,37.4841832,-122.1772667,-30.488888796061275,3.8367295,0.1,245.83649,1627415409437
Fix,GT,37.484188,-122.1773142,-30.384293864786628,4.320503,0.1,277.50558,1627415410437
Fix,GT,37.4842122,-122.1773575,-30.31977667915821,4.7470045,0.1,306.5114,1627415411437
Fix,GT,37.4842515,-122.1773844,-30.241180846512314,5.0441537,0.1,334.23917,1627415412437
Fix,GT,37.4843002,-122.1773852,-30.251405071198946,5.664443,0.1,2.437317,1627415413437
Fix,GT,37.4843519,-122.1773619,-30.15399188867212,6.4600983,0.1,21.418762,1627415414437
Fix,GT,37.4844086,-122.1773289,-30.07066366404296,7.406065,0.1,25.008972,1627415415437
Fix,GT,37.4844724,-122.1772911,-30.21179469591379,8.15484,0.1,25.123749,1627415416437
Fix,GT,37.4845401,-122.1772532,-30.199888787806035,8.036446,0.1,23.48999,1627415417437
Fix,GT,37.4846025,-122.1772201,-30.11951808133721,6.8314905,0.1,23.584259,1627415418437
Fix,GT,37.4846482,-122.1771839,-29.96443944007158,5.1947575,0.1,36.740295,1627415419437
Fix,GT,37.4846692,-122.1771366,-29.793293848365543,4.337626,0.1,64.29883,1627415420437
Fix,GT,37.48467,-122.17709,-29.63432732808589,3.7231474,0.1,88.48541,1627415421437
Fix,GT,37.4846634,-122.1770516,-29.445328206360344,3.1690726,0.1,99.08917,1627415422437
Fix,GT,37.4846633,-122.1770153,-29.25047468078137,3.3589664,0.1,89.97873,1627415423437
Fix,GT,37.4846774,-122.176978,-29.11796476355195,4.1218834,0.1,66.60318,1627415424437
Fix,GT,37.4847067,-122.1769425,-29.380939392805097,4.756256,0.1,43.402283,1627415425437
Fix,GT,37.4847405,-122.1769185,-29.765490930646656,3.6570559,0.1,30.351044,1627415426437
Fix,GT,37.4847659,-122.1769007,-30.07742218211293,3.2756782,0.1,30.224365,1627415427437
Fix,GT,37.4847863,-122.1768726,-30.23186252021789,3.375842,0.1,47.51245,1627415428437
Fix,GT,37.4847958,-122.1768321,-30.13440417534113,3.7781694,0.1,72.08334,1627415429437
Fix,GT,37.4847918,-122.176785,-30.075774881601333,4.4179926,0.1,95.40524,1627415430437
Fix,GT,37.4847807,-122.1767322,-30.029516290336844,5.207891,0.1,104.03558,1627415431437
Fix,GT,37.4847682,-122.176671,-30.00525769841672,5.972798,0.1,104.206604,1627415432437
Fix,GT,37.4847543,-122.1766015,-29.989662773132324,6.689416,0.1,104.07031,1627415433437
Fix,GT,37.4847386,-122.1765244,-29.954560554564,7.3716574,0.1,104.95679,1627415434437
Fix,GT,37.484717,-122.1764413,-29.95499910727143,8.057564,0.1,108.05432,1627415435437
Fix,GT,37.4846933,-122.1763517,-29.934741407036785,8.610231,0.1,108.242004,1627415436437
Fix,GT,37.4846681,-122.1762568,-29.93137070351839,9.068977,0.1,108.09085,1627415437437
Fix,GT,37.4846453,-122.1761561,-29.92125948476792,9.472464,0.1,104.96979,1627415438437
