MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3174309,-121.9480246,12.00799123082752,0.053009428,0.1,1.8334045,1628109632000
Fix,GT,37.3174309,-121.9480252,11.947991683321074,0.053007998,0.1,1.8337708,1628109633000
Fix,GT,37.3174309,-121.9480258,11.88799142153468,0.04800285,0.1,1.833313,1628109634000
Fix,GT,37.3174309,-121.9480263,11.827992576748132,0.050009996,0.1,1.8331604,1628109635000
Fix,GT,37.3174309,-121.9480269,11.770991607957054,0.049162995,0.1,1.8319092,1628109636000
Fix,GT,37.3174309,-121.9480274,11.714991351001895,0.048093583,0.1,1.831604,1628109637000
Fix,GT,37.3174308,-121.948028,11.660851923768991,0.045041572,0.1,1.8317871,1628109638000
Fix,GT,37.3174241,-121.9480277,15.297097898802605,0.02594126,0.1,1.8276672,1628109639000
Fix,GT,37.317425,-121.9480278,15.32697581759165,0.35515955,0.1,1.5271606,1628109640000
Fix,GT,37.3174336,-121.9480303,15.141973492381627,1.4375618,0.1,356.41174,1628109641000
Fix,GT,37.3174485,-121.9480383,14.943971169973493,1.7014707,0.1,345.12726,1628109642000
Fix,GT,37.3174609,-121.9480495,14.717965643820586,1.312187,0.1,333.2782,1628109643000
Fix,GT,37.3174682,-121.9480627,14.492969385758045,1.2339572,0.1,318.85254,1628109644000
Fix,GT,37.3174759,-121.948077,14.2759790576027,1.6449058,0.1,310.87973,1628109645000
Fix,GT,37.3174901,-121.9480896,14.121975356177428,2.1121774,0.1,320.19022,1628109646000
Fix,GT,37.3175096,-121.9480953,13.946969604992656,2.1409047,0.1,338.3385,1628109647000
Fix,GT,37.3175276,-121.9480969,13.743975380060494,1.861801,0.1,349.86594,1628109648000
Fix,GT,37.3175442,-121.9480971,13.548968978292772,1.962586,0.1,356.09418,1628109649000
Fix,GT,37.317564,-121.9480974,13.334974179453218,2.4795146,0.1,358.8594,1628109650000
Fix,GT,37.3175877,-121.9480974,13.070001460015307,2.740256,0.1,0.29138184,1628109651000
Fix,GT,37.3176187,-121.9480969,12.94297312422446,4.112446,0.1,1.0255127,1628109652000
Fix,GT,37.3176601,-121.9480957,12.736982591249982,4.8871617,0.1,1.8762207,1628109653000
Fix,GT,37.3177033,-121.9480938,12.5809811176504,4.621924,0.1,2.2409973,1628109654000
Fix,GT,37.3177397,-121.9480931,12.473988925417885,3.189777,0.1,0.86099243,1628109655000
Fix,GT,37.3177622,-121.9480927,12.342980030056088,2.28,0.1,0.48208618,1628109656000
Fix,GT,37.3177828,-121.948094,12.199981372072362,2.3611329,0.1,357.79385,1628109657000
Fix,GT,37.3178039,-121.9481019,12.015030521014008,2.3676777,0.099,346.61502,1628109658000
Fix,GT,37.3178241,-121.9481215,11.944982472348492,3.093635,0.099,326.96204,1628109659000
Fix,GT,37.317843,-121.948158,11.84697453131387,4.287901,0.099,303.80933,1628109660000
Fix,GT,37.3178537,-121.9482141,11.692988112698774,5.6457343,0.1,281.44308,1628109661000
Fix,GT,37.3178518,-121.9482851,11.562986900443796,6.6086926,0.1,267.23367,1628109662000
Fix,GT,37.3178496,-121.9483615,11.467984265916048,6.9174213,0.1,268.39056,1628109663000
Fix,GT,37.3178489,-121.9484395,11.386984266258194,6.8630285,0.1,269.60712,1628109664000
Fix,GT,37.3178489,-121.9485162,11.31298807304632,6.7210493,0.099,269.96,1628109665000
Fix,GT,37.3178491,-121.9485912,11.232994690843045,6.568982,0.1,270.1489,1628109666000
Fix,GT,37.3178495,-121.9486639,11.159995851715443,6.329983,0.1,270.37585,1628109667000
Fix,GT,37.31785,-121.9487338,11.135988488866598,6.0602717,0.1,270.5058,1628109668000
Fix,GT,37.3178507,-121.9487998,11.093994718426838,5.5064874,0.1,270.60486,1628109669000
Fix,GT,37.317851,-121.9488551,11.044997706117574,4.145887,0.1,270.122,1628109670000
Fix,GT,37.3178503,-121.9488951,11.031999799650164,3.229301,0.1,268.52368,1628109671000
Fix,GT,37.3178473,-121.9489303,11.0150040396743,2.945665,0.1,263.66003,1628109672000
Fix,GT,37.3178373,-121.9489599,11.097013876065146,2.6003635,0.1,249.13503,1628109673000
Fix,GT,37.3178175,-121.9489812,11.2110065929275,2.958483,0.1,225.51558,1628109674000
Fix,GT,37.3177857,-121.9489964,11.283006196705625,4.3298507,0.1,202.8266,1628109675000
Fix,GT,37.3177397,-121.9490066,11.31499000315275,5.8602905,0.1,190.24615,1628109676000
Fix,GT,37.3176825,-121.9490176,11.370000209135467,6.810675,0.1,188.3921,1628109677000
Fix,GT,37.3176212,-121.9490273,11.287986084391596,6.7927303,0.1,186.68555,1628109678000
Fix,GT,37.3175612,-121.9490339,11.266999672087142,6.553667,0.1,184.34468,1628109679000
Fix,GT,37.3175034,-121.9490373,11.310012713298203,6.2668214,0.1,182.28146,1628109680000
Fix,GT,37.3174488,-121.9490389,11.36400151074282,5.7583594,0.1,181.00168,1628109681000
Fix,GT,37.3174007,-121.949039,11.463013804066923,4.8356037,0.1,180.00507,1628109682000
Fix,GT,37.3173627,-121.9490386,11.542003559559234,3.5182555,0.1,179.36353,1628109683000
Fix,GT,37.3173371,-121.9490381,11.573007219352643,2.2979803,0.1,179.06519,1628109684000
Fix,GT,37.3173248,-121.9490379,11.600000322749835,0.4848772,0.1,179.04333,1628109685000
Fix,GT,37.3173233,-121.9490379,11.597998473439482,0.019028844,0.099,179.10931,1628109686000
Fix,GT,37.3173232,-121.9490379,11.600999661015928,0.0020026057,0.099,179.11102,1628109687000
Fix,GT,37.3173232,-121.9490379,11.604000077000352,0.0019992834,0.1,179.11127,1628109688000
Fix,GT,37.3173232,-121.9490379,11.60599991758191,0.00299878,0.1,179.11188,1628109689000
Fix,GT,37.3173231,-121.9490379,11.607000974639318,0.038034096,0.1,179.10999,1628109690000
Fix,GT,37.3173191,-121.9490378,11.609002601510612,1.07743,0.1,179.15637,1628109691000
Fix,GT,37.3173041,-121.9490398,11.647001225590705,2.140035,0.1,183.50081,1628109692000
Fix,GT,37.3172874,-121.9490516,11.49497453782102,2.285062,0.1,201.86905,1628109693000
Fix,GT,37.3172764,-121.9490766,11.46501893526688,2.8183925,0.1,231.15625,1628109694000
Fix,GT,37.3172716,-121.949114,11.543006221192888,3.9447768,0.1,256.72586,1628109695000
Fix,GT,37.3172766,-121.9491662,11.554995405754774,5.5551467,0.1,276.2677,1628109696000
Fix,GT,37.3172844,-121.9492335,11.491993954852456,6.2218103,0.1,277.13834,1628109697000
Fix,GT,37.3172897,-121.9493032,11.408990367518507,6.174993,0.1,275.24603,1628109698000
Fix,GT,37.3172943,-121.9493711,11.317991427318075,5.7209187,0.1,274.6085,1628109699000
Fix,GT,37.3172977,-121.9494321,11.232993038015325,5.1571784,0.1,273.9053,1628109700000
Fix,GT,37.3173003,-121.9494868,11.171990439634303,4.559072,0.1,273.39502,1628109701000
Fix,GT,37.3173028,-121.949535,11.09999321416556,3.9040425,0.1,273.5702,1628109702000
Fix,GT,37.3173048,-121.9495748,11.031990742979572,3.2383442,0.1,273.62833,1628109703000
Fix,GT,37.3173066,-121.9496089,10.982994120313322,2.8552234,0.1,273.65768,1628109704000
Fix,GT,37.3173081,-121.9496389,10.942995150746311,2.436888,0.1,273.69754,1628109705000
Fix,GT,37.3173094,-121.9496637,10.900993347792188,1.9606822,0.1,273.67264,1628109706000
Fix,GT,37.3173105,-121.9496829,10.872997732156657,1.410083,0.1,273.79163,1628109707000
Fix,GT,37.3173112,-121.9496957,10.852999785212567,0.86556035,0.099,273.84195,1628109708000
Fix,GT,37.3173116,-121.9497023,10.837998705371747,0.30979612,0.1,273.83545,1628109709000
Fix,GT,37.3173116,-121.9497033,10.831000030261464,0.022196539,0.1,273.84262,1628109710000
Fix,GT,37.3173116,-121.9497034,10.829999881486874,0.002236068,0.1,273.83984,1628109711000
Fix,GT,37.3173116,-121.9497034,10.829000269781565,0.0014142137,0.1,273.8371,1628109712000
Fix,GT,37.3173116,-121.9497034,10.829000013867278,0.002236068,0.1,273.8368,1628109713000
Fix,GT,37.3173116,-121.9497034,10.828999756692328,0.0022360678,0.099,273.83685,1628109714000
Fix,GT,37.3173116,-121.9497034,10.829000144976074,0.002236068,0.1,273.83698,1628109715000
Fix,GT,37.3173116,-121.9497034,10.829000104634906,0.002236068,0.1,273.83716,1628109716000
Fix,GT,37.3173116,-121.9497034,10.82900006429374,0.0014151337,0.1,273.83707,1628109717000
