MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3711984,-122.0477144,9.215000168424448,1.200031e-06,0.1,279.6924,1629837165000
Fix,GT,37.3711984,-122.0477144,9.215000109958636,0.0009991524,0.1,279.69232,1629837166000
Fix,GT,37.3711984,-122.0477144,9.215000052029207,0.0019995042,0.1,279.69226,1629837167000
Fix,GT,37.3711984,-122.0477144,9.215000085821377,0.0014138633,0.1,279.69247,1629837168000
Fix,GT,37.3711984,-122.0477144,9.214999935097586,8.4471003e-07,0.1,279.6923,1629837169000
Fix,GT,37.3711984,-122.0477144,9.214999877168156,0.0014138641,0.1,279.69257,1629837170000
Fix,GT,37.3711984,-122.0477144,9.214999999463616,0.0014138644,0.1,279.69263,1629837171000
Fix,GT,37.3711984,-122.0477144,9.214999848739826,0.0,0.099,279.69214,1629837172000
Fix,GT,37.3711984,-122.0477144,9.214999974789972,8.4084e-07,0.1,279.6922,1629837173000
Fix,GT,37.3711984,-122.0477144,9.214999916860542,0.0014138657,0.099,279.69296,1629837174000
Fix,GT,37.3711984,-122.0477144,9.21499995065271,0.0010003475,0.1,279.6926,1629837175000
Fix,GT,37.3711984,-122.0477144,9.214999892186896,0.001,0.099,279.69263,1629837176000
Fix,GT,37.3711984,-122.0477144,9.214999833721086,1.8716113e-06,0.1,279.69266,1629837177000
Fix,GT,37.3711984,-122.0477144,9.214999867513251,0.0,0.099,279.6924,1629837178000
Fix,GT,37.3711984,-122.0477144,9.215000266582646,0.000999165,0.1,279.6923,1629837179000
Fix,GT,37.3711984,-122.0477144,9.214999751118013,0.0,0.099,279.69244,1629837180000
Fix,GT,37.3711984,-122.0477144,9.214999784910177,0.0009991669,0.1,279.6925,1629837181000
Fix,GT,37.3711984,-122.0477144,9.21499972698075,0.001,0.099,279.69263,1629837182000
Fix,GT,37.3711984,-122.0477144,9.215000125513765,0.0,0.1,279.69244,1629837183000
Fix,GT,37.3711984,-122.0477144,9.215000251563907,0.0009991698,0.1,279.69266,1629837184000
Fix,GT,37.3711984,-122.0477144,9.214999736099273,1.6587401e-06,0.1,279.69257,1629837185000
Fix,GT,37.3711984,-122.0477144,9.215000135168664,8.2840006e-07,0.1,279.69238,1629837186000
Fix,GT,37.3711984,-122.0477144,9.215000076702854,0.0009991726,0.1,279.69217,1629837187000
Fix,GT,37.3711984,-122.0477144,9.21500011049502,0.0014142136,0.1,279.69223,1629837188000
