MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.3711959,-122.0477152,9.215000274628402,0.001,0.1,279.69266,1629837163437
Fix,GT,37.3711959,-122.0477152,9.215,0.001,0.1,279.6926,1629837164437
Fix,GT,37.3711959,-122.0477152,9.215,0.001,0.1,279.6926,1629837165437
Fix,GT,37.3711959,-122.0477152,9.215000274628402,0.0003725204,0.1,279.69247,1629837166437
Fix,GT,37.3711959,-122.0477152,9.215,0.001,0.1,279.6924,1629837167437
Fix,GT,37.3711959,-122.0477152,9.215,0.00088739,0.1,279.69257,1629837168437
Fix,GT,37.3711959,-122.0477152,9.2150002746284,0.0003725205,0.1,279.6925,1629837169437
Fix,GT,37.3711959,-122.0477152,9.2150002746284,0.0013725206,0.1,279.6923,1629837170437
Fix,GT,37.3711959,-122.0477152,9.215,0.0014142136,0.1,279.6922,1629837171437
Fix,GT,37.3711959,-122.0477152,9.215,0.0003725206,0.1,279.69257,1629837172437
Fix,GT,37.3711959,-122.0477152,9.215000274628402,0.0016274796,0.1,279.6927,1629837173437
Fix,GT,37.3711959,-122.0477152,9.2150002746284,0.0011543032,0.1,279.69263,1629837174437
Fix,GT,37.3711959,-122.0477152,9.215000274628402,0.001,0.1,279.6925,1629837175437
Fix,GT,37.3711959,-122.0477152,9.215,0.002301603,0.1,279.6926,1629837176437
Fix,GT,37.3711959,-122.0477152,9.214999725371598,0.0013725209,0.1,279.6925,1629837177437
Fix,GT,37.3711959,-122.0477152,9.2150002746284,0.0,0.1,279.69263,1629837178437
Fix,GT,37.3711959,-122.0477152,9.214999725371598,0.0,0.1,279.69254,1629837179437
Fix,GT,37.3711959,-122.0477152,9.215,0.00037252106,0.1,279.6925,1629837180437
Fix,GT,37.3711959,-122.0477152,9.215,0.0,0.1,279.69247,1629837181437
Fix,GT,37.3711959,-122.0477152,9.215,0.001,0.1,279.69244,1629837182437
Fix,GT,37.3711959,-122.0477152,9.214999725371598,0.0,0.1,279.69244,1629837183437
Fix,GT,37.3711959,-122.0477152,9.215000274628402,0.001,0.1,279.6924,1629837184437
Fix,GT,37.3711959,-122.0477152,9.214999725371598,0.0011175635,0.1,279.69247,1629837185437
Fix,GT,37.3711959,-122.0477152,9.215000274628402,0.000627479,0.1,279.69254,1629837186437
Fix,GT,37.3711959,-122.0477152,9.214999725371598,0.0012599102,0.1,279.69254,1629837187437
Fix,GT,37.3711959,-122.0477152,9.215000274628402,0.0014142136,0.1,279.69257,1629837188437
Fix,GT,37.3711959,-122.0477152,9.214999725371598,0.0016274789,0.1,279.69238,1629837189437
Fix,GT,37.3711959,-122.0477152,9.2150002746284,0.0012599103,0.1,279.69226,1629837190437
Fix,GT,37.3711959,-122.0477152,9.2149997253716,0.00062747876,0.1,279.6922,1629837191437
Fix,GT,37.3711959,-122.0477152,9.215,0.0012599102,0.1,279.6923,1629837192437
Fix,GT,37.3711959,-122.0477152,9.215,0.0,0.1,279.69238,1629837193437
Fix,GT,37.3711959,-122.0477152,9.214999725371598,0.0014142136,0.1,279.69275,1629837194437
Fix,GT,37.3711959,-122.0477152,9.214999725371598,0.0008873888,0.1,279.69244,1629837195437
Fix,GT,37.3711959,-122.0477152,9.2150002746284,0.0016324316,0.1,279.6922,1629837196437
Fix,GT,37.3711959,-122.0477152,9.215,0.0011543036,0.1,279.69202,1629837197437
Fix,GT,37.3711959,-122.0477152,9.215,0.00037252155,0.1,279.69196,1629837198437
Fix,GT,37.3711959,-122.0477152,9.215,0.00037252155,0.1,279.69208,1629837199437
Fix,GT,37.3711959,-122.0477152,9.215,0.0006274785,0.1,279.6922,1629837200437
Fix,GT,37.3711959,-122.0477152,9.215000274628402,0.0,0.1,279.6922,1629837201437
Fix,GT,37.3711959,-122.0477152,9.215000274628402,0.0,0.1,279.69214,1629837202437
Fix,GT,37.3711959,-122.0477152,9.215000274628402,0.0,0.1,279.69196,1629837203437
Fix,GT,37.3711959,-122.0477152,9.214999725371598,0.0,0.1,279.69196,1629837204437
Fix,GT,37.3711959,-122.0477152,9.215,0.0,0.1,279.69196,1629837205437
Fix,GT,37.3711959,-122.0477152,9.214999725371598,0.001,0.1,279.69186,1629837206437
Fix,GT,37.3711959,-122.0477152,9.2150002746284,0.0010000002,0.1,279.6919,1629837207437
Fix,GT,37.3711959,-122.0477152,9.215,0.0006274784,0.1,279.69208,1629837208437
Fix,GT,37.3711959,-122.0477152,9.2150002746284,0.0,0.1,279.69208,1629837209437
Fix,GT,37.3711959,-122.0477152,9.214999725371598,0.00037252187,0.1,279.692,1629837210437
Fix,GT,37.3711959,-122.0477152,9.2150002746284,0.0010000002,0.1,279.6919,1629837211437
