MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.2725352,-118.6156624,323.38100784929594,0.0014140747,0.1,263.1895,1638904975000
Fix,GT,34.2725352,-118.6156624,323.3810031058365,0.001,0.1,263.1892,1638904976000
Fix,GT,34.2725352,-118.6156624,323.3810015905648,0.001,0.1,263.18918,1638904977000
Fix,GT,34.2725352,-118.6156624,323.38099360950605,0.001,0.1,263.189,1638904978000
Fix,GT,34.2725352,-118.6156624,323.381004903457,0.001,0.1,263.1898,1638904979000
Fix,GT,34.2725352,-118.6156624,323.3809969223984,0.0,0.1,263.18948,1638904980000
Fix,GT,34.2725352,-118.6156624,323.3810082257609,0.0,0.1,263.18964,1638904981000
Fix,GT,34.2725352,-118.6156624,323.38099700710296,4.0737834e-07,0.1,263.1899,1638904982000
Fix,GT,34.2725352,-118.6156624,323.3810050728663,0.0010003478,0.1,263.18915,1638904983000
Fix,GT,34.2725352,-118.6156624,323.38100666343104,0.001,0.1,263.18903,1638904984000
Fix,GT,34.2725352,-118.6156624,323.38099221658547,0.0009997323,0.1,263.18887,1638904985000
Fix,GT,34.2725352,-118.6156624,323.3809970447495,0.0009999999,0.1,263.18896,1638904986000
Fix,GT,34.2725352,-118.6156624,323.38100187291354,0.0010001054,0.1,263.18918,1638904987000
Fix,GT,34.2725352,-118.6156624,323.3810067010776,0.0014141111,0.1,263.18933,1638904988000
Fix,GT,34.2725352,-118.6156624,323.380992254232,0.0049995575,0.1,263.18973,1638904989000
Fix,GT,34.2725353,-118.6156624,323.380997082396,0.0042434293,0.1,263.18427,1638904990000
Fix,GT,34.2725353,-118.6156624,323.3830019105718,0.018439498,0.1,263.14783,1638904991000
Fix,GT,34.2725343,-118.6156643,323.394007399775,0.341115,0.1,260.77313,1638904992000
Fix,GT,34.2725332,-118.6156663,323.4079925047149,0.030409629,0.1,258.10318,1638904993000
Fix,GT,34.2725333,-118.6156663,323.4089971197931,0.011999186,0.1,258.08185,1638904994000
Fix,GT,34.2725333,-118.6156663,323.4090021482952,0.013152516,0.1,258.08136,1638904995000
Fix,GT,34.2725334,-118.6156663,323.4100067769783,0.016278442,0.1,258.07996,1638904996000
Fix,GT,34.2725335,-118.6156664,323.4109923288134,0.055081166,0.1,257.99362,1638904997000
Fix,GT,34.2725324,-118.6156683,323.42500092940566,0.26323193,0.1,255.2958,1638904998000
Fix,GT,34.2725304,-118.6156712,323.4440091445665,0.520253,0.1,250.87456,1638904999000
Fix,GT,34.2725244,-118.6156779,323.47999450107903,1.2205805,0.099,239.70245,1638905000000
Fix,GT,34.2725105,-118.6156858,323.466998673388,1.9417951,0.099,218.18994,1638905001000
Fix,GT,34.2724888,-118.6156851,323.529005035118,2.5617185,0.1,188.6682,1638905002000
Fix,GT,34.2724651,-118.6156654,323.5959928792788,3.4350498,0.1,150.80945,1638905003000
Fix,GT,34.2724524,-118.6156233,323.45600026823905,4.6321034,0.1,111.30081,1638905004000
Fix,GT,34.2724527,-118.6155637,323.14599180214594,6.3391013,0.1,88.66321,1638905005000
Fix,GT,34.272458,-118.6154847,322.8089959517135,8.228694,0.1,84.980286,1638905006000
Fix,GT,34.2724669,-118.6153855,322.3639954176357,10.297897,0.1,83.67465,1638905007000
Fix,GT,34.2724795,-118.6152642,321.88299816976337,12.175449,0.1,82.469666,1638905008000
Fix,GT,34.2724947,-118.6151234,321.35399767243285,13.9466095,0.1,82.66864,1638905009000
Fix,GT,34.2725117,-118.6149642,320.634999244296,15.499893,0.1,82.51019,1638905010000
Fix,GT,34.2725301,-118.6147922,319.8269974037362,16.203947,0.1,82.67627,1638905011000
Fix,GT,34.2725482,-118.6146176,319.0349989558408,15.9849825,0.1,82.79947,1638905012000
Fix,GT,34.2725653,-118.6144505,318.2090016821611,14.890236,0.1,82.6557,1638905013000
Fix,GT,34.2725801,-118.6142965,317.34198446721365,13.81532,0.1,84.15448,1638905014000
Fix,GT,34.2725824,-118.6141534,316.4709898406535,12.692509,0.1,92.45798,1638905015000
Fix,GT,34.2725616,-118.6140194,315.4249880756518,12.649753,0.1,105.49344,1638905016000
Fix,GT,34.2725121,-118.6138922,314.33898813500144,13.411642,0.1,120.9606,1638905017000
Fix,GT,34.2724286,-118.61378,313.5619943538253,14.385546,0.1,138.66376,1638905018000
Fix,GT,34.2723159,-118.6136947,312.77499557762303,15.215855,0.1,153.12427,1638905019000
Fix,GT,34.2721892,-118.6136238,311.9080009551664,15.688213,0.1,154.79437,1638905020000
Fix,GT,34.2720657,-118.6135419,311.1040001751178,15.59511,0.1,147.66772,1638905021000
Fix,GT,34.2719566,-118.613435,310.40200216984493,15.737589,0.1,136.42935,1638905022000
Fix,GT,34.2718619,-118.6133051,309.51500412230814,16.133844,0.1,127.87805,1638905023000
Fix,GT,34.2717836,-118.6131562,308.7630031760555,16.37481,0.1,118.576294,1638905024000
Fix,GT,34.2717269,-118.6129937,308.24700015378,15.912424,0.1,108.35242,1638905024999
Fix,GT,34.271699,-118.6128275,307.9490002281666,15.539343,0.1,96.18173,1638905025999
Fix,GT,34.2717033,-118.6126582,307.816000051856,15.832075,0.1,82.61499,1638905026999
Fix,GT,34.2717389,-118.6124888,307.8339999039173,16.423906,0.1,72.015625,1638905027999
Fix,GT,34.2717866,-118.6123165,307.8269999075532,17.008968,0.1,72.15506,1638905028999
Fix,GT,34.2718303,-118.6121356,307.80500037610534,17.818409,0.1,74.23596,1638905029999
Fix,GT,34.2718729,-118.6119421,307.77700004440544,18.994577,0.1,75.6026,1638905030999
Fix,GT,34.2719156,-118.611737,307.71799979519847,19.94909,0.1,75.687195,1638905031999
Fix,GT,34.2719608,-118.6115242,307.6390005219579,20.406754,0.1,75.28357,1638905032999
Fix,GT,34.2720085,-118.611311,307.6659987689852,20.224781,0.1,74.23038,1638905033999
Fix,GT,34.2720594,-118.6111016,307.58300128853324,19.98067,0.1,73.17758,1638905034999
Fix,GT,34.2721114,-118.6108959,307.65599945133926,19.67715,0.1,72.78906,1638905035999
Fix,GT,34.2721627,-118.6106919,307.6830004258752,19.53184,0.1,73.63077,1638905036999
Fix,GT,34.2722075,-118.6104878,307.671,19.41,0.1,76.55493,1638905037999
Fix,GT,34.2722422,-118.6102803,307.631,19.485191,0.1,80.08667,1638905038999
Fix,GT,34.2722672,-118.6100719,307.4570030629635,19.311243,0.1,83.03516,1638905039999
Fix,GT,34.272283,-118.609864,307.08900573313235,19.173916,0.1,86.008514,1638905040999
Fix,GT,34.2722921,-118.6096562,306.4540084638596,19.171764,0.1,87.18829,1638905041999
Fix,GT,34.2723004,-118.6094476,305.5410139864684,19.292614,0.1,87.19385,1638905042999
Fix,GT,34.2723092,-118.609237,304.28901965427394,19.554836,0.1,86.9068,1638905043999
Fix,GT,34.2723187,-118.6090233,303.0520171700716,19.828053,0.1,86.95734,1638905044999
Fix,GT,34.2723274,-118.6088085,301.8640174202919,19.614176,0.1,87.26865,1638905045999
Fix,GT,34.2723346,-118.6085982,300.7310165438652,19.282146,0.1,87.93881,1638905046999
Fix,GT,34.2723359,-118.6083877,299.5190199973583,19.513838,0.1,91.28082,1638905047999
Fix,GT,34.2723232,-118.6081751,298.2570221809149,19.752863,0.1,96.32214,1638905048999
Fix,GT,34.2722946,-118.6079622,297.05901823097474,19.975828,0.1,101.17682,1638905049999
Fix,GT,34.2722572,-118.6077492,296.039018764019,20.078869,0.1,101.55029,1638905050999
Fix,GT,34.2722253,-118.6075356,295.4340162879825,19.71182,0.1,98.67337,1638905051999
Fix,GT,34.2722065,-118.6073252,294.94500795453786,19.34701,0.1,94.13208,1638905052999
Fix,GT,34.2722006,-118.6071164,294.6370070282817,19.143316,0.1,90.20398,1638905053999
Fix,GT,34.2722073,-118.60691,294.41100166082384,18.864052,0.1,85.18729,1638905054999
Fix,GT,34.2722307,-118.6067095,294.61599549764395,18.43516,0.1,79.45349,1638905055999
Fix,GT,34.2722671,-118.6065172,295.054989161551,17.869064,0.1,75.23425,1638905056999
Fix,GT,34.2723118,-118.6063358,295.7559838128686,16.926977,0.1,72.04254,1638905057999
Fix,GT,34.2723574,-118.6061662,296.590976052165,15.898878,0.1,73.06116,1638905058999
Fix,GT,34.2723891,-118.6060026,297.67497318488364,15.115705,0.1,79.47528,1638905059999
Fix,GT,34.2724051,-118.6058417,298.85196969854826,14.753904,0.1,85.31128,1638905060999
Fix,GT,34.2724091,-118.6056839,300.00397090411184,14.3801985,0.1,89.99963,1638905061999
Fix,GT,34.2724027,-118.6055323,301.1389740598202,13.535119,0.1,94.59259,1638905062999
Fix,GT,34.272388,-118.6053922,302.20497069895265,12.405878,0.1,98.52118,1638905063999
Fix,GT,34.2723695,-118.6052702,303.15898015594485,10.010459,0.1,100.6445,1638905064999
Fix,GT,34.2723556,-118.6051799,303.80698531484603,6.939759,0.1,100.27142,1638905065999
Fix,GT,34.2723457,-118.6051206,304.2419910347462,4.2518725,0.1,101.57776,1638905066999
Fix,GT,34.2723392,-118.6050881,304.48999556005003,1.9067245,0.1,103.29843,1638905067999
Fix,GT,34.2723367,-118.6050771,304.5699993942976,0.2642676,0.1,103.82391,1638905068999
Fix,GT,34.2723367,-118.605077,304.56299969041345,0.0058308137,0.1,103.84964,1638905069999
Fix,GT,34.2723367,-118.605077,304.563,0.0036055513,0.1,103.849304,1638905070999
Fix,GT,34.2723367,-118.605077,304.563,0.0022363148,0.1,103.84924,1638905071999
Fix,GT,34.2723367,-118.605077,304.563,0.002236068,0.1,103.84955,1638905072999
Fix,GT,34.2723367,-118.605077,304.563,0.001,0.1,103.84958,1638905073999
