MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.2725377,-118.6156625,323.38100813164465,0.001,0.1,263.1892,1638904976000
Fix,GT,34.2725377,-118.6156625,323.3809942024385,0.001,0.1,263.18918,1638904977000
Fix,GT,34.2725377,-118.6156625,323.38100286113416,0.001,0.1,263.189,1638904978000
Fix,GT,34.2725377,-118.6156625,323.3809922071738,0.0009999999,0.099,263.1898,1638904979000
Fix,GT,34.2725377,-118.6156625,323.3809975906238,0.0,0.099,263.18948,1638904980000
Fix,GT,34.2725377,-118.6156625,323.381006211673,0.0,0.1,263.18964,1638904981000
Fix,GT,34.2725377,-118.6156625,323.3809955577126,2.7389356e-06,0.1,263.1899,1638904982000
Fix,GT,34.2725377,-118.6156625,323.3810041787618,0.0010023897,0.1,263.18915,1638904983000
Fix,GT,34.2725377,-118.6156625,323.38099352480145,0.0009999999,0.099,263.18903,1638904984000
Fix,GT,34.2725377,-118.6156625,323.3810053834499,0.0009980738,0.1,263.18887,1638904985000
Fix,GT,34.2725377,-118.6156625,323.38099476713603,0.0009999999,0.1,263.18896,1638904986000
Fix,GT,34.2725377,-118.6156625,323.38100338818526,0.001000795,0.1,263.18918,1638904987000
Fix,GT,34.2725377,-118.6156625,323.3809959718241,0.0014134201,0.1,263.18933,1638904988000
Fix,GT,34.2725377,-118.6156625,323.3810045928733,0.0049964855,0.1,263.18973,1638904989000
Fix,GT,34.2725378,-118.6156625,323.38099717651227,0.004249079,0.099,263.18427,1638904990000
Fix,GT,34.2725378,-118.6156625,323.3830090352166,0.018442536,0.1,263.14777,1638904991000
Fix,GT,34.2725368,-118.6156646,323.3940073244748,0.3410862,0.1,260.77237,1638904992000
Fix,GT,34.2725357,-118.6156667,323.40799610034446,0.030376608,0.1,258.10315,1638904993000
Fix,GT,34.2725358,-118.6156667,323.4090060616118,0.011992539,0.1,258.08185,1638904994000
Fix,GT,34.2725358,-118.6156667,323.40900053603855,0.013148875,0.1,258.08136,1638904995000
Fix,GT,34.2725359,-118.6156667,323.4099912275782,0.016275117,0.1,258.07996,1638904996000
Fix,GT,34.272536,-118.6156668,323.41100308729966,0.05515848,0.1,257.9934,1638904997000
Fix,GT,34.2725349,-118.6156688,323.4250013130331,0.26325086,0.1,255.2952,1638904998000
Fix,GT,34.2725329,-118.615672,323.4439990003128,0.5203492,0.1,250.87332,1638904999000
Fix,GT,34.2725267,-118.6156793,323.4800089736845,1.2207307,0.1,239.69963,1638905000000
Fix,GT,34.2725122,-118.6156881,323.4669940625364,1.941894,0.1,218.18541,1638905001000
Fix,GT,34.2724893,-118.6156881,323.5290085554525,2.5618525,0.099,188.6624,1638905002000
Fix,GT,34.272464,-118.6156682,323.5960059675153,3.435173,0.1,150.80219,1638905003000
Fix,GT,34.2724501,-118.6156246,323.45595940787103,4.632375,0.1,111.2955,1638905004000
Fix,GT,34.2724501,-118.6155639,323.14595246205624,6.3394427,0.1,88.66168,1638905005000
Fix,GT,34.2724555,-118.6154847,322.8089354135925,8.228989,0.1,84.97983,1638905006000
Fix,GT,34.2724644,-118.6153854,322.36389760231816,10.298321,0.1,83.67447,1638905007000
Fix,GT,34.272477,-118.615264,321.88290333823625,12.175749,0.1,82.46951,1638905008000
Fix,GT,34.2724922,-118.6151233,321.3538569812212,13.946937,0.099,82.66858,1638905009000
Fix,GT,34.2725092,-118.614964,320.6348630247887,15.50011,0.1,82.51019,1638905010000
Fix,GT,34.2725276,-118.6147921,319.82684766028086,16.204012,0.1,82.6763,1638905011000
Fix,GT,34.2725457,-118.6146175,319.034834188507,15.984835,0.1,82.79941,1638905012000
Fix,GT,34.2725628,-118.6144504,318.2088463751116,14.889961,0.1,82.65573,1638905013000
Fix,GT,34.2725776,-118.6142964,317.3418315728202,13.815094,0.1,84.15549,1638905014000
Fix,GT,34.2725799,-118.6141537,316.4708246732416,12.692427,0.1,92.45996,1638905015000
Fix,GT,34.2725592,-118.6140204,315.4247986023132,12.649836,0.099,105.49597,1638905016000
Fix,GT,34.2725101,-118.6138939,314.3388339021064,13.411841,0.1,120.963684,1638905017000
Fix,GT,34.2724271,-118.6137825,313.56187135459845,14.385699,0.1,138.66681,1638905018000
Fix,GT,34.2723149,-118.6136976,312.77483585268743,15.216002,0.1,153.1258,1638905019000
Fix,GT,34.2721883,-118.6136266,311.9078455679156,15.68824,0.1,154.79388,1638905020000
Fix,GT,34.2720645,-118.6135445,311.103866087367,15.595125,0.1,147.66577,1638905021000
Fix,GT,34.271955,-118.6134374,310.4018680594987,15.737631,0.1,136.42767,1638905022000
Fix,GT,34.27186,-118.6133072,309.5148530529457,16.133898,0.1,127.87634,1638905023000
Fix,GT,34.2717815,-118.6131578,308.76288951848466,16.374798,0.1,118.57471,1638905024000
Fix,GT,34.2717245,-118.6129949,308.2469299488548,15.91225,0.1,108.35034,1638905025000
Fix,GT,34.2716965,-118.612828,307.9489608205458,15.5393305,0.1,96.17932,1638905026000
Fix,GT,34.2717007,-118.6126581,307.81599638317545,15.8321705,0.1,82.61252,1638905027000
Fix,GT,34.2717365,-118.6124881,307.83399674534706,16.424028,0.099,72.01483,1638905028000
Fix,GT,34.2717841,-118.6123157,307.8270073276116,17.009064,0.1,72.15564,1638905029000
Fix,GT,34.2718279,-118.612135,307.80498425368404,17.818632,0.1,74.23627,1638905030000
Fix,GT,34.2718704,-118.6119416,307.77697602552735,18.99474,0.099,75.602844,1638905031000
Fix,GT,34.2719131,-118.6117364,307.7180020419162,19.949215,0.1,75.687164,1638905032000
Fix,GT,34.2719584,-118.6115237,307.6389931904605,20.406761,0.1,75.28345,1638905033000
Fix,GT,34.2720061,-118.6113104,307.66599463041496,20.224714,0.1,74.230194,1638905034000
Fix,GT,34.2720569,-118.6111009,307.5829753464946,19.980637,0.1,73.17743,1638905035000
Fix,GT,34.272109,-118.6108952,307.6560208577541,19.677137,0.1,72.789,1638905036000
Fix,GT,34.2721602,-118.6106912,307.68299814625084,19.531801,0.1,73.63107,1638905037000
Fix,GT,34.272205,-118.6104873,307.6709933625096,19.410044,0.1,76.55557,1638905038000
Fix,GT,34.2722397,-118.61028,307.63098337917,19.485159,0.1,80.08731,1638905039000
