MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.1759678,-118.4652916,177.81400529927015,0.0014887401,0.1,182.2124,1638984169448
Fix,GT,34.1759678,-118.4652916,177.814,0.001,0.1,182.21245,1638984170448
Fix,GT,34.1759678,-118.4652916,177.814,0.0012117709,0.1,182.21262,1638984171448
Fix,GT,34.1759678,-118.4652916,177.814,0.001,0.1,182.21251,1638984172448
Fix,GT,34.1759678,-118.4652916,177.814,0.001,0.1,182.21243,1638984173448
Fix,GT,34.1759678,-118.4652916,177.81400529927015,0.0016041156,0.1,182.21237,1638984174448
Fix,GT,34.1759678,-118.4652916,177.81400529927015,0.0011432128,0.1,182.21225,1638984175448
Fix,GT,34.1759678,-118.4652916,177.81400529927015,0.0051969197,0.1,182.21269,1638984176448
Fix,GT,34.1759678,-118.4652916,177.814,0.0017621766,0.1,182.21251,1638984177448
Fix,GT,34.1759678,-118.4652916,177.81400529927015,0.0025942265,0.1,182.21262,1638984178448
Fix,GT,34.1759678,-118.4652916,177.814,0.002709602,0.1,182.21297,1638984179448
Fix,GT,34.1759678,-118.4652916,177.814,0.0012117708,0.1,182.21301,1638984180448
Fix,GT,34.1759678,-118.4652916,177.814,0.002,0.1,182.21315,1638984181448
Fix,GT,34.1759678,-118.4652916,177.814,0.0018343949,0.1,182.21303,1638984182448
Fix,GT,34.1759678,-118.4652916,177.81400529927015,0.0021153758,0.1,182.21303,1638984183448
Fix,GT,34.1759678,-118.4652916,177.81400529927015,0.003,0.1,182.21297,1638984184448
Fix,GT,34.1759678,-118.4652916,177.814,0.004,0.1,182.21294,1638984185448
Fix,GT,34.1759678,-118.4652916,177.81400529927015,0.0040000007,0.1,182.213,1638984186448
Fix,GT,34.1759678,-118.4652916,177.814,0.0041231057,0.1,182.21301,1638984187448
Fix,GT,34.1759678,-118.4652916,177.81400529927015,0.0040000007,0.1,182.21315,1638984188448
Fix,GT,34.1759678,-118.4652916,177.81400529927015,0.0040000007,0.1,182.21318,1638984189448
Fix,GT,34.1759678,-118.4652916,177.81400529927015,0.0020000003,0.1,182.21329,1638984190448
