MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.1759677,-118.4652901,177.81400451265975,0.0022347244,0.1,182.21245,1638984171000
Fix,GT,34.1759677,-118.4652901,177.81400175952328,0.001,0.1,182.21228,1638984172000
Fix,GT,34.1759677,-118.4652901,177.81400078661042,0.001,0.1,182.21233,1638984173000
Fix,GT,34.1759677,-118.4652901,177.81399981369754,0.002234741,0.1,182.21288,1638984174000
Fix,GT,34.1759677,-118.4652901,177.81399884078465,0.0010019871,0.1,182.21278,1638984175000
Fix,GT,34.1759677,-118.4652901,177.81399786787176,0.0028289615,0.1,182.21255,1638984176000
Fix,GT,34.1759677,-118.4652901,177.8139968949589,0.0010006602,0.1,182.21312,1638984177000
Fix,GT,34.1759677,-118.4652901,177.81400476106302,0.003158846,0.1,182.21263,1638984178000
Fix,GT,34.1759677,-118.4652901,177.81400378815013,0.003160441,0.1,182.21257,1638984179000
Fix,GT,34.1759677,-118.4652901,177.8140010350137,0.0022341232,0.1,182.21251,1638984180000
Fix,GT,34.1759677,-118.4652901,177.81399650165366,4.9535497e-06,0.1,182.21324,1638984181000
Fix,GT,34.1759677,-118.4652901,177.81400434705753,0.0014142137,0.1,182.21284,1638984182000
Fix,GT,34.1759677,-118.4652901,177.81399981369754,0.0014151231,0.1,182.21304,1638984183000
Fix,GT,34.1759677,-118.4652901,177.81399708126133,0.003,0.1,182.21297,1638984184000
Fix,GT,34.1759677,-118.4652901,177.81399610834848,0.0030015388,0.1,182.21304,1638984185000
Fix,GT,34.1759677,-118.4652901,177.81400217352876,0.0031635612,0.1,182.21297,1638984186000
Fix,GT,34.1759677,-118.4652901,177.81399764016874,0.0049986625,0.1,182.2132,1638984187000
Fix,GT,34.1759677,-118.4652901,177.81399488703232,0.0049986686,0.099,182.21317,1638984188000
Fix,GT,34.1759677,-118.4652901,177.81400273243617,0.004,0.1,182.21303,1638984189000
Fix,GT,34.1759677,-118.4652901,177.814,0.003,0.1,182.21304,1638984190000
Fix,GT,34.1759677,-118.4652901,177.81399724686355,0.0014142134,0.1,182.21324,1638984191000
Fix,GT,34.1759677,-118.4652901,177.81400331204384,0.002237449,0.1,182.21341,1638984192000
Fix,GT,34.1759677,-118.4652901,177.8160005589137,0.006000123,0.1,182.21324,1638984193000
Fix,GT,34.1759676,-118.4652901,177.81799928283155,0.010999999,0.1,182.21326,1638984194000
Fix,GT,34.1759675,-118.4652901,177.82100536203478,0.017030856,0.1,182.21333,1638984195000
Fix,GT,34.1759673,-118.4652901,177.82400260193913,0.024020825,0.1,182.21307,1638984196000
Fix,GT,34.175967,-118.4652901,177.8269998417506,0.031062994,0.1,182.21317,1638984197000
Fix,GT,34.1759666,-118.4652901,177.8299956318492,0.039051343,0.099,182.21394,1638984198000
Fix,GT,34.1759662,-118.4652901,177.83300169760386,0.042296574,0.1,182.2144,1638984199000
Fix,GT,34.175964,-118.46529,177.8309989441851,0.56606615,0.1,181.75943,1638984200000
Fix,GT,34.1759561,-118.4652876,177.83299654214642,1.1790733,0.1,176.07849,1638984201000
Fix,GT,34.1759439,-118.4652813,177.82099979102333,1.7196355,0.1,165.789,1638984202000
Fix,GT,34.1759277,-118.4652714,177.8050023544178,2.3545308,0.1,157.6806,1638984203000
Fix,GT,34.1759081,-118.4652588,177.80699076562092,2.5267859,0.1,153.89655,1638984204000
Fix,GT,34.175887,-118.4652462,177.7539958274808,2.8089743,0.1,153.919,1638984205000
Fix,GT,34.1758604,-118.4652331,177.74096002306115,3.355883,0.1,158.2312,1638984206000
Fix,GT,34.1758326,-118.4652256,177.6739866413425,2.8069122,0.1,167.55505,1638984207000
Fix,GT,34.1758106,-118.4652249,177.60898447642825,1.9858785,0.1,177.1853,1638984208000
Fix,GT,34.1757932,-118.4652339,177.38189526313732,2.1800246,0.1,195.95985,1638984209000
Fix,GT,34.1757824,-118.4652578,176.94503756654936,2.9868932,0.099,224.02158,1638984210000
Fix,GT,34.1757776,-118.4652935,177.05700552349677,4.41214,0.1,254.60953,1638984211000
Fix,GT,34.1757771,-118.4653503,177.14103336169546,6.3511767,0.1,267.90518,1638984212000
Fix,GT,34.1757731,-118.4654335,177.44202456913143,8.386697,0.1,268.82907,1638984213000
Fix,GT,34.1757724,-118.4655353,177.63602571461195,10.030277,0.1,269.83307,1638984214000
Fix,GT,34.1757725,-118.4656478,177.83602326193454,10.349268,0.1,269.97983,1638984215000
Fix,GT,34.1757728,-118.4657584,178.06004954037465,9.951903,0.1,269.91473,1638984216000
Fix,GT,34.1757725,-118.4658609,178.3460307439044,8.827925,0.1,269.79904,1638984217000
Fix,GT,34.1757715,-118.4659526,178.45600289799947,7.8923483,0.1,269.255,1638984218000
Fix,GT,34.1757684,-118.4660292,178.42197187740703,6.4191556,0.1,266.10654,1638984219000
Fix,GT,34.1757563,-118.4660951,178.3430391290942,5.983601,0.1,255.40027,1638984220000
Fix,GT,34.1757287,-118.4661566,178.4790400581941,7.2990313,0.1,237.72195,1638984221000
Fix,GT,34.1756752,-118.466215,178.53798798733507,8.781204,0.1,216.18488,1638984222000
Fix,GT,34.1755979,-118.4662554,178.45198913262922,10.073945,0.1,197.88408,1638984223000
Fix,GT,34.1755017,-118.4662744,178.3529859119649,11.446919,0.1,185.62173,1638984224000
Fix,GT,34.1753945,-118.4662828,178.28099964904413,12.328456,0.1,181.73097,1638984225000
Fix,GT,34.1752804,-118.4662828,178.25099060940778,13.085129,0.1,179.08173,1638984226000
Fix,GT,34.1751575,-118.4662858,178.2049878919141,14.139968,0.1,181.96393,1638984227000
Fix,GT,34.1750268,-118.4662931,178.14398957692472,14.879097,0.1,182.04549,1638984228000
Fix,GT,34.1748903,-118.4662973,178.09399802422897,15.296078,0.1,180.46327,1638984229000
Fix,GT,34.1747531,-118.4662983,178.0249910601813,15.14837,0.099,180.14586,1638984230000
Fix,GT,34.1746176,-118.4662998,177.9119964940811,14.914605,0.1,180.11882,1638984231000
Fix,GT,34.1744807,-118.4662999,177.82498704790416,15.61614,0.1,179.55096,1638984232000
Fix,GT,34.1743358,-118.4662984,177.70199099964822,16.443794,0.1,179.27997,1638984233000
Fix,GT,34.1741853,-118.4662972,177.58898533041776,16.851173,0.1,179.54895,1638984234000
Fix,GT,34.1740339,-118.4662971,177.45998366714525,16.737007,0.1,179.91199,1638984235000
Fix,GT,34.1738843,-118.4662979,177.3279911519587,16.410194,0.1,180.0597,1638984236000
Fix,GT,34.173739,-118.4662988,177.199987283885,15.771058,0.1,180.04332,1638984237000
Fix,GT,34.1736005,-118.4662996,177.08098287140308,14.949184,0.1,180.0863,1638984238000
Fix,GT,34.1734708,-118.4662997,176.9749860921232,13.773878,0.1,179.67352,1638984239000
Fix,GT,34.1733525,-118.4663004,176.88397994263573,12.4616,0.099,180.35042,1638984240000
Fix,GT,34.1732461,-118.4663031,176.77297737454413,11.163861,0.099,181.36565,1638984241000
Fix,GT,34.173151,-118.4663079,176.67597996215903,9.897048,0.099,182.46135,1638984242000
Fix,GT,34.1730686,-118.466313,176.57899531572406,8.367755,0.1,182.98878,1638984243000
Fix,GT,34.1730009,-118.4663185,176.4999840154905,6.6082177,0.1,183.77956,1638984244000
Fix,GT,34.1729513,-118.4663231,176.42999678089984,4.3748903,0.1,184.04852,1638984245000
Fix,GT,34.172922,-118.4663253,176.3889924902022,2.3226318,0.1,183.24553,1638984246000
Fix,GT,34.1729061,-118.4663262,176.364993133561,1.3051771,0.099,182.59157,1638984247000
Fix,GT,34.1728985,-118.4663266,176.35100380037002,0.33354625,0.1,182.5354,1638984248000
Fix,GT,34.1728981,-118.4663266,176.34099519626216,0.0058301473,0.1,182.54836,1638984249000
Fix,GT,34.172898,-118.4663266,176.33700297660764,0.002827522,0.1,182.5458,1638984250000
Fix,GT,34.172898,-118.4663266,176.3370020117762,0.0030001763,0.1,182.54196,1638984251000
Fix,GT,34.172898,-118.4663266,176.3369992815085,0.001,0.1,182.54112,1638984252000
Fix,GT,34.172898,-118.4663266,176.33700184754954,0.001,0.1,182.54146,1638984253000
Fix,GT,34.172898,-118.4663266,176.33700441359065,0.0010000002,0.1,182.54205,1638984254000
Fix,GT,34.172898,-118.4663266,176.33700521419547,0.001,0.1,182.54204,1638984255000
Fix,GT,34.172898,-118.4663266,176.337004249364,0.0019993843,0.1,182.5424,1638984256000
Fix,GT,34.172898,-118.4663266,176.33700328453256,0.0014142137,0.1,182.5428,1638984257000
Fix,GT,34.172898,-118.4663266,176.33700055426485,0.0010027039,0.1,182.54283,1638984258000
Fix,GT,34.172898,-118.4663266,176.33699782399717,0.0028278164,0.1,182.54298,1638984259000
Fix,GT,34.172898,-118.4663266,176.3369968591657,0.0031622776,0.1,182.54317,1638984260000
Fix,GT,34.172898,-118.4663266,176.33699487720426,0.0042415415,0.1,182.5438,1638984261000
Fix,GT,34.172898,-118.4663266,176.33400266424837,0.004123458,0.1,182.54413,1638984262000
Fix,GT,34.1728981,-118.4663266,176.3280009442549,0.0056553152,0.1,182.54488,1638984263000
Fix,GT,34.1728981,-118.4663266,176.32799823465385,0.003,0.1,182.54527,1638984264000
Fix,GT,34.1728981,-118.4663266,176.3169952907219,0.002999244,0.1,182.5456,1638984265000
Fix,GT,34.172898,-118.4663266,176.30100504893784,0.001,0.1,182.54623,1638984266000
Fix,GT,34.1728972,-118.4663267,176.28899436539783,0.36874893,0.1,182.43404,1638984267000
Fix,GT,34.1728879,-118.4663268,176.2699941937004,1.7329781,0.1,181.64217,1638984268000
Fix,GT,34.1728661,-118.466327,176.24599926773217,3.0826159,0.1,180.64456,1638984269000
Fix,GT,34.172833,-118.4663277,176.2029973683383,4.150042,0.1,180.73177,1638984270000
Fix,GT,34.172796,-118.4663278,176.1790000924637,3.6448984,0.1,180.04478,1638984271000
Fix,GT,34.1727674,-118.4663278,176.14399537545302,2.8449652,0.1,179.7528,1638984272000
Fix,GT,34.1727439,-118.4663278,176.11399912672712,2.3709836,0.1,179.58972,1638984273000
Fix,GT,34.1727245,-118.4663276,176.10299993311568,1.8869528,0.1,179.35345,1638984274000
Fix,GT,34.1727099,-118.4663275,176.08599638190736,1.4790001,0.099,179.36963,1638984275000
Fix,GT,34.1726968,-118.4663275,176.07199267624347,1.4350338,0.099,179.21173,1638984276000
Fix,GT,34.172682,-118.4663274,176.05600227974827,1.9142187,0.1,178.98975,1638984277000
Fix,GT,34.1726611,-118.4663271,176.04099959907924,2.7432044,0.1,179.14594,1638984278000
Fix,GT,34.1726315,-118.4663268,176.02199595875757,3.8713427,0.1,179.04791,1638984279000
Fix,GT,34.1725914,-118.4663261,175.98999500995455,5.0225506,0.099,179.12274,1638984280000
Fix,GT,34.1725411,-118.4663254,175.94400102595054,6.120507,0.1,179.33325,1638984281000
Fix,GT,34.1724813,-118.4663246,175.91299920368826,7.0297103,0.1,179.32501,1638984282000
Fix,GT,34.1724176,-118.4663236,175.89199739553408,7.049397,0.1,179.45087,1638984283000
Fix,GT,34.1723579,-118.4663246,175.85999385096162,6.1781154,0.1,182.16658,1638984284000
Fix,GT,34.1723082,-118.4663359,175.83698263922787,5.3457384,0.099,194.35634,1638984285000
Fix,GT,34.1722705,-118.4663671,175.79800487341777,5.1061134,0.1,218.82617,1638984286000
Fix,GT,34.1722499,-118.4664162,175.76399970413613,5.3147583,0.1,245.71611,1638984287000
Fix,GT,34.1722449,-118.4664778,175.76801198561023,6.323139,0.1,265.3285,1638984288000
Fix,GT,34.1722484,-118.4665542,176.15304462519578,7.7531567,0.1,272.7283,1638984289000
