MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.1719476,-118.5413417,206.797,0.0010001911,0.1,358.31128,1638989541999
Fix,GT,34.1719476,-118.5413417,206.797,0.0009995381,0.1,358.3109,1638989542999
Fix,GT,34.1719476,-118.5413417,206.797,0.001,0.1,358.31042,1638989543999
Fix,GT,34.1719476,-118.5413417,206.797,0.0014140218,0.1,358.31003,1638989544999
Fix,GT,34.1719476,-118.5413417,206.797,0.003605346,0.1,358.31003,1638989545999
Fix,GT,34.1719476,-118.5413417,206.797,0.0,0.1,358.3096,1638989546999
Fix,GT,34.1719476,-118.5413417,206.797,0.001,0.1,358.30804,1638989547999
Fix,GT,34.1719476,-118.5413417,206.797,0.0009995349,0.1,358.30762,1638989548999
Fix,GT,34.1719476,-118.5413417,206.797,0.001,0.1,358.3072,1638989549999
Fix,GT,34.1719476,-118.5413417,206.797,0.006401613,0.1,358.30673,1638989550999
Fix,GT,34.1719476,-118.5413417,206.797,0.003604912,0.1,358.3071,1638989551999
Fix,GT,34.1719476,-118.5413417,206.797,0.0014159359,0.1,358.30518,1638989552999
Fix,GT,34.1719476,-118.5413417,206.797,0.0036045257,0.1,358.3047,1638989553999
Fix,GT,34.1719476,-118.5413417,206.797,0.001,0.1,358.30396,1638989554999
Fix,GT,34.1719476,-118.5413417,206.797,0.0010001945,0.1,358.3036,1638989555999
Fix,GT,34.1719476,-118.5413417,206.797,0.0010001946,0.1,358.30328,1638989556999
Fix,GT,34.1719476,-118.5413417,206.797,0.0019997247,0.1,358.30267,1638989557999
Fix,GT,34.1719476,-118.5413417,206.797,0.001000195,0.1,358.3025,1638989558999
Fix,GT,34.1719476,-118.5413417,206.797,0.0010004716,0.1,358.30185,1638989559999
Fix,GT,34.1719476,-118.5413417,206.797,0.00141449,0.1,358.3014,1638989560999
Fix,GT,34.1719476,-118.5413417,206.797,0.0014142136,0.1,358.3007,1638989561999
Fix,GT,34.1719476,-118.5413417,206.797,0.0014142136,0.1,358.30038,1638989562999
Fix,GT,34.1719476,-118.5413417,206.797,0.0014142136,0.1,358.30002,1638989563999
Fix,GT,34.1719476,-118.5413417,206.797,0.0010001966,0.1,358.2995,1638989564999
Fix,GT,34.1719476,-118.5413417,206.797,0.0010001968,0.1,358.29932,1638989565999
Fix,GT,34.1719476,-118.5413417,206.797,0.0010001971,0.1,358.29825,1638989566999
Fix,GT,34.1719476,-118.5413417,206.797,0.001999524,0.1,358.29788,1638989567999
Fix,GT,34.1719476,-118.5413417,206.797,0.002,0.1,358.2975,1638989568999
Fix,GT,34.1719476,-118.5413417,206.797,0.0031622,0.1,358.29715,1638989569999
Fix,GT,34.1719476,-118.5413417,206.797,0.005098553,0.1,358.29648,1638989570999
Fix,GT,34.1719476,-118.5413417,206.797,0.0053851646,0.1,358.29605,1638989571999
Fix,GT,34.1719476,-118.5413417,206.797,0.006324105,0.1,358.29517,1638989572999
Fix,GT,34.1719476,-118.5413417,206.797,0.005830952,0.1,358.29446,1638989573999
Fix,GT,34.1719476,-118.5413417,206.797,0.0036059679,0.1,358.29382,1638989574999
Fix,GT,34.1719476,-118.5413417,206.797,0.0010004813,0.1,358.2933,1638989575999
Fix,GT,34.1719476,-118.5413417,206.797,0.004999518,0.1,358.2925,1638989576999
Fix,GT,34.1719476,-118.5413417,206.797,0.011704555,0.1,358.29175,1638989577999
Fix,GT,34.1719476,-118.5413417,206.796,0.023408642,0.1,358.29102,1638989578999
Fix,GT,34.1719473,-118.5413418,206.795,0.03639965,0.1,358.28986,1638989579999
Fix,GT,34.171947,-118.541342,206.79499951565265,0.053711962,0.1,358.28854,1638989580999
Fix,GT,34.1719464,-118.5413422,206.795,0.07289698,0.1,358.2778,1638989581999
Fix,GT,34.1719433,-118.5413422,206.7860009710789,0.72425944,0.1,359.06747,1638989582999
Fix,GT,34.1719346,-118.5413403,206.75800097227096,1.0599896,0.1,5.9997253,1638989583999
Fix,GT,34.1719226,-118.5413383,206.74,1.3964142,0.1,19.804657,1638989584999
Fix,GT,34.1719078,-118.5413402,206.71500146216155,1.4999335,0.1,36.801422,1638989585999
