MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.1719476,-118.5413402,206.797,0.0009986503,0.1,358.3109,1638989542999
Fix,GT,34.1719476,-118.5413402,206.797,0.001,0.1,358.31042,1638989543999
Fix,GT,34.1719476,-118.5413402,206.797,0.0014136519,0.1,358.31003,1638989544999
Fix,GT,34.1719476,-118.5413402,206.797,0.0036049488,0.1,358.31003,1638989545999
Fix,GT,34.1719476,-118.5413402,206.797,0.0,0.1,358.3096,1638989546999
Fix,GT,34.1719476,-118.5413402,206.797,0.001,0.1,358.30804,1638989547999
Fix,GT,34.1719476,-118.5413402,206.797,0.0009986311,0.1,358.30762,1638989548999
Fix,GT,34.1719476,-118.5413402,206.797,0.001,0.1,358.3072,1638989549999
Fix,GT,34.1719476,-118.5413402,206.797,0.006398667,0.1,358.30673,1638989550999
Fix,GT,34.1719476,-118.5413402,206.797,0.0036036635,0.1,358.3071,1638989551999
Fix,GT,34.1719476,-118.5413402,206.797,0.0014193049,0.1,358.30518,1638989552999
Fix,GT,34.1719476,-118.5413402,206.797,0.0036025168,0.1,358.3047,1638989553999
Fix,GT,34.1719476,-118.5413402,206.797,0.001,0.1,358.30396,1638989554999
Fix,GT,34.1719476,-118.5413402,206.797,0.0010005763,0.1,358.3036,1638989555999
Fix,GT,34.1719476,-118.5413402,206.797,0.0010005777,0.1,358.30328,1638989556999
Fix,GT,34.1719476,-118.5413402,206.797,0.0019991812,0.1,358.30267,1638989557999
Fix,GT,34.1719476,-118.5413402,206.797,0.0010005803,0.1,358.3025,1638989558999
Fix,GT,34.1719476,-118.5413402,206.797,0.001001404,0.1,358.30185,1638989559999
Fix,GT,34.1719476,-118.5413402,206.797,0.0014150379,0.1,358.3014,1638989560999
Fix,GT,34.1719476,-118.5413402,206.797,0.0014142136,0.1,358.3007,1638989561999
Fix,GT,34.1719476,-118.5413402,206.797,0.0014142136,0.1,358.30038,1638989562999
Fix,GT,34.1719476,-118.5413402,206.797,0.0014142136,0.1,358.30002,1638989563999
Fix,GT,34.1719476,-118.5413402,206.797,0.0010005882,0.1,358.2995,1638989564999
Fix,GT,34.1719476,-118.5413402,206.797,0.0010005896,0.1,358.29932,1638989565999
Fix,GT,34.1719476,-118.5413402,206.797,0.0010005909,0.1,358.29825,1638989566999
Fix,GT,34.1719476,-118.5413402,206.797,0.0019985705,0.1,358.29788,1638989567999
Fix,GT,34.1719476,-118.5413402,206.797,0.002,0.1,358.2975,1638989568999
Fix,GT,34.1719476,-118.5413402,206.797,0.0031620446,0.1,358.29715,1638989569999
Fix,GT,34.1719476,-118.5413402,206.797,0.005097615,0.1,358.29648,1638989570999
Fix,GT,34.1719476,-118.5413402,206.797,0.0053851646,0.1,358.29605,1638989571999
Fix,GT,34.1719476,-118.5413402,206.797,0.0063231974,0.1,358.29517,1638989572999
Fix,GT,34.1719476,-118.5413402,206.797,0.005830952,0.1,358.29446,1638989573999
Fix,GT,34.1719476,-118.5413402,206.797,0.0036068095,0.1,358.29382,1638989574999
Fix,GT,34.1719476,-118.5413402,206.797,0.0010014552,0.1,358.2933,1638989575999
Fix,GT,34.1719476,-118.5413402,206.797,0.0049985414,0.1,358.2925,1638989576999
Fix,GT,34.1719476,-118.5413402,206.797,0.011704258,0.1,358.29175,1638989577999
