MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,34.1570338,-118.6345232,250.125,0.0041225827,0.1,55.883698,1638995325999
Fix,GT,34.1570338,-118.6345232,250.125,0.0050990195,0.1,55.88376,1638995326999
Fix,GT,34.1570338,-118.6345231,250.125,0.007000302,0.1,55.883606,1638995327999
Fix,GT,34.1570338,-118.634523,250.124,0.008995751,0.1,55.88379,1638995328999
Fix,GT,34.1570338,-118.6345228,250.124,0.0070003024,0.1,55.88382,1638995329999
Fix,GT,34.1570338,-118.6345227,250.124,0.0042493916,0.1,55.884247,1638995330999
Fix,GT,34.1570337,-118.6345226,250.124,0.0063912314,0.1,55.884827,1638995331999
Fix,GT,34.1570337,-118.6345226,250.124,0.017250156,0.1,55.884888,1638995332999
Fix,GT,34.1570336,-118.6345228,250.123,0.031257,0.1,55.886383,1638995333999
Fix,GT,34.1570336,-118.6345232,250.123,0.056138784,0.1,55.884827,1638995334999
Fix,GT,34.1570331,-118.6345248,250.127,0.368752,0.1,56.05127,1638995335999
Fix,GT,34.1570297,-118.6345298,250.126,0.75227994,0.1,58.91635,1638995336999
Fix,GT,34.1570242,-118.6345374,250.1279957454205,0.98847336,0.1,66.390564,1638995337999
Fix,GT,34.1570178,-118.6345478,250.1300127655268,1.2365922,0.1,78.375824,1638995338999
Fix,GT,34.1570121,-118.6345631,250.12000425577165,1.5745441,0.1,94.07172,1638995339999
Fix,GT,34.1570093,-118.6345834,250.09201276892423,1.8285512,0.1,113.63095,1638995340999
Fix,GT,34.1570122,-118.6346044,250.06400425690413,1.4791605,0.1,133.63892,1638995341999
Fix,GT,34.157017,-118.6346152,250.04800425750017,0.523931,0.1,142.289,1638995342999
Fix,GT,34.1570178,-118.6346171,250.04699574190377,0.114473484,0.1,142.8565,1638995343999
Fix,GT,34.1570169,-118.6346173,250.0429957413673,0.36704555,0.1,143.80573,1638995344999
Fix,GT,34.1570096,-118.6346139,250.0459957407117,1.3759458,0.1,148.02115,1638995345999
Fix,GT,34.1569951,-118.6346044,250.07097870087625,2.2116382,0.1,149.04547,1638995346999
Fix,GT,34.1569761,-118.6345897,250.1079872187376,2.7505305,0.1,147.50107,1638995347999
Fix,GT,34.1569542,-118.6345731,250.15197017288207,2.8477197,0.1,147.57025,1638995348999
Fix,GT,34.1569333,-118.6345585,250.1859829535485,2.4261873,0.1,150.1524,1638995349999
Fix,GT,34.1569169,-118.6345512,250.199,1.5794274,0.1,157.05609,1638995350999
Fix,GT,34.1569035,-118.6345493,250.1980085257292,1.540472,0.1,166.61517,1638995351999
Fix,GT,34.1568876,-118.6345517,250.23796162885424,2.2119415,0.1,179.9668,1638995352999
Fix,GT,34.1568667,-118.6345622,250.27798720783,2.8399558,0.1,196.99304,1638995353999
Fix,GT,34.1568461,-118.6345812,250.30498294138908,2.9352736,0.1,213.71588,1638995354999
Fix,GT,34.1568322,-118.6346023,250.34997867345808,2.1664343,0.1,227.1714,1638995355999
Fix,GT,34.1568245,-118.6346192,250.32106398767232,1.8094922,0.1,235.60153,1638995356999
Fix,GT,34.1568197,-118.6346409,250.07810239601136,2.3767636,0.1,249.85442,1638995357999
Fix,GT,34.1568265,-118.6346688,249.9419402614832,3.2891667,0.1,277.84277,1638995358999
Fix,GT,34.1568477,-118.6347042,250.03097012615208,5.255094,0.1,303.3367,1638995359999
Fix,GT,34.1568897,-118.6347506,250.01502561008928,7.585152,0.1,317.84818,1638995360999
Fix,GT,34.1569523,-118.6348046,249.9120725710392,9.358695,0.1,325.28076,1638995361999
Fix,GT,34.1570285,-118.6348615,249.777055504024,10.5541,0.1,328.3647,1638995362999
Fix,GT,34.1571135,-118.6349227,249.643051240921,11.293507,0.1,328.72897,1638995363999
Fix,GT,34.1572019,-118.6349885,249.48806833171844,11.724409,0.1,327.1938,1638995364999
Fix,GT,34.1572931,-118.6350596,249.31307688498492,12.351206,0.1,326.70886,1638995365999
Fix,GT,34.1573894,-118.6351351,249.13908116656543,13.189731,0.1,326.53467,1638995366999
Fix,GT,34.1574902,-118.6352147,248.95409399676325,13.395279,0.1,326.43512,1638995367999
Fix,GT,34.1575908,-118.635294,248.814042731762,13.272072,0.1,326.52142,1638995368999
Fix,GT,34.1576919,-118.6353715,248.68301709508896,13.572131,0.1,327.7991,1638995369999
Fix,GT,34.1578003,-118.6354523,248.6840256465673,14.939359,0.1,328.01373,1638995370999
Fix,GT,34.1579177,-118.6355423,248.7868931244016,15.663298,0.1,326.60358,1638995371999
Fix,GT,34.1580341,-118.6356369,248.94594014048576,15.4070635,0.1,324.76987,1638995372999
Fix,GT,34.1581451,-118.6357346,249.1998674336076,15.025218,0.1,322.9288,1638995373999
Fix,GT,34.158247,-118.6358296,249.60480753809213,13.246916,0.1,321.29428,1638995374999
Fix,GT,34.1583313,-118.635913,250.01583317410945,11.062791,0.1,319.66998,1638995375999
Fix,GT,34.1584011,-118.6359863,250.36284598541252,9.428322,0.1,317.9847,1638995376999
Fix,GT,34.158455,-118.6360467,250.6839015880823,6.737557,0.1,316.44583,1638995377999
Fix,GT,34.1584888,-118.6360865,250.9099529262185,3.7208698,0.1,315.1642,1638995378999
Fix,GT,34.1585042,-118.636105,251.0039785995484,1.1931971,0.1,314.89462,1638995379999
Fix,GT,34.1585067,-118.636108,251.007017122984,0.033424903,0.1,314.8623,1638995380999
Fix,GT,34.1585068,-118.636108,251.011,0.0053839395,0.1,314.86484,1638995381999
Fix,GT,34.1585068,-118.636108,251.012,0.0020042819,0.1,314.8661,1638995382999
Fix,GT,34.1585068,-118.636108,251.012,8.565069e-06,0.1,314.86688,1638995383999
Fix,GT,34.1585068,-118.636108,251.012,0.001,0.1,314.86777,1638995384999
Fix,GT,34.1585068,-118.636108,251.012,4.2838456e-06,0.1,314.86765,1638995385999
Fix,GT,34.1585068,-118.636108,251.012,0.001,0.1,314.8675,1638995386999
Fix,GT,34.1585068,-118.636108,251.012,0.0,0.1,314.8671,1638995387999
Fix,GT,34.1585068,-118.636108,251.012,4.2857528e-06,0.1,314.86606,1638995388999
Fix,GT,34.1585068,-118.636108,251.012,0.001,0.1,314.8656,1638995389999
Fix,GT,34.1585068,-118.636108,251.012,0.0010017757,0.1,314.8651,1638995390999
