MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4160296,-122.0809353,-26.595,0.001,0.1,180.91385,1640722628999
Fix,GT,37.4160296,-122.0809353,-26.595,0.001,0.1,180.91382,1640722629999
Fix,GT,37.4160296,-122.0809353,-26.595,0.0,0.1,180.91402,1640722630999
Fix,GT,37.4160296,-122.0809353,-26.595,0.0,0.1,180.91408,1640722631999
Fix,GT,37.4160296,-122.0809353,-26.595,0.0,0.1,180.91425,1640722632999
Fix,GT,37.4160296,-122.0809353,-26.595,0.0022328356,0.1,180.91469,1640722633999
Fix,GT,37.4160296,-122.0809353,-26.594,0.0019991503,0.1,180.9143,1640722634999
Fix,GT,37.4160296,-122.0809353,-26.594,0.002997088,0.1,180.91441,1640722635999
Fix,GT,37.4160296,-122.0809353,-26.594,0.0031617898,0.1,180.91483,1640722636999
Fix,GT,37.4160296,-122.0809353,-26.594,0.0028284271,0.1,180.91455,1640722637999
Fix,GT,37.4160296,-122.0809353,-26.595,0.0022402823,0.1,180.91408,1640722638999
Fix,GT,37.4160295,-122.0809353,-26.595,0.0063218186,0.1,180.9139,1640722639999
Fix,GT,37.4160295,-122.0809353,-26.595,0.0058289375,0.1,180.9146,1640722640999
Fix,GT,37.4160295,-122.0809353,-26.595,0.0080565745,0.1,180.91444,1640722641999
Fix,GT,37.4160295,-122.0809353,-26.595,0.0072103515,0.1,180.91443,1640722642999
Fix,GT,37.4160295,-122.0809353,-26.595,0.0089429505,0.1,180.91464,1640722643999
Fix,GT,37.4160295,-122.0809353,-26.595,0.010296414,0.1,180.91484,1640722644999
Fix,GT,37.4160295,-122.0809353,-26.595,0.01166483,0.1,180.91505,1640722645999
Fix,GT,37.4160295,-122.0809353,-26.594,0.015810559,0.1,180.91531,1640722646999
Fix,GT,37.4160295,-122.0809353,-26.594,0.020518431,0.1,180.91795,1640722647999
Fix,GT,37.4160287,-122.0809352,-26.60000304949284,0.35709944,0.1,180.91357,1640722648999
Fix,GT,37.4160227,-122.0809344,-26.59300152993202,0.97797614,0.1,179.23645,1640722649999
Fix,GT,37.4160115,-122.0809298,-26.57500153517723,1.6324486,0.1,171.05048,1640722650999
Fix,GT,37.4159946,-122.0809201,-26.568,2.4245882,0.1,161.29022,1640722651999
Fix,GT,37.4159731,-122.0809096,-26.601989180326463,2.6080348,0.1,159.94489,1640722652999
Fix,GT,37.4159507,-122.0809004,-26.651004652917383,2.6160495,0.1,161.86804,1640722653999
Fix,GT,37.4159283,-122.0808909,-26.4470046684742,2.5009131,0.1,161.73962,1640722654999
Fix,GT,37.4159064,-122.0808805,-26.47899687707424,2.8602154,0.1,159.79065,1640722655999
Fix,GT,37.4158815,-122.0808591,-26.469021933078768,3.7430742,0.1,146.37146,1640722656999
Fix,GT,37.4158619,-122.0808195,-26.436009431004525,4.402627,0.1,122.04382,1640722657999
Fix,GT,37.4158514,-122.0807706,-26.408012617111208,4.4399223,0.1,104.44293,1640722658999
Fix,GT,37.415847,-122.0807212,-26.404007911622525,4.3319592,0.1,95.883575,1640722659999
Fix,GT,37.4158449,-122.0806753,-26.38100952506065,3.631342,0.1,93.0571,1640722660999
Fix,GT,37.4158433,-122.0806414,-26.344011149704457,2.376462,0.1,92.68509,1640722661999
Fix,GT,37.4158424,-122.0806208,-26.29201438200474,1.271871,0.1,92.610596,1640722662999
Fix,GT,37.4158419,-122.0806094,-26.259012825489044,1.0745329,0.1,92.41724,1640722663999
Fix,GT,37.4158426,-122.080593,-26.22700482547283,1.8914404,0.1,88.467865,1640722664999
Fix,GT,37.4158499,-122.0805682,-26.17101613676548,2.7698798,0.1,74.16324,1640722665999
Fix,GT,37.4158672,-122.0805383,-26.08601780748367,3.8074331,0.1,55.657593,1640722666999
Fix,GT,37.4158987,-122.0805094,-26.030995127677915,4.867164,0.1,34.12091,1640722667999
Fix,GT,37.4159405,-122.0804927,-26.029004888057703,4.738506,0.1,15.939178,1640722668999
Fix,GT,37.4159772,-122.0804859,-25.976011441767216,3.5522609,0.1,7.205963,1640722669999
Fix,GT,37.4160053,-122.0804827,-25.94500655913353,3.0486968,0.1,4.255951,1640722670999
Fix,GT,37.4160321,-122.0804801,-25.92597039055824,3.103531,0.1,3.0192566,1640722671999
Fix,GT,37.4160647,-122.0804771,-25.89900990128517,4.2425632,0.1,2.9250183,1640722672999
Fix,GT,37.4161083,-122.0804736,-25.887006621837617,5.4758096,0.1,2.7339172,1640722673999
Fix,GT,37.4161627,-122.0804702,-25.914996678709983,6.217524,0.1,2.361145,1640722674999
Fix,GT,37.4162185,-122.0804671,-25.925001665830614,6.09428,0.1,1.8044434,1640722675999
Fix,GT,37.4162726,-122.0804655,-25.870008355081083,5.9290986,0.1,0.5907593,1640722676999
Fix,GT,37.416325,-122.0804649,-25.886996647357943,5.460337,0.1,0.008575439,1640722677999
Fix,GT,37.4163698,-122.0804647,-25.92999159246683,4.3722644,0.1,359.7503,1640722678999
Fix,GT,37.4164039,-122.0804645,-25.98199493992329,3.0732625,0.1,359.65363,1640722679999
Fix,GT,37.4164259,-122.0804645,-26.170950933814048,1.9181718,0.1,359.58435,1640722680999
Fix,GT,37.4164394,-122.0804644,-26.32396605753899,1.0434574,0.1,359.55106,1640722681999
Fix,GT,37.4164454,-122.0804643,-26.44297446358204,0.41008085,0.1,359.55127,1640722682999
Fix,GT,37.4164482,-122.0804643,-26.541979508638384,0.25003508,0.1,359.5548,1640722683999
Fix,GT,37.4164509,-122.0804643,-26.63597773361206,0.44307652,0.1,359.55276,1640722684999
Fix,GT,37.4164559,-122.0804645,-26.73397766619921,0.6423792,0.1,359.6269,1640722685999
Fix,GT,37.4164633,-122.0804641,-26.82998621463776,0.9251965,0.1,0.67718506,1640722686999
Fix,GT,37.4164731,-122.0804629,-26.92097753059864,1.304967,0.1,2.974762,1640722687999
Fix,GT,37.4164877,-122.0804577,-27.019975729584694,1.9517242,0.1,11.493927,1640722688999
Fix,GT,37.4165061,-122.0804412,-27.114996522426605,2.801338,0.1,29.92279,1640722689999
Fix,GT,37.4165237,-122.0804089,-27.15099825602769,3.9471717,0.1,53.409363,1640722690999
Fix,GT,37.4165345,-122.080356,-27.19099825078249,5.5986266,0.1,76.64572,1640722691999
Fix,GT,37.4165354,-122.0802822,-27.207010526418685,7.4087267,0.1,90.16647,1640722692999
Fix,GT,37.4165314,-122.0801904,-27.203,8.716268,0.1,92.93649,1640722693999
Fix,GT,37.4165261,-122.0800863,-27.161,9.701749,0.1,93.401184,1640722694999
Fix,GT,37.4165195,-122.0799721,-27.115014160633088,10.541175,0.1,93.95007,1640722695999
Fix,GT,37.4165113,-122.0798492,-27.059007101058963,11.263847,0.1,94.57532,1640722696999
Fix,GT,37.4165019,-122.0797192,-27.02700712180137,11.77556,0.1,94.96277,1640722697999
Fix,GT,37.4164922,-122.0795853,-26.971005357086657,11.963569,0.1,94.72919,1640722698999
Fix,GT,37.4164831,-122.0794518,-26.969983882069585,11.735638,0.1,94.7041,1640722699999
Fix,GT,37.4164743,-122.0793212,-26.975976651132104,11.550014,0.1,94.542725,1640722700999
Fix,GT,37.4164654,-122.0791905,-27.00000720500946,11.567967,0.1,94.61578,1640722701999
Fix,GT,37.4164566,-122.0790615,-27.019,11.32021,0.1,94.72391,1640722702999
Fix,GT,37.416448,-122.0789359,-27.04400543504953,11.003921,0.1,94.723816,1640722703999
Fix,GT,37.4164397,-122.0788138,-27.06500545060635,10.699292,0.1,94.99048,1640722704999
Fix,GT,37.4164306,-122.0786968,-27.10199817794561,10.017217,0.1,95.58374,1640722705999
Fix,GT,37.4164216,-122.0785896,-27.082996345400808,9.04221,0.1,96.00568,1640722706999
Fix,GT,37.4164132,-122.0784937,-27.11098534011841,8.008615,0.1,96.416595,1640722707999
Fix,GT,37.416405,-122.0784104,-27.11002205204964,6.793062,0.1,97.11047,1640722708999
Fix,GT,37.4163977,-122.0783425,-27.067016585707663,5.30124,0.1,97.541534,1640722709999
Fix,GT,37.416392,-122.0782926,-27.09698706328869,3.6361504,0.1,98.324615,1640722710999
Fix,GT,37.4163875,-122.0782619,-27.14199814671278,1.9386026,0.1,100.865814,1640722711999
Fix,GT,37.416385,-122.0782487,-27.12999814152717,0.5013103,0.1,102.49902,1640722712999
Fix,GT,37.4163849,-122.0782472,-27.128,0.07147681,0.1,102.74127,1640722713999
Fix,GT,37.4163854,-122.0782479,-27.11700373780728,0.08731981,0.1,102.74066,1640722714999
Fix,GT,37.4163857,-122.0782477,-27.11200187408924,0.28497905,0.1,102.87485,1640722715999
Fix,GT,37.416383,-122.0782382,-27.09100751686097,1.4831334,0.1,106.45145,1640722716999
Fix,GT,37.4163721,-122.0782194,-27.07899623119832,2.5676308,0.1,120.43475,1640722717999
Fix,GT,37.4163455,-122.0782003,-27.02699433124065,3.9709902,0.1,147.1513,1640722718999
Fix,GT,37.416301,-122.0781929,-26.982,5.906231,0.1,172.16669,1640722719999
Fix,GT,37.4162388,-122.0781919,-26.90900760006904,7.8127494,0.1,178.97382,1640722720999
Fix,GT,37.416163,-122.0781943,-26.873001905143266,8.834029,0.1,181.65863,1640722721999
Fix,GT,37.4160834,-122.0781995,-26.82602292394638,8.751325,0.1,182.79016,1640722722999
Fix,GT,37.4160059,-122.0782056,-26.76600766205788,8.486053,0.1,183.17995,1640722723999
Fix,GT,37.4159307,-122.078212,-26.72603265088797,8.254714,0.1,183.3272,1640722724999
Fix,GT,37.4158577,-122.0782171,-26.701017332434656,7.9386077,0.1,182.52715,1640722725999
Fix,GT,37.4157908,-122.0782194,-26.64201158607006,6.7712326,0.1,180.73756,1640722726999
Fix,GT,37.4157376,-122.0782203,-26.62400774502754,4.912529,0.1,180.48016,1640722727999
Fix,GT,37.4157037,-122.0782206,-26.59600194144249,2.6468122,0.1,180.17076,1640722728999
Fix,GT,37.4156886,-122.0782208,-26.601996106863023,0.78261507,0.1,180.1505,1640722729999
Fix,GT,37.4156868,-122.078221,-26.619996096491818,0.017503219,0.1,180.1685,1640722730999
Fix,GT,37.4156871,-122.0782212,-26.627998043060305,0.026421402,0.1,180.16788,1640722731999
Fix,GT,37.4156872,-122.0782212,-26.634,0.022825424,0.1,180.16698,1640722732999
Fix,GT,37.4156873,-122.0782213,-26.692933113455776,0.018790085,0.1,180.16733,1640722733999
Fix,GT,37.4156882,-122.078222,-26.94899802750349,0.016155494,0.1,180.1676,1640722734999
