MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4160298,-122.0809385,-26.59499961608788,4.66542e-06,0.1,180.91402,1640722631000
Fix,GT,37.4160298,-122.0809385,-26.594999517013783,0.0,0.1,180.91408,1640722632000
Fix,GT,37.4160298,-122.0809385,-26.594999678009188,0.0,0.1,180.91425,1640722633000
Fix,GT,37.4160298,-122.0809385,-26.5949998390046,0.0022322352,0.1,180.91469,1640722634000
Fix,GT,37.4160298,-122.0809385,-26.59399946749676,0.0019972685,0.099,180.9143,1640722635000
Fix,GT,37.4160298,-122.0809385,-26.59400040866528,0.0030007567,0.1,180.91441,1640722636000
Fix,GT,37.4160298,-122.0809385,-26.594000037151392,0.0031579598,0.1,180.91483,1640722637000
Fix,GT,37.4160298,-122.0809385,-26.594004599281124,0.0028299834,0.1,180.91455,1640722638000
Fix,GT,37.4160298,-122.0809385,-26.594999294097068,0.0022322375,0.099,180.91408,1640722639000
Fix,GT,37.4160297,-122.0809385,-26.59500024768524,0.0063118846,0.1,180.9139,1640722640000
Fix,GT,37.4160297,-122.0809385,-26.594999603703616,0.005824621,0.1,180.9146,1640722641000
Fix,GT,37.4160297,-122.0809385,-26.595000557291787,0.008060178,0.1,180.91444,1640722642000
Fix,GT,37.4160297,-122.0809385,-26.59500018576393,0.0072150673,0.1,180.91443,1640722643000
Fix,GT,37.4160297,-122.0809385,-26.59499981423607,0.008946553,0.1,180.91464,1640722644000
Fix,GT,37.4160297,-122.0809385,-26.595000235300976,0.01029563,0.1,180.91484,1640722645000
Fix,GT,37.4160297,-122.0809385,-26.59499959131936,0.011665946,0.1,180.91505,1640722646000
Fix,GT,37.4160297,-122.0809385,-26.5940000123838,0.015802454,0.1,180.91531,1640722647000
Fix,GT,37.4160297,-122.0809385,-26.594005348462613,0.020513156,0.1,180.91795,1640722648000
Fix,GT,37.4160289,-122.0809384,-26.59999460248463,0.35747555,0.1,180.91353,1640722649000
Fix,GT,37.4160229,-122.0809376,-26.592995024353264,0.97830844,0.1,179.23364,1640722650000
Fix,GT,37.4160113,-122.0809329,-26.57498612750508,1.6328859,0.1,171.04395,1640722651000
Fix,GT,37.415994,-122.0809232,-26.568009812039325,2.4249737,0.1,161.28632,1640722652000
Fix,GT,37.4159724,-122.0809126,-26.602060869023205,2.6080518,0.1,159.9466,1640722653000
Fix,GT,37.41595,-122.0809035,-26.65096666044928,2.6159894,0.1,161.8678,1640722654000
Fix,GT,37.4159277,-122.080894,-26.44698569147475,2.500987,0.1,161.73962,1640722655000
Fix,GT,37.4159057,-122.0808835,-26.478985840955747,2.8608196,0.1,159.7868,1640722656000
Fix,GT,37.4158803,-122.0808618,-26.468943889732472,3.743533,0.099,146.35745,1640722657000
Fix,GT,37.4158598,-122.0808214,-26.435976055916864,4.402971,0.1,122.03021,1640722658000
Fix,GT,37.415849,-122.0807716,-26.40797673615534,4.4398885,0.1,104.435394,1640722659000
Fix,GT,37.4158445,-122.0807217,-26.403977145106065,4.331755,0.1,95.87988,1640722660000
Fix,GT,37.4158424,-122.0806757,-26.38097703751177,3.6306071,0.1,93.0564,1640722661000
Fix,GT,37.4158408,-122.0806418,-26.34395887378231,2.3757215,0.1,92.68512,1640722662000
Fix,GT,37.4158399,-122.0806212,-26.291971393849703,1.2711897,0.099,92.61044,1640722663000
Fix,GT,37.4158394,-122.0806098,-26.258967426450923,1.0748507,0.1,92.4169,1640722664000
Fix,GT,37.4158401,-122.0805931,-26.226971965198405,1.891958,0.099,88.462036,1640722665000
Fix,GT,37.4158475,-122.0805675,-26.170949667207896,2.7704458,0.1,74.152374,1640722666000
Fix,GT,37.415865,-122.0805367,-26.085939244690817,3.8081644,0.1,55.64508,1640722667000
Fix,GT,37.4158972,-122.0805069,-26.031014447140507,4.8673816,0.1,34.106903,1640722668000
Fix,GT,37.4159396,-122.0804897,-26.029008640142624,4.7379785,0.1,15.931091,1640722669000
Fix,GT,37.4159768,-122.0804828,-25.9759724346688,3.5512247,0.1,7.2023926,1640722670000
Fix,GT,37.4160049,-122.0804796,-25.94489834417822,3.0484314,0.1,4.254669,1640722671000
Fix,GT,37.4160318,-122.0804769,-25.92605623889621,3.1039512,0.1,3.0188904,1640722672000
Fix,GT,37.4160644,-122.080474,-25.899032928695902,4.24337,0.1,2.9249573,1640722673000
Fix,GT,37.416108,-122.0804705,-25.88698617050238,5.476569,0.1,2.7337646,1640722674000
Fix,GT,37.4161624,-122.0804671,-25.91498682431504,6.2175784,0.1,2.3608093,1640722675000
Fix,GT,37.4162183,-122.080464,-25.92499599114805,6.094182,0.1,1.8033752,1640722676000
Fix,GT,37.4162724,-122.0804623,-25.86999561703997,5.9289937,0.1,0.5900574,1640722677000
Fix,GT,37.4163248,-122.0804617,-25.88700966838049,5.4597006,0.1,0.008361816,1640722678000
Fix,GT,37.4163696,-122.0804615,-25.93001882831007,4.37151,0.1,359.7502,1640722679000
Fix,GT,37.4164037,-122.0804614,-25.98203287341632,3.0723443,0.1,359.6536,1640722680000
Fix,GT,37.4164257,-122.0804613,-26.171111528724897,1.9176273,0.1,359.58432,1640722681000
Fix,GT,37.4164392,-122.0804612,-26.324078975868414,1.0429,0.1,359.551,1640722682000
Fix,GT,37.4164452,-122.0804611,-26.44306984955632,0.40987122,0.1,359.55127,1640722683000
